year,category,sport,event,days,transcripts,url
2025,1,Football,VALERO ALAMO BOWL: USC VS TCU,4,7,http://www.asapsports.com/show_events.php?event_id=214440&category=1&year=2025&title=VALERO+ALAMO+BOWL%3A+USC+VS+TCU
2025,1,Football,CFP QUARTERFINAL AT THE CAPITAL ONE ORANGE BOWL: OREGON VS TEXAS TECH,2,23,http://www.asapsports.com/show_events.php?event_id=214442&category=1&year=2025&title=CFP+QUARTERFINAL+AT+THE+CAPITAL+ONE+ORANGE+BOWL%3A+OREGON+VS+TEXAS+TECH
2025,1,Football,ROSE BOWL GAME PRESENTED BY PRUDENTIAL: ALABAMA VS INDIANA,4,18,http://www.asapsports.com/show_events.php?event_id=214443&category=1&year=2025&title=ROSE+BOWL+GAME+PRESENTED+BY+PRUDENTIAL%3A+ALABAMA+VS+INDIANA
2025,1,Football,RELIAQUEST BOWL: VANDERBILT VS IOWA,2,4,http://www.asapsports.com/show_events.php?event_id=214444&category=1&year=2025&title=RELIAQUEST+BOWL%3A+VANDERBILT+VS+IOWA
2025,1,Football,CHEEZ-IT CITRUS BOWL: MICHIGAN VS TEXAS,5,15,http://www.asapsports.com/show_events.php?event_id=214447&category=1&year=2025&title=CHEEZ-IT+CITRUS+BOWL%3A+MICHIGAN+VS+TEXAS
2025,1,Football,KINDER’S TEXAS BOWL: HOUSTON VS LSU,1,6,http://www.asapsports.com/show_events.php?event_id=214384&category=1&year=2025&title=KINDER%E2%80%99S+TEXAS+BOWL%3A+HOUSTON+VS+LSU
2025,1,Football,BAD BOY MOWERS PINSTRIPE BOWL: PENN STATE VS CLEMSON,2,4,http://www.asapsports.com/show_events.php?event_id=214377&category=1&year=2025&title=BAD+BOY+MOWERS+PINSTRIPE+BOWL%3A+PENN+STATE+VS+CLEMSON
2025,1,Football,POP-TARTS BOWL: BYU COUGARS VS GEORGIA TECH YELLOW JACKETS,1,3,http://www.asapsports.com/show_events.php?event_id=214379&category=1&year=2025&title=POP-TARTS+BOWL%3A+BYU+COUGARS+VS+GEORGIA+TECH+YELLOW+JACKETS
2025,1,Football,TAXSLAYER GATOR BOWL: VIRGINIA VS MISSOURI,2,3,http://www.asapsports.com/show_events.php?event_id=214382&category=1&year=2025&title=TAXSLAYER+GATOR+BOWL%3A+VIRGINIA+VS+MISSOURI
2025,1,Football,POP-TARTS BOWL: BYU VS GEORGIA TECH,4,11,http://www.asapsports.com/show_events.php?event_id=214371&category=1&year=2025&title=POP-TARTS+BOWL%3A+BYU+VS+GEORGIA+TECH
2025,1,Football,FAMOUS IDAHO POTATO BOWL: UTAH STATE VS WASHINGTON STATE,2,4,http://www.asapsports.com/show_events.php?event_id=214360&category=1&year=2025&title=FAMOUS+IDAHO+POTATO+BOWL%3A+UTAH+STATE+VS+WASHINGTON+STATE
2025,1,Football,CFP FIRST ROUND: TULANE VS OLE MISS,1,12,http://www.asapsports.com/show_events.php?event_id=214325&category=1&year=2025&title=CFP+FIRST+ROUND%3A+TULANE+VS+OLE+MISS
2025,1,Football,CFP FIRST ROUND: MIAMI VS TEAXS A&M,1,8,http://www.asapsports.com/show_events.php?event_id=214311&category=1&year=2025&title=CFP+FIRST+ROUND%3A+MIAMI+VS+TEAXS+A%26M
2025,1,Football,CFP FIRST ROUND: JAMES MADISON VS OREGON,1,12,http://www.asapsports.com/show_events.php?event_id=214337&category=1&year=2025&title=CFP+FIRST+ROUND%3A+JAMES+MADISON+VS+OREGON
2025,1,Football,CFP FIRST ROUND: ALABAMA VS OKLAHOMA,1,7,http://www.asapsports.com/show_events.php?event_id=214296&category=1&year=2025&title=CFP+FIRST+ROUND%3A+ALABAMA+VS+OKLAHOMA
2025,1,Football,ARMY BLACK KNIGHTS FOOTBALL,6,13,http://www.asapsports.com/show_events.php?event_id=213453&category=1&year=2025&title=ARMY+BLACK+KNIGHTS+FOOTBALL
2025,1,Football,BUCKED UP LA BOWL HOSTED BY GRONK: WASHINGTON VS BOISE STATE,2,3,http://www.asapsports.com/show_events.php?event_id=213462&category=1&year=2025&title=BUCKED+UP+LA+BOWL+HOSTED+BY+GRONK%3A+WASHINGTON+VS+BOISE+STATE
2025,1,Football,ROSE BOWL GAME PRESENTED BY PRUDENTIAL: TBD VS INDIANA,1,1,http://www.asapsports.com/show_events.php?event_id=212801&category=1&year=2025&title=ROSE+BOWL+GAME+PRESENTED+BY+PRUDENTIAL%3A+TBD+VS+INDIANA
2025,1,Football,FLORIDA CITRUS SPORTS BOWL SELECTION,1,1,http://www.asapsports.com/show_events.php?event_id=212805&category=1&year=2025&title=FLORIDA+CITRUS+SPORTS+BOWL+SELECTION
2025,1,Football,BIG 12 CONFERENCE FOOTBALL CHAMPIONSHIP GAME: BYU VS TEXAS TECH,1,6,http://www.asapsports.com/show_events.php?event_id=212791&category=1&year=2025&title=BIG+12+CONFERENCE+FOOTBALL+CHAMPIONSHIP+GAME%3A+BYU+VS+TEXAS+TECH
2025,1,Football,SOUTHEASTERN CONFERENCE FOOTBALL CHAMPIONSHIP GAME: GEORGIA VS ALABAMA,4,13,http://www.asapsports.com/show_events.php?event_id=212797&category=1&year=2025&title=SOUTHEASTERN+CONFERENCE+FOOTBALL+CHAMPIONSHIP+GAME%3A+GEORGIA+VS+ALABAMA
2025,1,Football,BIG TEN CONFERENCE FOOTBALL CHAMPIONSHIP GAME: OHIO STATE VS INDIANA,1,2,http://www.asapsports.com/show_events.php?event_id=212799&category=1&year=2025&title=BIG+TEN+CONFERENCE+FOOTBALL+CHAMPIONSHIP+GAME%3A+OHIO+STATE+VS+INDIANA
2025,1,Football,FLORIDA BLUE FLORIDA CLASSIC: FLORIDA A&M RATTLERS VS BETHUNE-COOKMAN WILDCATS,1,2,http://www.asapsports.com/show_events.php?event_id=212198&category=1&year=2025&title=FLORIDA+BLUE+FLORIDA+CLASSIC%3A+FLORIDA+A%26M+RATTLERS+VS+BETHUNE-COOKMAN+WILDCATS
2025,1,Football,UNIVERSITY OF IOWA FOOTBALL MEDIA CONFERENCE,20,17,http://www.asapsports.com/show_events.php?event_id=212412&category=1&year=2025&title=UNIVERSITY+OF+IOWA+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF PITTSBURGH FOOTBALL MEDIA CONFERENCE,12,4,http://www.asapsports.com/show_events.php?event_id=212426&category=1&year=2025&title=UNIVERSITY+OF+PITTSBURGH+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,SEATTLE SEAHAWKS MEDIA CONFERENCE,2,4,http://www.asapsports.com/show_events.php?event_id=212429&category=1&year=2025&title=SEATTLE+SEAHAWKS+MEDIA+CONFERENCE
2025,1,Football,HOUSTON TEXANS MEDIA CONFERENCE,3,9,http://www.asapsports.com/show_events.php?event_id=212432&category=1&year=2025&title=HOUSTON+TEXANS+MEDIA+CONFERENCE
2025,1,Football,MIAMI DOLPHINS MEDIA CONFERENCE,1,3,http://www.asapsports.com/show_events.php?event_id=212433&category=1&year=2025&title=MIAMI+DOLPHINS+MEDIA+CONFERENCE
2025,1,Football,CHICAGO BEARS MEDIA CONFERENCE,2,3,http://www.asapsports.com/show_events.php?event_id=212436&category=1&year=2025&title=CHICAGO+BEARS+MEDIA+CONFERENCE
2025,1,Football,CAROLINA PANTHERS MEDIA CONFERENCE,3,6,http://www.asapsports.com/show_events.php?event_id=212437&category=1&year=2025&title=CAROLINA+PANTHERS+MEDIA+CONFERENCE
2025,1,Football,NFL INTERNATIONAL SERIES FALCONS VS COLTS,1,3,http://www.asapsports.com/show_events.php?event_id=212443&category=1&year=2025&title=NFL+INTERNATIONAL+SERIES+FALCONS+VS+COLTS
2025,1,Football,RUTGERS UNIVERSITY FOOTBALL MEDIA CONFERENCE,11,4,http://www.asapsports.com/show_events.php?event_id=212460&category=1&year=2025&title=RUTGERS+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,COLLEGE FOOTBALL PLAYOFF MEDIA CONFERENCE,4,1,http://www.asapsports.com/show_events.php?event_id=212515&category=1&year=2025&title=COLLEGE+FOOTBALL+PLAYOFF+MEDIA+CONFERENCE
2025,1,Football,FLORIDA STATE UNIVERSITY FOOTBALL MEDIA CONFERENCE,2,2,http://www.asapsports.com/show_events.php?event_id=212523&category=1&year=2025&title=FLORIDA+STATE+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,PITTSBURGH STEELERS MEDIA CONFERENCE,2,5,http://www.asapsports.com/show_events.php?event_id=212534&category=1&year=2025&title=PITTSBURGH+STEELERS+MEDIA+CONFERENCE
2025,1,Football,NEW YORK GIANTS MEDIA CONFERENCE,1,5,http://www.asapsports.com/show_events.php?event_id=212536&category=1&year=2025&title=NEW+YORK+GIANTS+MEDIA+CONFERENCE
2025,1,Football,SAN FRANCISCO 49ERS MEDIA CONFERENCE,1,1,http://www.asapsports.com/show_events.php?event_id=212540&category=1&year=2025&title=SAN+FRANCISCO+49ERS+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF FLORIDA FOOTBALL MEDIA CONFERENCE,4,5,http://www.asapsports.com/show_events.php?event_id=212580&category=1&year=2025&title=UNIVERSITY+OF+FLORIDA+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,STANFORD UNIVERSITY FOOTBALL MEDIA CONFERENCE,10,12,http://www.asapsports.com/show_events.php?event_id=212582&category=1&year=2025&title=STANFORD+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,ATLANTA FALCONS MEDIA CONFERENCE,2,2,http://www.asapsports.com/show_events.php?event_id=212687&category=1&year=2025&title=ATLANTA+FALCONS+MEDIA+CONFERENCE
2025,1,Football,INDIANA UNIVERSITY FOOTBALL MEDIA CONFERENCE,17,2,http://www.asapsports.com/show_events.php?event_id=213500&category=1&year=2025&title=INDIANA+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF TEXAS AT SAN ANTONIO FOOTBALL MEDIA CONFERENCE,7,4,http://www.asapsports.com/show_events.php?event_id=213702&category=1&year=2025&title=UNIVERSITY+OF+TEXAS+AT+SAN+ANTONIO+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,BIG TEN BASKETBALL MEDIA DAYS,1,2,http://www.asapsports.com/show_events.php?event_id=213769&category=1&year=2025&title=BIG+TEN+BASKETBALL+MEDIA+DAYS
2025,1,Football,BIG TEN FOOTBALL MEDIA CONFERENCE,1,1,http://www.asapsports.com/show_events.php?event_id=213772&category=1&year=2025&title=BIG+TEN+FOOTBALL+MEDIA+CONFERENCE
