season,award,rank,source,ballots,name,team,points,first_place,place_votes,name_key
2018,MVP,1,totals,101,James Harden,HOU,965,86,86 15 0 0 0,James Harden
2018,MVP,2,totals,101,LeBron James,CLE,738,15,15 79 7 0 0,LeBron James
2018,MVP,3,totals,101,Anthony Davis,NOP,445,0,0 7 70 14 4,Anthony Davis
2018,MVP,4,totals,101,Damian Lillard,POR,207,0,0 0 12 40 27,Damian Lillard
2018,MVP,5,totals,101,Russell Westbrook,OKC,76,0,0 0 6 10 16,Russell Westbrook
2018,MVP,6,totals,101,Giannis Antetokounmpo,MIL,75,0,0 0 1 18 16,Giannis Antetokounmpo
2018,MVP,7,totals,101,Kevin Durant,GSW,66,0,0 0 3 10 21,Kevin Durant
2018,MVP,8,totals,101,DeMar DeRozan,TOR,32,0,0 0 1 7 6,DeMar DeRozan
2018,MVP,9,totals,101,LaMarcus Aldridge,SAS,6,0,0 0 0 1 3,LaMarcus Aldridge
2018,MVP,10,totals,101,Jimmy Butler,MIN,5,0,0 0 1 0 0,Jimmy Butler
2018,MVP,11,totals,101,Stephen Curry,GSW,5,0,0 0 0 1 2,Stephen Curry
2018,MVP,12,totals,101,Joel Embiid,PHI,4,0,0 0 0 0 4,Joel Embiid
2018,MVP,13,totals,101,Victor Oladipo,IND,2,0,0 0 0 0 2,Victor Oladipo
2018,DPOY,1,totals,101,Rudy Gobert,UTA,466,89,89 6 3,Rudy Gobert
2018,DPOY,2,totals,101,Joel Embiid,PHI,163,2,2 44 21,Joel Embiid
2018,DPOY,3,totals,101,Anthony Davis,NOP,139,5,5 25 39,Anthony Davis
2018,DPOY,4,totals,101,Paul George,OKC,38,2,2 8 4,Paul George
2018,DPOY,5,totals,101,Al Horford,BOS,37,1,1 7 11,Al Horford
2018,DPOY,6,totals,101,Draymond Green,GSW,20,1,1 3 6,Draymond Green
2018,DPOY,7,totals,101,Jrue Holiday,NOP,11,1,1 2 0,Jrue Holiday
2018,DPOY,8,totals,101,Robert Covington,PHI,8,0,0 1 5,Robert Covington
2018,DPOY,9,totals,101,Kevin Durant,GSW,7,0,0 2 1,Kevin Durant
2018,DPOY,10,totals,101,Jaylen Brown,BOS,5,0,0 1 2,Jaylen Brown
2018,DPOY,11,totals,101,Klay Thompson,GSW,4,0,0 1 1,Klay Thompson
2018,DPOY,12,totals,101,Steven Adams,OKC,3,0,0 1 0,Steven Adams
2018,DPOY,13,totals,101,Jimmy Butler,MIN,3,0,0 0 3,Jimmy Butler
2018,DPOY,14,totals,101,Clint Capela,HOU,2,0,0 0 2,Clint Capela
2018,DPOY,15,totals,101,Jusuf Nurkic,POR,1,0,0 0 1,Jusuf Nurkic
2018,DPOY,16,totals,101,Andre Drummond,DET,1,0,0 0 1,Andre Drummond
2018,DPOY,17,totals,101,Victor Oladipo,IND,1,0,0 0 1,Victor Oladipo
2018,MIP,1,totals,101,Victor Oladipo,IND,499,99,99 1 1,Victor Oladipo
2018,MIP,2,totals,101,Clint Capela,HOU,99,1,1 26 16,Clint Capela
2018,MIP,3,totals,101,Spencer Dinwiddie,BKN,50,1,1 11 12,Spencer Dinwiddie
2018,MIP,4,totals,101,Andre Drummond,DET,46,0,0 13 7,Andre Drummond
2018,MIP,5,totals,101,Julius Randle,LAL,36,0,0 9 9,Julius Randle
2018,MIP,6,totals,101,Steven Adams,OKC,34,0,0 9 7,Steven Adams
2018,MIP,7,totals,101,Jaylen Brown,BOS,32,0,0 8 8,Jaylen Brown
2018,MIP,8,totals,101,Jamal Murray,DEN,24,0,0 6 6,Jamal Murray
