date,tone
2018-08-01,0.9065
2018-08-02,0.6963
2018-08-03,1.328
2018-08-04,-1.1671
2018-08-05,-0.1314
2018-08-06,-0.7071
2018-08-07,0.1851
2018-08-08,0.5637
2018-08-09,0.7289
2018-08-10,0.3098
2018-08-11,-0.08
2018-08-12,0.2628
2018-08-13,0.5338
2018-08-14,0.5961
2018-08-15,0.7713
2018-08-16,1.2543
2018-08-17,-0.185
2018-08-18,0.4218
2018-08-19,0.8269
2018-08-20,-0.2963
2018-08-21,0.0341
2018-08-22,0.0595
2018-08-23,0.7899
2018-08-24,0.6014
2018-08-25,0.6079
2018-08-26,0.8869
2018-08-27,-0.719
2018-08-28,0.8413
2018-08-29,1.7574
2018-08-30,0.6181
2018-08-31,1.1817
2018-09-01,-2.4532
2018-09-02,1.9139
2018-09-03,0.1316
2018-09-04,1.2023
2018-09-05,0.8285
2018-09-06,0.2162
2018-09-07,0.6721
2018-09-08,-0.695
2018-09-09,0.6307
2018-09-10,0.6474
2018-09-11,-0.1735
2018-09-12,1.0789
2018-09-13,0.6336
2018-09-14,1.5577
2018-09-15,1.4231
2018-09-16,0.0
2018-09-17,0.5608
2018-09-18,1.8502
2018-09-19,0.6981
2018-09-20,-1.14
2018-09-21,0.4499
2018-09-22,1.7974
2018-09-23,-0.2218
2018-09-24,1.5196
2018-09-25,0.6631
2018-09-26,-0.2624
2018-09-27,0.6514
2018-09-28,0.7025
2018-09-29,0.0656
2018-09-30,-0.8474
2018-10-01,1.7325
2018-10-02,1.1209
2018-10-03,0.3489
2018-10-04,1.3898
2018-10-05,0.4991
2018-10-06,-0.7416
2018-10-07,-0.4299
2018-10-08,-0.4311
2018-10-09,0.0411
2018-10-10,-0.1742
2018-10-11,-1.3602
2018-10-12,0.6045
2018-10-13,-0.2921
2018-10-14,0.4311
2018-10-15,-0.2351
2018-10-16,1.1236
2018-10-17,0.255
2018-10-18,-0.1923
2018-10-19,-0.9743
2018-10-20,-1.064
2018-10-21,-2.1124
2018-10-22,-0.7391
2018-10-23,-0.5677
2018-10-24,0.0484
2018-10-25,-0.864
2018-10-26,-0.7838
2018-10-27,-0.612
2018-10-28,-1.0786
2018-10-29,-0.5795
2018-10-30,0.4628
2018-10-31,0.8831
2018-11-01,-0.1209
2018-11-02,-2.78
2018-11-03,-1.9551
2018-11-04,-0.7236
2018-11-05,-1.1963
2018-11-06,-1.7254
2018-11-07,0.1491
2018-11-08,-1.2649
2018-11-09,-0.7503
2018-11-10,0.4418
2018-11-11,-0.7196
2018-11-12,-0.7287
2018-11-13,-0.4046
2018-11-14,-1.9254
2018-11-15,-1.438
2018-11-16,-0.3463
2018-11-17,-0.9338
2018-11-18,0.046
2018-11-19,-0.8234
2018-11-20,-1.1942
