date,views
2015-07-01,2373
2015-07-02,2211
2015-07-03,1594
2015-07-04,1591
2015-07-05,1525
2015-07-06,1537
2015-07-07,1454
2015-07-08,1329
2015-07-09,1673
2015-07-10,2020
2015-07-11,1524
2015-07-12,1379
2015-07-13,1593
2015-07-14,1322
2015-07-15,1295
2015-07-16,1181
2015-07-17,1198
2015-07-18,988
2015-07-19,1084
2015-07-20,1160
2015-07-21,1255
2015-07-22,1386
2015-07-23,1323
2015-07-24,1110
2015-07-25,1125
2015-07-26,1022
2015-07-27,1099
2015-07-28,1203
2015-07-29,986
2015-07-30,969
2015-07-31,1041
2015-08-01,949
2015-08-02,877
2015-08-03,876
2015-08-04,998
2015-08-05,943
2015-08-06,1028
2015-08-07,884
2015-08-08,895
2015-08-09,916
2015-08-10,888
2015-08-11,1049
2015-08-12,1045
2015-08-13,1123
2015-08-14,828
2015-08-15,959
2015-08-16,925
2015-08-17,941
2015-08-18,962
2015-08-19,1078
2015-08-20,1030
2015-08-21,880
2015-08-22,825
2015-08-23,809
2015-08-24,1034
2015-08-25,871
2015-08-26,801
2015-08-27,809
2015-08-28,827
2015-08-29,669
2015-08-30,766
2015-08-31,775
2015-09-01,846
2015-09-02,1076
2015-09-03,919
2015-09-04,768
2015-09-05,769
2015-09-06,847
2015-09-07,764
2015-09-08,941
2015-09-09,1005
2015-09-10,1117
2015-09-11,1071
2015-09-12,943
2015-09-13,1106
2015-09-14,1087
2015-09-15,883
2015-09-16,846
2015-09-17,850
2015-09-18,859
2015-09-19,742
2015-09-20,846
2015-09-21,849
2015-09-22,834
2015-09-23,825
2015-09-24,917
2015-09-25,979
2015-09-26,983
2015-09-27,1025
2015-09-28,1061
2015-09-29,1338
2015-09-30,1359
2015-10-01,1049
2015-10-02,1177
2015-10-03,1263
2015-10-04,1497
2015-10-05,1713
2015-10-06,1720
2015-10-07,1869
2015-10-08,1963
2015-10-09,1737
2015-10-10,1274
2015-10-11,1003
2015-10-12,1327
2015-10-13,1515
2015-10-14,1532
2015-10-15,1928
2015-10-16,1575
2015-10-17,1148
2015-10-18,1039
2015-10-19,1353
2015-10-20,1519
2015-10-21,1584
2015-10-22,1567
2015-10-23,1594
2015-10-24,1597
2015-10-25,1713
2015-10-26,1887
2015-10-27,2470
2015-10-28,2973
2015-10-29,2224
2015-10-30,2859
2015-10-31,1886
2015-11-01,1630
2015-11-02,1910
2015-11-03,1847
2015-11-04,2228
2015-11-05,2005
2015-11-06,1735
2015-11-07,1941
2015-11-08,1981
2015-11-09,1838
2015-11-10,2092
2015-11-11,1633
2015-11-12,1973
2015-11-13,1611
2015-11-14,1605
2015-11-15,1529
2015-11-16,1537
2015-11-17,1474
2015-11-18,1692
2015-11-19,1790
2015-11-20,1522
2015-11-21,1584
2015-11-22,1808
2015-11-23,1659
2015-11-24,1243
2015-11-25,3061
2015-11-26,1678
2015-11-27,1354
2015-11-28,1409
2015-11-29,1666
2015-11-30,1741
2015-12-01,1866
2015-12-02,1678
2015-12-03,2002
2015-12-04,1431
2015-12-05,1321
2015-12-06,1622
2015-12-07,1704
2015-12-08,1584
2015-12-09,1508
2015-12-10,1912
2015-12-11,1365
2015-12-12,1533
2015-12-13,1477
2015-12-14,1092
2015-12-15,1099
2015-12-16,1032
2015-12-17,1034
2015-12-18,863
2015-12-19,1105
2015-12-20,920
2015-12-21,1037
2015-12-22,1124
2015-12-23,1021
2015-12-24,1157
2015-12-25,1085
2015-12-26,1273
2015-12-27,1278
2015-12-28,1159
2015-12-29,1285
2015-12-30,1468
2015-12-31,1047
2016-01-01,935
2016-01-02,1051
2016-01-03,1295
2016-01-04,1205
2016-01-05,1260
2016-01-06,1367
2016-01-07,1124
2016-01-08,1324
2016-01-09,1476
2016-01-10,1383
2016-01-11,1018
2016-01-12,1020
2016-01-13,1652
2016-01-14,1409
2016-01-15,1256
2016-01-16,1334
2016-01-17,1240
2016-01-18,1386
2016-01-19,1396
2016-01-20,1203
2016-01-21,1581
2016-01-22,1569
2016-01-23,1457
2016-01-24,1598
2016-01-25,1310
2016-01-26,1317
2016-01-27,1205
2016-01-28,1481
2016-01-29,1326
2016-01-30,1176
2016-01-31,1331
2016-02-01,1247
2016-02-02,1249
2016-02-03,1192
2016-02-04,1171
2016-02-05,1118
2016-02-06,1465
2016-02-07,1186
2016-02-08,1152
2016-02-09,1476
2016-02-10,1453
2016-02-11,1381
2016-02-12,1310
2016-02-13,1233
2016-02-14,1372
2016-02-15,1837
2016-02-16,1344
2016-02-17,1257
2016-02-18,1638
2016-02-19,1932
2016-02-20,1472
2016-02-21,1551
2016-02-22,1436
2016-02-23,2062
2016-02-24,1339
2016-02-25,1365
2016-02-26,1407
2016-02-27,1742
2016-02-28,1740
2016-02-29,1316
2016-03-01,1233
2016-03-02,1800
2016-03-03,1272
2016-03-04,1160
2016-03-05,1668
2016-03-06,1318
2016-03-07,1123
2016-03-08,1103
2016-03-09,1142
2016-03-10,1245
2016-03-11,1288
2016-03-12,1043
2016-03-13,1375
2016-03-14,1240
2016-03-15,1092
2016-03-16,1134
2016-03-17,1218
2016-03-18,1042
2016-03-19,1147
2016-03-20,1412
2016-03-21,1074
2016-03-22,1187
2016-03-23,1342
2016-03-24,1327
2016-03-25,1111
2016-03-26,1093
2016-03-27,1517
2016-03-28,1277
2016-03-29,1306
2016-03-30,1327
2016-03-31,1336
2016-04-01,1132
2016-04-02,2235
2016-04-03,1263
2016-04-04,1139
2016-04-05,1395
2016-04-06,1324
2016-04-07,1316
2016-04-08,1533
2016-04-09,1338
2016-04-10,1512
2016-04-11,1560
2016-04-12,1490
2016-04-13,1575
2016-04-14,2487
2016-04-15,1852
2016-04-16,2638
2016-04-17,4164
2016-04-18,1922
2016-04-19,2262
2016-04-20,3136
2016-04-21,1628
2016-04-22,1476
2016-04-23,2406
2016-04-24,2482
2016-04-25,2933
2016-04-26,2088
2016-04-27,3452
2016-04-28,1912
2016-04-29,3752
2016-04-30,1604
2016-05-01,1619
2016-05-02,2249
2016-05-03,2827
2016-05-04,1758
2016-05-05,5589
2016-05-06,2205
2016-05-07,2509
2016-05-08,3805
2016-05-09,2656
2016-05-10,1879
2016-05-11,1432
2016-05-12,1556
2016-05-13,1440
2016-05-14,1100
2016-05-15,1364
2016-05-16,1615
2016-05-17,1620
2016-05-18,1546
2016-05-19,1230
2016-05-20,1237
2016-05-21,1031
2016-05-22,1099
2016-05-23,1229
2016-05-24,1301
2016-05-25,1263
2016-05-26,1185
2016-05-27,1112
2016-05-28,1365
2016-05-29,1359
2016-05-30,1187
2016-05-31,1769
2016-06-01,1273
2016-06-02,1263
2016-06-03,1536
2016-06-04,1028
2016-06-05,1068
2016-06-06,1567
2016-06-07,1147
2016-06-08,1218
2016-06-09,1240
2016-06-10,1024
2016-06-11,1157
2016-06-12,952
2016-06-13,1051
2016-06-14,1405
2016-06-15,921
2016-06-16,1008
2016-06-17,1443
2016-06-18,1015
2016-06-19,1207
2016-06-20,4311
2016-06-21,2048
2016-06-22,2257
2016-06-23,2506
2016-06-24,2966
2016-06-25,1713
2016-06-26,1695
2016-06-27,1528
2016-06-28,1487
2016-06-29,1564
2016-06-30,1395
2016-07-01,2293
2016-07-02,4405
2016-07-03,3489
2016-07-04,2940
2016-07-05,3349
2016-07-06,2484
2016-07-07,2834
2016-07-08,2450
2016-07-09,2198
2016-07-10,1915
2016-07-11,2260
2016-07-12,2037
2016-07-13,3284
2016-07-14,3195
2016-07-15,2129
2016-07-16,1861
2016-07-17,1753
2016-07-18,1784
2016-07-19,1607
2016-07-20,1423
2016-07-21,1279
2016-07-22,1282
2016-07-23,1281
2016-07-24,1225
2016-07-25,1275
2016-07-26,1299
2016-07-27,1188
2016-07-28,1173
2016-07-29,1209
2016-07-30,1140
2016-07-31,1189
2016-08-01,1193
2016-08-02,1349
2016-08-03,1094
2016-08-04,1007
2016-08-05,1014
2016-08-06,932
2016-08-07,1002
2016-08-08,1065
2016-08-09,1849
2016-08-10,1110
2016-08-11,1094
2016-08-12,1161
2016-08-13,940
2016-08-14,972
2016-08-15,971
2016-08-16,957
2016-08-17,920
2016-08-18,908
2016-08-19,808
2016-08-20,804
