date,views
2018-08-01,1348
2018-08-02,1257
2018-08-03,1242
2018-08-04,1201
2018-08-05,1340
2018-08-06,1517
2018-08-07,1321
2018-08-08,1286
2018-08-09,1308
2018-08-10,1154
2018-08-11,1155
2018-08-12,1110
2018-08-13,1213
2018-08-14,1168
2018-08-15,1073
2018-08-16,1028
2018-08-17,1038
2018-08-18,971
2018-08-19,987
2018-08-20,1139
2018-08-21,1196
2018-08-22,1078
2018-08-23,886
2018-08-24,948
2018-08-25,952
2018-08-26,936
2018-08-27,984
2018-08-28,1017
2018-08-29,958
2018-08-30,966
2018-08-31,937
2018-09-01,850
2018-09-02,901
2018-09-03,997
2018-09-04,1105
2018-09-05,915
2018-09-06,967
2018-09-07,1105
2018-09-08,1031
2018-09-09,1131
2018-09-10,1001
2018-09-11,1029
2018-09-12,913
2018-09-13,1018
2018-09-14,977
2018-09-15,933
2018-09-16,953
2018-09-17,1007
2018-09-18,1040
2018-09-19,1650
2018-09-20,1319
2018-09-21,1079
2018-09-22,984
2018-09-23,1102
2018-09-24,1130
2018-09-25,1452
2018-09-26,1522
2018-09-27,1246
2018-09-28,1175
2018-09-29,1042
2018-09-30,1155
2018-10-01,1242
2018-10-02,1086
2018-10-03,1337
2018-10-04,1497
2018-10-05,1194
2018-10-06,1248
2018-10-07,1037
2018-10-08,1142
2018-10-09,1284
2018-10-10,1459
2018-10-11,1829
2018-10-12,1441
2018-10-13,1538
2018-10-14,1595
2018-10-15,1544
2018-10-16,1710
2018-10-17,2146
2018-10-18,2433
2018-10-19,2019
2018-10-20,2695
2018-10-21,1998
2018-10-22,1610
2018-10-23,1686
2018-10-24,2553
2018-10-25,2015
2018-10-26,1892
2018-10-27,1864
2018-10-28,3281
2018-10-29,2905
2018-10-30,2087
2018-10-31,1641
2018-11-01,2267
2018-11-02,1778
2018-11-03,2248
2018-11-04,1685
2018-11-05,2150
2018-11-06,1482
2018-11-07,1600
2018-11-08,1611
2018-11-09,1273
2018-11-10,2310
2018-11-11,2121
2018-11-12,1589
2018-11-13,2398
2018-11-14,1554
2018-11-15,1645
2018-11-16,1421
2018-11-17,1754
2018-11-18,1903
2018-11-19,1493
2018-11-20,1421
2018-11-21,1543
2018-11-22,1704
2018-11-23,2057
2018-11-24,1474
2018-11-25,1509
2018-11-26,1821
2018-11-27,1311
2018-11-28,1338
2018-11-29,1693
