date,views
2015-07-01,3102
2015-07-02,3501
2015-07-03,2592
2015-07-04,3131
2015-07-05,2525
2015-07-06,2810
2015-07-07,3756
2015-07-08,3546
2015-07-09,2888
2015-07-10,2988
2015-07-11,2604
2015-07-12,2575
2015-07-13,2651
2015-07-14,2699
2015-07-15,2757
2015-07-16,2137
2015-07-17,2169
2015-07-18,1819
2015-07-19,1933
2015-07-20,2500
2015-07-21,2479
2015-07-22,2377
2015-07-23,2253
2015-07-24,2191
2015-07-25,2178
2015-07-26,2032
2015-07-27,2938
2015-07-28,3805
2015-07-29,2675
2015-07-30,2167
2015-07-31,1983
2015-08-01,2801
2015-08-02,1900
2015-08-03,1759
2015-08-04,1790
2015-08-05,1864
2015-08-06,1644
2015-08-07,1611
2015-08-08,1539
2015-08-09,1523
2015-08-10,1717
2015-08-11,1701
2015-08-12,1697
2015-08-13,1804
2015-08-14,2075
2015-08-15,1526
2015-08-16,1450
2015-08-17,1737
2015-08-18,1806
2015-08-19,1744
2015-08-20,1683
2015-08-21,1612
2015-08-22,1525
2015-08-23,1761
2015-08-24,1571
2015-08-25,1434
2015-08-26,1401
2015-08-27,1548
2015-08-28,1581
2015-08-29,1322
2015-08-30,1448
2015-08-31,1363
2015-09-01,1364
2015-09-02,1491
2015-09-03,1395
2015-09-04,1365
2015-09-05,1313
2015-09-06,1457
2015-09-07,1354
2015-09-08,1375
2015-09-09,1545
2015-09-10,1444
2015-09-11,1591
2015-09-12,1568
2015-09-13,1650
2015-09-14,1700
2015-09-15,1459
2015-09-16,1323
2015-09-17,1453
2015-09-18,1359
2015-09-19,1273
2015-09-20,1326
2015-09-21,1269
2015-09-22,1369
2015-09-23,1514
2015-09-24,1369
2015-09-25,1571
2015-09-26,1487
2015-09-27,1579
2015-09-28,1559
2015-09-29,1840
2015-09-30,1798
2015-10-01,1802
2015-10-02,1854
2015-10-03,1799
2015-10-04,2189
2015-10-05,2371
2015-10-06,3029
2015-10-07,2718
2015-10-08,2979
2015-10-09,2475
2015-10-10,1926
2015-10-11,1654
2015-10-12,1946
2015-10-13,2228
2015-10-14,2504
2015-10-15,2608
2015-10-16,2541
2015-10-17,2087
2015-10-18,1700
2015-10-19,2134
2015-10-20,2370
2015-10-21,2336
2015-10-22,2379
2015-10-23,2628
2015-10-24,2558
2015-10-25,2556
2015-10-26,2798
2015-10-27,3158
2015-10-28,3949
2015-10-29,4139
2015-10-30,3011
2015-10-31,2955
2015-11-01,3262
2015-11-02,2981
2015-11-03,2758
2015-11-04,2682
2015-11-05,3621
2015-11-06,2813
2015-11-07,3245
2015-11-08,2847
2015-11-09,2450
2015-11-10,2677
2015-11-11,3204
2015-11-12,3223
2015-11-13,2633
2015-11-14,2632
2015-11-15,2517
2015-11-16,2864
2015-11-17,3026
2015-11-18,3138
2015-11-19,3510
2015-11-20,3245
2015-11-21,3401
2015-11-22,2789
2015-11-23,2747
2015-11-24,2692
2015-11-25,3966
2015-11-26,3059
2015-11-27,2514
2015-11-28,2599
2015-11-29,2605
2015-11-30,3909
2015-12-01,3662
2015-12-02,3512
2015-12-03,3789
2015-12-04,3456
2015-12-05,2425
2015-12-06,3328
2015-12-07,3022
2015-12-08,3539
2015-12-09,3413
2015-12-10,4530
2015-12-11,3566
2015-12-12,7137
2015-12-13,3432
2015-12-14,2428
2015-12-15,2696
2015-12-16,3467
2015-12-17,2795
2015-12-18,2194
2015-12-19,2376
2015-12-20,1973
2015-12-21,2103
2015-12-22,2826
2015-12-23,1966
2015-12-24,2486
2015-12-25,2622
2015-12-26,2878
2015-12-27,2405
2015-12-28,2847
2015-12-29,2559
2015-12-30,2979
2015-12-31,3843
2016-01-01,2133
2016-01-02,2561
2016-01-03,2411
2016-01-04,2182
2016-01-05,2306
2016-01-06,2222
2016-01-07,2579
2016-01-08,2986
2016-01-09,2225
2016-01-10,2077
2016-01-11,1931
2016-01-12,2147
2016-01-13,2649
2016-01-14,3144
2016-01-15,2372
2016-01-16,2434
2016-01-17,2491
2016-01-18,2224
2016-01-19,2850
2016-01-20,2236
2016-01-21,2719
2016-01-22,2816
2016-01-23,3472
2016-01-24,2915
2016-01-25,2497
2016-01-26,2814
2016-01-27,2474
2016-01-28,2779
2016-01-29,2764
2016-01-30,2877
2016-01-31,2827
2016-02-01,2467
2016-02-02,2363
2016-02-03,2896
2016-02-04,3009
2016-02-05,2310
2016-02-06,3433
2016-02-07,3176
2016-02-08,2936
2016-02-09,2844
2016-02-10,3352
2016-02-11,4444
2016-02-12,3178
2016-02-13,2931
2016-02-14,3053
2016-02-15,3945
2016-02-16,2842
2016-02-17,2652
2016-02-18,3322
2016-02-19,3150
2016-02-20,3330
2016-02-21,2928
2016-02-22,3288
2016-02-23,2787
2016-02-24,2354
2016-02-25,2857
2016-02-26,3046
2016-02-27,3000
2016-02-28,3231
2016-02-29,2608
2016-03-01,2958
2016-03-02,2665
2016-03-03,3231
2016-03-04,2655
2016-03-05,3152
2016-03-06,3043
2016-03-07,2593
2016-03-08,2438
2016-03-09,2192
2016-03-10,3867
2016-03-11,2710
2016-03-12,2569
2016-03-13,2481
2016-03-14,2164
2016-03-15,2232
2016-03-16,2754
2016-03-17,3571
2016-03-18,2433
2016-03-19,2671
2016-03-20,2922
2016-03-21,2284
2016-03-22,2268
2016-03-23,2407
2016-03-24,3053
2016-03-25,2121
2016-03-26,2210
2016-03-27,2540
2016-03-28,2397
2016-03-29,2524
2016-03-30,2293
2016-03-31,2525
2016-04-01,2513
2016-04-02,5962
2016-04-03,3074
2016-04-04,3711
2016-04-05,2910
2016-04-06,3127
2016-04-07,3203
2016-04-08,2967
2016-04-09,3065
2016-04-10,2903
2016-04-11,3381
2016-04-12,3338
2016-04-13,4252
2016-04-14,9352
2016-04-15,5003
2016-04-16,5058
2016-04-17,5647
2016-04-18,3712
2016-04-19,3885
2016-04-20,4181
2016-04-21,3036
2016-04-22,2815
2016-04-23,5498
2016-04-24,4672
2016-04-25,7021
2016-04-26,4013
2016-04-27,4540
2016-04-28,3590
2016-04-29,4645
2016-04-30,2964
2016-05-01,2972
2016-05-02,2731
2016-05-03,2404
2016-05-04,2492
2016-05-05,2616
2016-05-06,2378
2016-05-07,2425
2016-05-08,2804
2016-05-09,2396
2016-05-10,2875
2016-05-11,2579
2016-05-12,2708
2016-05-13,2871
2016-05-14,2400
2016-05-15,2630
2016-05-16,2594
2016-05-17,3269
2016-05-18,4329
2016-05-19,3165
2016-05-20,3142
2016-05-21,2271
2016-05-22,3023
2016-05-23,2752
2016-05-24,2691
2016-05-25,3203
2016-05-26,2818
2016-05-27,3014
2016-05-28,4461
2016-05-29,3816
