date,views
2015-07-01,3412
2015-07-02,2628
2015-07-03,2437
2015-07-04,2632
2015-07-05,2703
2015-07-06,2429
2015-07-07,2618
2015-07-08,2299
2015-07-09,17161
2015-07-10,7429
2015-07-11,3121
2015-07-12,2850
2015-07-13,3207
2015-07-14,3098
2015-07-15,2557
2015-07-16,2229
2015-07-17,2090
2015-07-18,1906
2015-07-19,1995
2015-07-20,2145
2015-07-21,2170
2015-07-22,2875
2015-07-23,2466
2015-07-24,1984
2015-07-25,1830
2015-07-26,1696
2015-07-27,1809
2015-07-28,2103
2015-07-29,1935
2015-07-30,1802
2015-07-31,1485
2015-08-01,1536
2015-08-02,1632
2015-08-03,1860
2015-08-04,1894
2015-08-05,1613
2015-08-06,1527
2015-08-07,1323
2015-08-08,1330
2015-08-09,1358
2015-08-10,1550
2015-08-11,1463
2015-08-12,1566
2015-08-13,1659
2015-08-14,1458
2015-08-15,1384
2015-08-16,1392
2015-08-17,1476
2015-08-18,1472
2015-08-19,1490
2015-08-20,1489
2015-08-21,1320
2015-08-22,1464
2015-08-23,1518
2015-08-24,1359
2015-08-25,1543
2015-08-26,1342
2015-08-27,1385
2015-08-28,1326
2015-08-29,1251
2015-08-30,1373
2015-08-31,1503
2015-09-01,1206
2015-09-02,1169
2015-09-03,1134
2015-09-04,1183
2015-09-05,1282
2015-09-06,1173
2015-09-07,1302
2015-09-08,1259
2015-09-09,1299
2015-09-10,1354
2015-09-11,1377
2015-09-12,1301
2015-09-13,1602
2015-09-14,1505
2015-09-15,1562
2015-09-16,1435
2015-09-17,1466
2015-09-18,1359
2015-09-19,1087
2015-09-20,1309
2015-09-21,1224
2015-09-22,1300
2015-09-23,1581
2015-09-24,2247
2015-09-25,2242
2015-09-26,1837
2015-09-27,1799
2015-09-28,1713
2015-09-29,1809
2015-09-30,1748
2015-10-01,1640
2015-10-02,1675
2015-10-03,1956
2015-10-04,2584
2015-10-05,2747
2015-10-06,2379
2015-10-07,2274
2015-10-08,2227
2015-10-09,2140
2015-10-10,1986
2015-10-11,2913
2015-10-12,2625
2015-10-13,2779
2015-10-14,3357
2015-10-15,2840
2015-10-16,2507
2015-10-17,2067
2015-10-18,2147
2015-10-19,2367
2015-10-20,3113
2015-10-21,2406
2015-10-22,2671
2015-10-23,2532
2015-10-24,2292
2015-10-25,2413
2015-10-26,2833
2015-10-27,3106
2015-10-28,4642
2015-10-29,4445
2015-10-30,2853
2015-10-31,3000
2015-11-01,3500
2015-11-02,3039
2015-11-03,3299
2015-11-04,5414
2015-11-05,3321
2015-11-06,3677
2015-11-07,3154
2015-11-08,3471
2015-11-09,2685
2015-11-10,2818
2015-11-11,3430
2015-11-12,4500
2015-11-13,2853
2015-11-14,3265
2015-11-15,3055
2015-11-16,3088
2015-11-17,2837
2015-11-18,4032
2015-11-19,3916
2015-11-20,2876
2015-11-21,3986
2015-11-22,2634
2015-11-23,2645
2015-11-24,3209
2015-11-25,3301
2015-11-26,4092
2015-11-27,2938
2015-11-28,5307
2015-11-29,3617
2015-11-30,5172
2015-12-01,4137
2015-12-02,4987
2015-12-03,10613
2015-12-04,3372
2015-12-05,3628
2015-12-06,4075
2015-12-07,3520
2015-12-08,4008
2015-12-09,3365
2015-12-10,4719
2015-12-11,3033
2015-12-12,4425
2015-12-13,4078
2015-12-14,2395
2015-12-15,2282
