date,views
2015-07-01,3679
2015-07-02,3212
2015-07-03,2998
2015-07-04,3044
2015-07-05,2864
2015-07-06,2958
2015-07-07,3290
2015-07-08,2584
2015-07-09,2883
2015-07-10,2980
2015-07-11,2754
2015-07-12,2869
2015-07-13,2894
2015-07-14,2495
2015-07-15,2452
2015-07-16,2466
2015-07-17,2375
2015-07-18,2058
2015-07-19,2099
2015-07-20,4630
2015-07-21,4032
2015-07-22,3183
2015-07-23,2716
2015-07-24,2518
2015-07-25,2184
2015-07-26,2043
2015-07-27,2136
2015-07-28,2335
2015-07-29,2359
2015-07-30,2260
2015-07-31,2108
2015-08-01,1899
2015-08-02,2304
2015-08-03,1830
2015-08-04,2033
2015-08-05,1984
2015-08-06,1984
2015-08-07,1924
2015-08-08,1815
2015-08-09,1748
2015-08-10,2332
2015-08-11,2194
2015-08-12,2050
2015-08-13,2024
2015-08-14,2058
2015-08-15,1792
2015-08-16,1853
2015-08-17,2072
2015-08-18,2050
2015-08-19,2048
2015-08-20,1963
2015-08-21,2006
2015-08-22,2172
2015-08-23,1965
2015-08-24,2006
2015-08-25,2145
2015-08-26,2145
2015-08-27,2129
2015-08-28,2302
2015-08-29,1883
2015-08-30,2214
2015-08-31,1880
2015-09-01,1676
2015-09-02,1715
2015-09-03,1843
2015-09-04,1862
2015-09-05,1688
2015-09-06,1721
2015-09-07,1807
2015-09-08,1793
2015-09-09,2046
2015-09-10,1909
2015-09-11,1948
2015-09-12,1676
2015-09-13,2023
2015-09-14,1959
2015-09-15,1915
2015-09-16,1776
2015-09-17,2316
2015-09-18,2316
2015-09-19,1669
2015-09-20,2080
2015-09-21,1954
2015-09-22,2027
2015-09-23,1927
2015-09-24,2126
2015-09-25,2385
2015-09-26,1785
2015-09-27,1903
2015-09-28,2359
2015-09-29,2615
2015-09-30,2865
2015-10-01,2385
2015-10-02,2122
2015-10-03,2132
2015-10-04,2475
2015-10-05,3028
2015-10-06,2818
2015-10-07,3465
2015-10-08,2998
2015-10-09,2691
2015-10-10,2040
2015-10-11,2438
2015-10-12,2614
2015-10-13,3021
2015-10-14,2954
2015-10-15,3055
2015-10-16,2874
2015-10-17,2153
2015-10-18,1916
2015-10-19,2552
2015-10-20,2858
2015-10-21,3036
2015-10-22,3107
2015-10-23,2954
2015-10-24,3019
2015-10-25,3082
2015-10-26,3523
2015-10-27,4678
2015-10-28,9240
2015-10-29,5090
2015-10-30,3604
