date,views
2015-07-01,3895
2015-07-02,4000
2015-07-03,2926
2015-07-04,2654
2015-07-05,2693
2015-07-06,3335
2015-07-07,5012
2015-07-08,3009
2015-07-09,3893
2015-07-10,4150
2015-07-11,3233
2015-07-12,2768
2015-07-13,2507
2015-07-14,2330
2015-07-15,2181
2015-07-16,2227
2015-07-17,2233
2015-07-18,2129
2015-07-19,1921
2015-07-20,2257
2015-07-21,2599
2015-07-22,2787
2015-07-23,2400
2015-07-24,2374
2015-07-25,1972
2015-07-26,1843
2015-07-27,3084
2015-07-28,2634
2015-07-29,1954
2015-07-30,1947
2015-07-31,1671
2015-08-01,1648
2015-08-02,1679
2015-08-03,1552
2015-08-04,1681
2015-08-05,1614
2015-08-06,2022
2015-08-07,1740
2015-08-08,1573
2015-08-09,1538
2015-08-10,1579
2015-08-11,1627
2015-08-12,1641
2015-08-13,1685
2015-08-14,1554
2015-08-15,1462
2015-08-16,1496
2015-08-17,1698
2015-08-18,1625
2015-08-19,1488
2015-08-20,1466
2015-08-21,2101
2015-08-22,1544
2015-08-23,1919
2015-08-24,1686
2015-08-25,1445
2015-08-26,1464
2015-08-27,1538
2015-08-28,1441
2015-08-29,1258
2015-08-30,1319
2015-08-31,1332
2015-09-01,1384
2015-09-02,1427
2015-09-03,1546
2015-09-04,1304
2015-09-05,1319
2015-09-06,1301
2015-09-07,1328
2015-09-08,1402
2015-09-09,1936
2015-09-10,1698
2015-09-11,1612
2015-09-12,1470
2015-09-13,1888
2015-09-14,1455
2015-09-15,1417
2015-09-16,1399
2015-09-17,1279
2015-09-18,1278
2015-09-19,1342
2015-09-20,1278
2015-09-21,1364
2015-09-22,1510
2015-09-23,1426
2015-09-24,1639
2015-09-25,1732
2015-09-26,1438
2015-09-27,1623
2015-09-28,1991
2015-09-29,2394
2015-09-30,2032
2015-10-01,1991
2015-10-02,2126
2015-10-03,2078
2015-10-04,2172
2015-10-05,2470
2015-10-06,2492
2015-10-07,2616
2015-10-08,3171
2015-10-09,2700
2015-10-10,1856
2015-10-11,1772
2015-10-12,2001
2015-10-13,2405
2015-10-14,2478
2015-10-15,2178
2015-10-16,2606
2015-10-17,1747
2015-10-18,1915
2015-10-19,2221
2015-10-20,2419
2015-10-21,2519
2015-10-22,3500
2015-10-23,2800
2015-10-24,2523
2015-10-25,2601
2015-10-26,2979
2015-10-27,4294
2015-10-28,5782
2015-10-29,3867
2015-10-30,3130
2015-10-31,3768
2015-11-01,2450
2015-11-02,2713
2015-11-03,3145
2015-11-04,2750
2015-11-05,4195
2015-11-06,2712
2015-11-07,3029
2015-11-08,3060
2015-11-09,2722
2015-11-10,2601
2015-11-11,3062
2015-11-12,2774
2015-11-13,2655
2015-11-14,2980
2015-11-15,2692
2015-11-16,2285
2015-11-17,2222
2015-11-18,2729
2015-11-19,2584
2015-11-20,3566
2015-11-21,2560
2015-11-22,2797
2015-11-23,2441
2015-11-24,2412
2015-11-25,2971
2015-11-26,2764
2015-11-27,2106
2015-11-28,2562
2015-11-29,2855
2015-11-30,3205
2015-12-01,3410
2015-12-02,3436
2015-12-03,2763
2015-12-04,2400
2015-12-05,2832
2015-12-06,2943
2015-12-07,2559
2015-12-08,2779
2015-12-09,3145
2015-12-10,2375
2015-12-11,2649
2015-12-12,3277
2015-12-13,2327
2015-12-14,1841
2015-12-15,1896
2015-12-16,2537
2015-12-17,2180
2015-12-18,3053
2015-12-19,2043
2015-12-20,2317
2015-12-21,2283
2015-12-22,1926
2015-12-23,1851
2015-12-24,2596
2015-12-25,4104
2015-12-26,4115
2015-12-27,2290
2015-12-28,2059
2015-12-29,2480
2015-12-30,2326
2015-12-31,2062
2016-01-01,1814
2016-01-02,2012
2016-01-03,2271
2016-01-04,2021
2016-01-05,2451
2016-01-06,2133
2016-01-07,2469
2016-01-08,2304
2016-01-09,2857
2016-01-10,2118
2016-01-11,2079
2016-01-12,2012
2016-01-13,2480
2016-01-14,2266
2016-01-15,2864
2016-01-16,2636
2016-01-17,2337
2016-01-18,2161
2016-01-19,4628
2016-01-20,2263
2016-01-21,2509
2016-01-22,9502
2016-01-23,11727
2016-01-24,8866
2016-01-25,4273
2016-01-26,4627
2016-01-27,3351
2016-01-28,3837
2016-01-29,2731
2016-01-30,2903
2016-01-31,4824
2016-02-01,2743
2016-02-02,2825
2016-02-03,2087
2016-02-04,2457
2016-02-05,2176
2016-02-06,2507
2016-02-07,2450
2016-02-08,2135
2016-02-09,2562
2016-02-10,2624
2016-02-11,3388
2016-02-12,2436
2016-02-13,2402
2016-02-14,2275
2016-02-15,3075
2016-02-16,2099
2016-02-17,2041
2016-02-18,3653
2016-02-19,4530
2016-02-20,2830
2016-02-21,3499
2016-02-22,3546
2016-02-23,2981
2016-02-24,2243
2016-02-25,2807
2016-02-26,2390
2016-02-27,2634
2016-02-28,3295
2016-02-29,2461
2016-03-01,3195
2016-03-02,2212
2016-03-03,2286
2016-03-04,3607
2016-03-05,5957
2016-03-06,2754
2016-03-07,2141
2016-03-08,2410
2016-03-09,1806
2016-03-10,2429
2016-03-11,2710
2016-03-12,1901
2016-03-13,2716
2016-03-14,2199
2016-03-15,2254
2016-03-16,1897
2016-03-17,2043
2016-03-18,1694
2016-03-19,2028
2016-03-20,2080
2016-03-21,1828
2016-03-22,2725
2016-03-23,2132
2016-03-24,2493
2016-03-25,2074
2016-03-26,1996
2016-03-27,2305
2016-03-28,2011
2016-03-29,2127
2016-03-30,2658
2016-03-31,2240
2016-04-01,2273
2016-04-02,2722
2016-04-03,2217
2016-04-04,2293
2016-04-05,2138
2016-04-06,2731
2016-04-07,2372
2016-04-08,2176
2016-04-09,1984
2016-04-10,2669
2016-04-11,2786
2016-04-12,3122
2016-04-13,3104
2016-04-14,5691
2016-04-15,3624
2016-04-16,3211
2016-04-17,5392
2016-04-18,3706
2016-04-19,3259
2016-04-20,2762
2016-04-21,4095
2016-04-22,2835
2016-04-23,3440
2016-04-24,2947
2016-04-25,5889
2016-04-26,3322
2016-04-27,2769
2016-04-28,2824
2016-04-29,2324
2016-04-30,2489
2016-05-01,3058
2016-05-02,3408
2016-05-03,4295
2016-05-04,3237
2016-05-05,6052
2016-05-06,3245
2016-05-07,5147
2016-05-08,5624
2016-05-09,5148
2016-05-10,4546
2016-05-11,3735
2016-05-12,4315
2016-05-13,4401
2016-05-14,3612
2016-05-15,8584
2016-05-16,6992
2016-05-17,7921
2016-05-18,14487
2016-05-19,6674
2016-05-20,12189
2016-05-21,5002
2016-05-22,7106
2016-05-23,5081
2016-05-24,8334
2016-05-25,6039
2016-05-26,10606
2016-05-27,5590
2016-05-28,22508
2016-05-29,9907
2016-05-30,6014
2016-05-31,20627
2016-06-01,11051
2016-06-02,13838
2016-06-03,26313
2016-06-04,5644
2016-06-05,6147
2016-06-06,20315
2016-06-07,6955
2016-06-08,6686
2016-06-09,18853
2016-06-10,6340
2016-06-11,21256
2016-06-12,6067
2016-06-13,5690
2016-06-14,20302
2016-06-15,6066
2016-06-16,6842
2016-06-17,41019
2016-06-18,11340
2016-06-19,19468
2016-06-20,349716
2016-06-21,57562
2016-06-22,37486
2016-06-23,27219
2016-06-24,19479
2016-06-25,12416
2016-06-26,11013
2016-06-27,9584
2016-06-28,8134
2016-06-29,8223
2016-06-30,5729
2016-07-01,7642
2016-07-02,6468
2016-07-03,6132
2016-07-04,10886
2016-07-05,11871
2016-07-06,7739
2016-07-07,8731
2016-07-08,7059
2016-07-09,6387
2016-07-10,5265
2016-07-11,5265
2016-07-12,4666
2016-07-13,4627
2016-07-14,5318
2016-07-15,4479
2016-07-16,5564
2016-07-17,5494
2016-07-18,4924
2016-07-19,4112
2016-07-20,3715
2016-07-21,3474
2016-07-22,3473
2016-07-23,3604
2016-07-24,3063
2016-07-25,3053
2016-07-26,3458
2016-07-27,3082
2016-07-28,2897
2016-07-29,2906
2016-07-30,2742
2016-07-31,2992
2016-08-01,3078
2016-08-02,2792
2016-08-03,2804
2016-08-04,2601
2016-08-05,2437
2016-08-06,2585
2016-08-07,2569
2016-08-08,2713
2016-08-09,2614
2016-08-10,2875
2016-08-11,3098
2016-08-12,3476
2016-08-13,2574
2016-08-14,2355
2016-08-15,2147
2016-08-16,2191
2016-08-17,2662
2016-08-18,2443
