date,views
2015-07-01,2358
2015-07-02,2652
2015-07-03,5054
2015-07-04,6039
2015-07-05,3773
2015-07-06,4288
2015-07-07,3366
2015-07-08,3302
2015-07-09,6427
2015-07-10,5772
2015-07-11,4072
2015-07-12,2836
2015-07-13,2937
2015-07-14,2295
2015-07-15,4127
2015-07-16,2757
2015-07-17,2245
2015-07-18,1749
2015-07-19,1511
2015-07-20,1865
2015-07-21,2228
2015-07-22,2212
2015-07-23,2106
2015-07-24,1902
2015-07-25,1943
2015-07-26,1908
2015-07-27,1708
2015-07-28,1691
2015-07-29,1532
2015-07-30,1944
2015-07-31,2075
2015-08-01,1646
2015-08-02,1401
2015-08-03,1260
2015-08-04,1404
2015-08-05,1468
2015-08-06,1505
2015-08-07,1482
2015-08-08,1204
2015-08-09,1196
2015-08-10,1136
2015-08-11,1209
2015-08-12,1283
2015-08-13,1764
2015-08-14,1774
2015-08-15,1255
2015-08-16,1363
2015-08-17,1486
2015-08-18,1378
2015-08-19,1307
2015-08-20,1214
2015-08-21,1149
2015-08-22,989
2015-08-23,962
2015-08-24,1150
2015-08-25,1157
2015-08-26,1083
2015-08-27,1190
2015-08-28,1154
2015-08-29,1039
2015-08-30,1135
2015-08-31,1091
2015-09-01,1001
2015-09-02,1075
2015-09-03,1109
2015-09-04,1096
2015-09-05,1333
2015-09-06,1235
2015-09-07,1268
2015-09-08,1255
2015-09-09,1319
2015-09-10,1348
2015-09-11,1417
2015-09-12,1061
2015-09-13,1252
2015-09-14,1373
2015-09-15,1399
2015-09-16,1221
2015-09-17,1142
2015-09-18,1154
2015-09-19,1075
2015-09-20,1081
2015-09-21,1143
2015-09-22,1020
2015-09-23,1136
2015-09-24,1074
2015-09-25,1123
2015-09-26,1137
2015-09-27,1045
2015-09-28,1253
2015-09-29,1320
2015-09-30,1332
2015-10-01,1242
2015-10-02,1399
2015-10-03,1626
2015-10-04,1622
2015-10-05,1639
2015-10-06,1784
2015-10-07,2076
2015-10-08,1939
2015-10-09,1764
2015-10-10,1349
2015-10-11,1134
2015-10-12,1432
2015-10-13,1769
2015-10-14,2306
2015-10-15,2261
2015-10-16,2117
2015-10-17,1743
2015-10-18,1210
2015-10-19,1606
2015-10-20,1997
2015-10-21,1920
2015-10-22,2000
2015-10-23,1995
2015-10-24,2275
2015-10-25,2156
2015-10-26,2201
2015-10-27,2530
2015-10-28,2709
2015-10-29,2980
2015-10-30,3663
2015-10-31,2263
2015-11-01,1846
2015-11-02,2655
2015-11-03,2199
2015-11-04,2701
2015-11-05,2221
2015-11-06,2351
2015-11-07,1927
2015-11-08,2188
2015-11-09,1781
2015-11-10,2026
2015-11-11,2092
2015-11-12,4804
2015-11-13,2066
2015-11-14,2319
2015-11-15,2346
2015-11-16,1888
2015-11-17,2259
2015-11-18,2297
2015-11-19,2649
2015-11-20,2636
2015-11-21,4194
2015-11-22,5142
2015-11-23,3188
2015-11-24,1965
2015-11-25,2455
2015-11-26,2292
2015-11-27,1825
2015-11-28,1802
2015-11-29,2042
2015-11-30,2232
2015-12-01,2196
2015-12-02,2616
2015-12-03,2088
2015-12-04,1759
2015-12-05,1912
2015-12-06,2058
2015-12-07,2297
2015-12-08,2563
2015-12-09,2138
2015-12-10,2369
2015-12-11,1699
2015-12-12,2114
2015-12-13,1787
2015-12-14,1311
2015-12-15,1555
2015-12-16,1322
2015-12-17,1412
2015-12-18,1125
2015-12-19,1502
2015-12-20,1141
2015-12-21,1249
2015-12-22,1329
2015-12-23,1763
