date,views
2015-07-01,1268
2015-07-02,1250
2015-07-03,1252
2015-07-04,1165
2015-07-05,1151
2015-07-06,1232
2015-07-07,1109
2015-07-08,1022
2015-07-09,1056
2015-07-10,1309
2015-07-11,1238
2015-07-12,1195
2015-07-13,1443
2015-07-14,1300
2015-07-15,1088
2015-07-16,945
2015-07-17,1069
2015-07-18,850
2015-07-19,852
2015-07-20,2896
2015-07-21,1780
2015-07-22,1336
2015-07-23,1203
2015-07-24,1003
2015-07-25,901
2015-07-26,864
2015-07-27,997
2015-07-28,1016
2015-07-29,901
2015-07-30,928
2015-07-31,752
2015-08-01,986
2015-08-02,854
2015-08-03,755
2015-08-04,814
2015-08-05,846
2015-08-06,704
2015-08-07,774
2015-08-08,771
2015-08-09,816
2015-08-10,748
2015-08-11,689
2015-08-12,794
2015-08-13,842
2015-08-14,654
2015-08-15,687
2015-08-16,645
2015-08-17,798
2015-08-18,740
2015-08-19,805
2015-08-20,634
2015-08-21,615
2015-08-22,575
2015-08-23,612
2015-08-24,687
2015-08-25,641
2015-08-26,593
2015-08-27,619
2015-08-28,619
2015-08-29,557
2015-08-30,632
2015-08-31,577
2015-09-01,631
2015-09-02,773
2015-09-03,619
2015-09-04,571
2015-09-05,764
2015-09-06,705
2015-09-07,727
2015-09-08,882
2015-09-09,1006
2015-09-10,928
2015-09-11,972
2015-09-12,1023
2015-09-13,956
2015-09-14,881
2015-09-15,815
2015-09-16,783
2015-09-17,844
2015-09-18,681
2015-09-19,644
2015-09-20,678
2015-09-21,740
2015-09-22,682
2015-09-23,722
2015-09-24,671
2015-09-25,766
2015-09-26,749
2015-09-27,739
2015-09-28,846
2015-09-29,966
2015-09-30,970
2015-10-01,1002
2015-10-02,1015
2015-10-03,1656
2015-10-04,1337
2015-10-05,1398
2015-10-06,1432
2015-10-07,1486
2015-10-08,1402
2015-10-09,1609
2015-10-10,973
2015-10-11,875
2015-10-12,1035
2015-10-13,1340
2015-10-14,1524
2015-10-15,1329
2015-10-16,1470
2015-10-17,1213
2015-10-18,843
2015-10-19,1183
2015-10-20,1344
2015-10-21,1373
2015-10-22,1450
2015-10-23,1374
2015-10-24,1301
2015-10-25,1407
2015-10-26,1427
2015-10-27,1638
2015-10-28,1928
2015-10-29,2382
2015-10-30,1569
2015-10-31,1937
2015-11-01,1264
2015-11-02,1754
2015-11-03,1568
2015-11-04,1853
2015-11-05,1832
2015-11-06,1895
2015-11-07,1934
2015-11-08,1384
2015-11-09,1408
2015-11-10,1673
2015-11-11,1435
2015-11-12,1850
2015-11-13,1463
2015-11-14,1502
2015-11-15,1434
2015-11-16,1324
2015-11-17,1382
2015-11-18,1629
2015-11-19,1716
2015-11-20,1450
2015-11-21,1661
2015-11-22,1540
2015-11-23,2547
