date,views
2018-08-01,1416
2018-08-02,1674
2018-08-03,1445
2018-08-04,1462
2018-08-05,1340
2018-08-06,1477
2018-08-07,1615
2018-08-08,1331
2018-08-09,1707
2018-08-10,1502
2018-08-11,1218
2018-08-12,1355
2018-08-13,1269
2018-08-14,1162
2018-08-15,1102
2018-08-16,1318
2018-08-17,1330
2018-08-18,1204
2018-08-19,1116
2018-08-20,1134
2018-08-21,1175
2018-08-22,1207
2018-08-23,1557
2018-08-24,1336
2018-08-25,1041
2018-08-26,1123
2018-08-27,1078
2018-08-28,1126
2018-08-29,1235
2018-08-30,1209
2018-08-31,1295
2018-09-01,1097
2018-09-02,1129
2018-09-03,1141
2018-09-04,1082
2018-09-05,1085
2018-09-06,1081
2018-09-07,1139
2018-09-08,1198
2018-09-09,1221
2018-09-10,1190
2018-09-11,1415
2018-09-12,1160
2018-09-13,1052
2018-09-14,1104
2018-09-15,1068
2018-09-16,1087
2018-09-17,1257
2018-09-18,1170
2018-09-19,1153
2018-09-20,1400
2018-09-21,1116
2018-09-22,1121
2018-09-23,1125
2018-09-24,1498
2018-09-25,1275
2018-09-26,1334
2018-09-27,1202
2018-09-28,1199
2018-09-29,1078
2018-09-30,1274
2018-10-01,1260
2018-10-02,1160
2018-10-03,1363
2018-10-04,1562
2018-10-05,1238
2018-10-06,1257
2018-10-07,1280
2018-10-08,1229
2018-10-09,1401
2018-10-10,1383
2018-10-11,1646
2018-10-12,1410
2018-10-13,1482
2018-10-14,1401
2018-10-15,1422
2018-10-16,1716
2018-10-17,2313
2018-10-18,2598
2018-10-19,1892
2018-10-20,1996
2018-10-21,2399
2018-10-22,1903
2018-10-23,2464
2018-10-24,4915
2018-10-25,2555
2018-10-26,2774
2018-10-27,2212
2018-10-28,2046
2018-10-29,1817
2018-10-30,1925
2018-10-31,2367
2018-11-01,2170
2018-11-02,1801
2018-11-03,2119
2018-11-04,2026
2018-11-05,1700
2018-11-06,1868
2018-11-07,1473
2018-11-08,1612
2018-11-09,1502
2018-11-10,1652
2018-11-11,1940
2018-11-12,1932
2018-11-13,1662
2018-11-14,2140
2018-11-15,3135
2018-11-16,1978
2018-11-17,1588
2018-11-18,1452
2018-11-19,1664
2018-11-20,1663
2018-11-21,1482
2018-11-22,2403
2018-11-23,1573
2018-11-24,2240
2018-11-25,1649
2018-11-26,1607
2018-11-27,1641
2018-11-28,2030
2018-11-29,1642
2018-11-30,1678
2018-12-01,1763
2018-12-02,2568
2018-12-03,1776
2018-12-04,1851
2018-12-05,1455
2018-12-06,1792
2018-12-07,1515
2018-12-08,2481
2018-12-09,1714
2018-12-10,1499
2018-12-11,1800
2018-12-12,1767
2018-12-13,2254
2018-12-14,2171
2018-12-15,1537
2018-12-16,1881
2018-12-17,1644
2018-12-18,1846
2018-12-19,1439
2018-12-20,1592
2018-12-21,1507
2018-12-22,1594
2018-12-23,1651
2018-12-24,1710
2018-12-25,2201
2018-12-26,2159
2018-12-27,2350
2018-12-28,1716
2018-12-29,1965
2018-12-30,1984
2018-12-31,1557
2019-01-01,1871
2019-01-02,1933
2019-01-03,2021
2019-01-04,2122
2019-01-05,1851
2019-01-06,2380
2019-01-07,1907
2019-01-08,1878
2019-01-09,1927
2019-01-10,2687
2019-01-11,1859
2019-01-12,1980
2019-01-13,1900
2019-01-14,1539
2019-01-15,1577
2019-01-16,1735
2019-01-17,1934
