date,views
2018-08-01,859
2018-08-02,938
2018-08-03,832
2018-08-04,786
2018-08-05,727
2018-08-06,838
2018-08-07,875
2018-08-08,704
2018-08-09,748
2018-08-10,774
2018-08-11,696
2018-08-12,788
2018-08-13,668
2018-08-14,754
2018-08-15,606
2018-08-16,635
2018-08-17,709
2018-08-18,616
2018-08-19,604
2018-08-20,607
2018-08-21,693
2018-08-22,624
2018-08-23,662
2018-08-24,614
2018-08-25,643
2018-08-26,592
2018-08-27,645
2018-08-28,638
2018-08-29,592
2018-08-30,566
2018-08-31,629
2018-09-01,525
2018-09-02,556
2018-09-03,578
2018-09-04,562
2018-09-05,621
2018-09-06,603
2018-09-07,618
2018-09-08,603
2018-09-09,621
2018-09-10,690
2018-09-11,621
2018-09-12,614
2018-09-13,632
2018-09-14,598
2018-09-15,579
2018-09-16,620
2018-09-17,657
2018-09-18,651
2018-09-19,701
2018-09-20,700
2018-09-21,645
2018-09-22,662
2018-09-23,594
2018-09-24,732
2018-09-25,774
2018-09-26,923
2018-09-27,735
2018-09-28,679
2018-09-29,606
2018-09-30,722
2018-10-01,744
2018-10-02,733
2018-10-03,743
2018-10-04,727
2018-10-05,968
2018-10-06,764
2018-10-07,733
2018-10-08,705
2018-10-09,747
2018-10-10,854
2018-10-11,1119
2018-10-12,835
2018-10-13,833
2018-10-14,848
2018-10-15,1045
2018-10-16,1317
2018-10-17,1552
2018-10-18,1419
2018-10-19,1158
2018-10-20,1289
2018-10-21,1200
2018-10-22,1102
2018-10-23,1119
2018-10-24,1035
2018-10-25,1157
2018-10-26,1067
2018-10-27,936
2018-10-28,1012
2018-10-29,1036
2018-10-30,1034
2018-10-31,952
2018-11-01,1534
2018-11-02,1048
2018-11-03,1346
2018-11-04,1729
2018-11-05,1093
2018-11-06,1296
2018-11-07,1002
2018-11-08,1799
2018-11-09,901
2018-11-10,1040
2018-11-11,899
2018-11-12,1008
2018-11-13,899
2018-11-14,865
2018-11-15,1032
2018-11-16,868
2018-11-17,1071
2018-11-18,1064
2018-11-19,885
2018-11-20,1014
2018-11-21,876
2018-11-22,953
2018-11-23,812
2018-11-24,901
2018-11-25,796
2018-11-26,791
2018-11-27,961
2018-11-28,1049
2018-11-29,950
2018-11-30,1449
2018-12-01,803
2018-12-02,929
2018-12-03,808
2018-12-04,880
2018-12-05,988
2018-12-06,886
2018-12-07,714
2018-12-08,1004
2018-12-09,974
2018-12-10,785
2018-12-11,1069
2018-12-12,1032
2018-12-13,1284
2018-12-14,975
2018-12-15,1613
2018-12-16,1053
2018-12-17,1208
2018-12-18,1129
2018-12-19,1254
2018-12-20,1232
2018-12-21,949
2018-12-22,959
2018-12-23,914
2018-12-24,888
2018-12-25,1039
2018-12-26,1130
2018-12-27,1155
2018-12-28,1040
2018-12-29,1261
2018-12-30,882
2018-12-31,1149
2019-01-01,918
2019-01-02,913
2019-01-03,1121
2019-01-04,1099
2019-01-05,1377
2019-01-06,1200
2019-01-07,1288
2019-01-08,943
2019-01-09,1053
2019-01-10,1199
2019-01-11,952
2019-01-12,1636
2019-01-13,1099
2019-01-14,989
2019-01-15,932
2019-01-16,1060
2019-01-17,1046
2019-01-18,1361
2019-01-19,1056
2019-01-20,1502
2019-01-21,1239
2019-01-22,948
2019-01-23,873
2019-01-24,2038
2019-01-25,1076
2019-01-26,913
2019-01-27,1088
2019-01-28,1183
2019-01-29,1482
2019-01-30,937
2019-01-31,1158
2019-02-01,1142
2019-02-02,942
2019-02-03,1089
2019-02-04,897
2019-02-05,1103
2019-02-06,2231
2019-02-07,1594
2019-02-08,1961
2019-02-09,1479
2019-02-10,1794
2019-02-11,1375
