date,views
2015-07-01,2300
2015-07-02,3947
2015-07-03,3484
2015-07-04,3833
2015-07-05,2882
2015-07-06,2776
2015-07-07,2706
2015-07-08,3204
2015-07-09,7238
2015-07-10,4222
2015-07-11,3249
2015-07-12,2557
2015-07-13,2446
2015-07-14,2304
2015-07-15,2117
2015-07-16,3111
2015-07-17,4612
2015-07-18,2357
2015-07-19,2023
2015-07-20,2756
2015-07-21,3147
2015-07-22,3774
2015-07-23,3074
2015-07-24,2450
2015-07-25,2117
2015-07-26,1809
2015-07-27,1862
2015-07-28,1900
2015-07-29,1943
2015-07-30,1971
2015-07-31,1788
2015-08-01,1702
2015-08-02,1646
2015-08-03,1534
2015-08-04,1564
2015-08-05,1661
2015-08-06,1834
2015-08-07,1538
2015-08-08,1536
2015-08-09,1409
2015-08-10,1344
2015-08-11,1784
2015-08-12,1692
2015-08-13,1619
2015-08-14,1402
2015-08-15,1246
2015-08-16,1404
2015-08-17,1540
2015-08-18,1431
2015-08-19,1395
2015-08-20,1345
2015-08-21,1302
2015-08-22,1305
2015-08-23,1352
2015-08-24,1269
2015-08-25,1373
2015-08-26,1345
2015-08-27,1381
2015-08-28,1286
2015-08-29,1190
2015-08-30,1127
2015-08-31,1214
2015-09-01,1425
2015-09-02,1165
2015-09-03,1357
2015-09-04,1192
2015-09-05,1206
2015-09-06,1146
2015-09-07,1262
2015-09-08,1344
2015-09-09,1190
2015-09-10,1468
2015-09-11,1435
2015-09-12,1196
2015-09-13,1435
2015-09-14,1407
2015-09-15,1240
2015-09-16,1251
2015-09-17,1249
2015-09-18,1223
2015-09-19,1108
2015-09-20,1235
2015-09-21,1215
2015-09-22,1211
2015-09-23,1127
2015-09-24,1297
2015-09-25,1737
2015-09-26,1952
2015-09-27,1748
2015-09-28,1736
2015-09-29,1904
2015-09-30,1808
2015-10-01,1633
2015-10-02,1667
2015-10-03,2740
2015-10-04,2320
2015-10-05,2367
2015-10-06,2277
2015-10-07,2319
2015-10-08,2169
2015-10-09,1937
2015-10-10,1685
2015-10-11,1702
2015-10-12,1935
2015-10-13,2208
2015-10-14,3680
2015-10-15,3384
2015-10-16,3022
2015-10-17,2030
2015-10-18,1748
2015-10-19,1977
2015-10-20,2312
2015-10-21,2880
2015-10-22,2513
2015-10-23,2595
2015-10-24,2202
2015-10-25,2406
2015-10-26,2753
2015-10-27,3028
2015-10-28,3160
2015-10-29,3334
2015-10-30,4868
2015-10-31,2683
2015-11-01,2694
2015-11-02,2600
2015-11-03,2951
2015-11-04,2716
2015-11-05,4644
2015-11-06,2455
2015-11-07,2537
2015-11-08,2873
2015-11-09,2221
2015-11-10,2701
2015-11-11,2356
2015-11-12,3562
2015-11-13,2740
2015-11-14,2272
2015-11-15,2159
2015-11-16,1930
2015-11-17,2144
2015-11-18,2188
2015-11-19,2188
2015-11-20,4849
2015-11-21,3202
2015-11-22,2866
2015-11-23,2512
2015-11-24,1734
2015-11-25,2668
2015-11-26,2379
2015-11-27,1799
2015-11-28,2056
2015-11-29,2334
2015-11-30,2795
2015-12-01,2697
2015-12-02,2530
2015-12-03,2721
2015-12-04,1862
2015-12-05,1656
2015-12-06,2354
2015-12-07,2056
2015-12-08,2252
2015-12-09,2174
2015-12-10,2558
2015-12-11,2620
2015-12-12,2370
2015-12-13,2164
2015-12-14,1564
2015-12-15,1849
2015-12-16,1492
2015-12-17,1800
2015-12-18,1600
2015-12-19,2303
2015-12-20,1645
2015-12-21,1412
2015-12-22,2200
2015-12-23,1457
