date,views
2015-07-01,5585
2015-07-02,5892
2015-07-03,5467
2015-07-04,5413
2015-07-05,7692
2015-07-06,8673
2015-07-07,6030
2015-07-08,4973
2015-07-09,6516
2015-07-10,8800
2015-07-11,5660
2015-07-12,4986
2015-07-13,4412
2015-07-14,4248
2015-07-15,3805
2015-07-16,3600
2015-07-17,3461
2015-07-18,2959
2015-07-19,2995
2015-07-20,3956
2015-07-21,5272
2015-07-22,4918
2015-07-23,4742
2015-07-24,3784
2015-07-25,3408
2015-07-26,3110
2015-07-27,3273
2015-07-28,3519
2015-07-29,3247
2015-07-30,3028
2015-07-31,3012
2015-08-01,2634
2015-08-02,2769
2015-08-03,2570
2015-08-04,2730
2015-08-05,2868
2015-08-06,2655
2015-08-07,2498
2015-08-08,2570
2015-08-09,2826
2015-08-10,2702
2015-08-11,2723
2015-08-12,2600
2015-08-13,3017
2015-08-14,3697
2015-08-15,2618
2015-08-16,2493
2015-08-17,2727
2015-08-18,2575
2015-08-19,2666
2015-08-20,2492
2015-08-21,2767
2015-08-22,2339
2015-08-23,2879
2015-08-24,2644
2015-08-25,2877
2015-08-26,2590
2015-08-27,2732
2015-08-28,2689
2015-08-29,2493
2015-08-30,2314
2015-08-31,2692
2015-09-01,3184
2015-09-02,2739
2015-09-03,2754
2015-09-04,2465
2015-09-05,2277
2015-09-06,2292
2015-09-07,2147
2015-09-08,2274
2015-09-09,2375
2015-09-10,2918
2015-09-11,2379
2015-09-12,2318
2015-09-13,2487
2015-09-14,2581
2015-09-15,2536
2015-09-16,2324
2015-09-17,2519
2015-09-18,2580
2015-09-19,2056
2015-09-20,2307
2015-09-21,2347
2015-09-22,2280
2015-09-23,2183
2015-09-24,2903
2015-09-25,4106
2015-09-26,2542
2015-09-27,2502
2015-09-28,2636
2015-09-29,3191
2015-09-30,3309
2015-10-01,2943
2015-10-02,2850
2015-10-03,2794
2015-10-04,3246
2015-10-05,3986
2015-10-06,3270
2015-10-07,4290
2015-10-08,3922
2015-10-09,3749
2015-10-10,2768
2015-10-11,2559
2015-10-12,3501
2015-10-13,3286
2015-10-14,5613
2015-10-15,5521
2015-10-16,4803
2015-10-17,3434
2015-10-18,4215
2015-10-19,3685
2015-10-20,4769
2015-10-21,4297
2015-10-22,3730
2015-10-23,4205
2015-10-24,3464
2015-10-25,3578
2015-10-26,4202
2015-10-27,4956
2015-10-28,5899
2015-10-29,8030
2015-10-30,4502
2015-10-31,4188
2015-11-01,3355
2015-11-02,4575
2015-11-03,4375
2015-11-04,5158
2015-11-05,4565
2015-11-06,4094
2015-11-07,4639
2015-11-08,4091
2015-11-09,4048
2015-11-10,3885
2015-11-11,4699
2015-11-12,4643
2015-11-13,3702
2015-11-14,3711
2015-11-15,3295
2015-11-16,3679
2015-11-17,3766
2015-11-18,4075
2015-11-19,3817
2015-11-20,4329
2015-11-21,4545
2015-11-22,3645
2015-11-23,4436
2015-11-24,3607
2015-11-25,8559
2015-11-26,4253
2015-11-27,3563
2015-11-28,3705
2015-11-29,4259
2015-11-30,13446
2015-12-01,9518
2015-12-02,9854
2015-12-03,7505
2015-12-04,5571
2015-12-05,4874
2015-12-06,5172
2015-12-07,5203
2015-12-08,5413
2015-12-09,5143
2015-12-10,4979
2015-12-11,3926
2015-12-12,5782
2015-12-13,5247
2015-12-14,3428
2015-12-15,3149
2015-12-16,3777
2015-12-17,3609
2015-12-18,3986
2015-12-19,3691
2015-12-20,3171
2015-12-21,2857
2015-12-22,2878
2015-12-23,3308
2015-12-24,3697
2015-12-25,3940
2015-12-26,7318
2015-12-27,3544
2015-12-28,3824
2015-12-29,4156
2015-12-30,3788
2015-12-31,4627
2016-01-01,3438
2016-01-02,4175
