date,views
2015-07-01,1495
2015-07-02,1775
2015-07-03,1480
2015-07-04,1509
2015-07-05,1537
2015-07-06,1589
2015-07-07,1565
2015-07-08,1154
2015-07-09,1299
2015-07-10,1456
2015-07-11,1245
2015-07-12,1157
2015-07-13,1249
2015-07-14,1216
2015-07-15,1030
2015-07-16,1070
2015-07-17,1072
2015-07-18,907
2015-07-19,1069
2015-07-20,1242
2015-07-21,1164
2015-07-22,1106
2015-07-23,1012
2015-07-24,925
2015-07-25,803
2015-07-26,830
2015-07-27,833
2015-07-28,967
2015-07-29,916
2015-07-30,931
2015-07-31,807
2015-08-01,825
2015-08-02,761
2015-08-03,691
2015-08-04,793
2015-08-05,770
2015-08-06,1040
2015-08-07,792
2015-08-08,676
2015-08-09,750
2015-08-10,700
2015-08-11,658
2015-08-12,746
2015-08-13,890
2015-08-14,719
2015-08-15,656
2015-08-16,669
2015-08-17,869
2015-08-18,816
2015-08-19,771
2015-08-20,708
2015-08-21,718
2015-08-22,588
2015-08-23,581
2015-08-24,687
2015-08-25,632
2015-08-26,647
2015-08-27,650
2015-08-28,586
2015-08-29,612
2015-08-30,689
2015-08-31,676
2015-09-01,640
2015-09-02,591
2015-09-03,696
2015-09-04,605
2015-09-05,619
2015-09-06,605
2015-09-07,652
2015-09-08,729
2015-09-09,713
2015-09-10,713
2015-09-11,759
2015-09-12,683
2015-09-13,731
2015-09-14,672
2015-09-15,707
2015-09-16,716
2015-09-17,776
2015-09-18,722
2015-09-19,670
2015-09-20,799
2015-09-21,743
2015-09-22,658
2015-09-23,596
2015-09-24,691
2015-09-25,805
2015-09-26,745
2015-09-27,706
2015-09-28,813
2015-09-29,907
2015-09-30,848
2015-10-01,802
2015-10-02,1034
2015-10-03,1215
2015-10-04,1381
2015-10-05,1440
2015-10-06,1511
2015-10-07,1612
2015-10-08,1741
2015-10-09,1521
2015-10-10,945
2015-10-11,882
2015-10-12,1218
2015-10-13,1414
2015-10-14,1440
2015-10-15,1373
2015-10-16,1461
2015-10-17,1188
2015-10-18,917
2015-10-19,1308
2015-10-20,1387
2015-10-21,1379
2015-10-22,1487
2015-10-23,1379
2015-10-24,1468
2015-10-25,1591
2015-10-26,1614
2015-10-27,1776
2015-10-28,2217
2015-10-29,2590
2015-10-30,1812
2015-10-31,1683
2015-11-01,1504
2015-11-02,1713
2015-11-03,2844
2015-11-04,1663
2015-11-05,1707
2015-11-06,2020
2015-11-07,1561
2015-11-08,1626
2015-11-09,1512
2015-11-10,2263
2015-11-11,2489
2015-11-12,2459
2015-11-13,1754
2015-11-14,1817
2015-11-15,1919
2015-11-16,1547
2015-11-17,2632
2015-11-18,1748
2015-11-19,1704
2015-11-20,1616
2015-11-21,1889
2015-11-22,1534
2015-11-23,1354
2015-11-24,1001
2015-11-25,1804
2015-11-26,1682
2015-11-27,1405
2015-11-28,1379
2015-11-29,1424
2015-11-30,1864
2015-12-01,1645
2015-12-02,1756
2015-12-03,1627
2015-12-04,2218
2015-12-05,1092
2015-12-06,2094
2015-12-07,1673
2015-12-08,1580
2015-12-09,1750
2015-12-10,1940
2015-12-11,1161
2015-12-12,1622
2015-12-13,1320
2015-12-14,1288
2015-12-15,1036
2015-12-16,919
2015-12-17,1662
2015-12-18,906
2015-12-19,1175
2015-12-20,1019
2015-12-21,758
2015-12-22,987
2015-12-23,1053
2015-12-24,1031
2015-12-25,1339
2015-12-26,1124
2015-12-27,1289
2015-12-28,1486
2015-12-29,1255
2015-12-30,1523
2015-12-31,860
2016-01-01,901
2016-01-02,1076
2016-01-03,1151
2016-01-04,913
2016-01-05,1118
2016-01-06,1050
2016-01-07,1540
2016-01-08,1078
2016-01-09,1254
2016-01-10,1276
2016-01-11,1209
2016-01-12,907
2016-01-13,1159
2016-01-14,1038
2016-01-15,1286
2016-01-16,1154
2016-01-17,1738
2016-01-18,1788
2016-01-19,1215
2016-01-20,968
2016-01-21,1080
2016-01-22,1222
2016-01-23,1126
2016-01-24,1396
2016-01-25,1184
2016-01-26,1403
2016-01-27,1111
2016-01-28,1089
2016-01-29,1393
2016-01-30,1022
2016-01-31,1301
2016-02-01,966
2016-02-02,979
2016-02-03,882
2016-02-04,999
2016-02-05,1060
2016-02-06,1461
2016-02-07,1286
2016-02-08,1223
2016-02-09,1473
2016-02-10,1384
2016-02-11,1462
2016-02-12,1212
2016-02-13,1206
2016-02-14,1294
2016-02-15,1850
2016-02-16,1567
2016-02-17,2162
2016-02-18,2169
2016-02-19,2436
2016-02-20,2511
2016-02-21,1831
2016-02-22,1962
2016-02-23,1300
2016-02-24,1269
2016-02-25,1691
2016-02-26,1217
2016-02-27,2129
2016-02-28,1699
2016-02-29,1362
2016-03-01,1361
2016-03-02,1232
2016-03-03,1416
2016-03-04,1201
2016-03-05,1308
2016-03-06,1366
2016-03-07,1212
2016-03-08,1835
2016-03-09,1193
2016-03-10,1600
2016-03-11,1321
2016-03-12,1709
2016-03-13,1574
2016-03-14,1264
2016-03-15,1441
2016-03-16,1185
2016-03-17,1204
2016-03-18,1199
2016-03-19,1037
2016-03-20,1490
2016-03-21,1211
2016-03-22,1399
2016-03-23,1574
2016-03-24,1115
2016-03-25,1077
2016-03-26,1455
2016-03-27,1121
2016-03-28,1327
2016-03-29,1207
2016-03-30,1128
2016-03-31,1235
2016-04-01,1204
2016-04-02,1721
2016-04-03,1191
2016-04-04,1316
2016-04-05,1698
2016-04-06,1548
2016-04-07,1256
2016-04-08,1546
2016-04-09,1799
2016-04-10,4050
2016-04-11,2068
2016-04-12,1638
2016-04-13,2462
2016-04-14,4869
2016-04-15,2464
2016-04-16,2308
2016-04-17,2154
2016-04-18,3897
2016-04-19,1914
2016-04-20,3194
2016-04-21,1384
2016-04-22,1467
2016-04-23,3602
2016-04-24,4633
2016-04-25,2869
2016-04-26,1656
2016-04-27,1332
2016-04-28,1412
2016-04-29,993
2016-04-30,1249
2016-05-01,1426
2016-05-02,1896
2016-05-03,1163
2016-05-04,1479
2016-05-05,1041
2016-05-06,1366
2016-05-07,2283
2016-05-08,1701
2016-05-09,2034
2016-05-10,2133
2016-05-11,1414
2016-05-12,1805
2016-05-13,1516
2016-05-14,1494
2016-05-15,2285
2016-05-16,1944
2016-05-17,1830
2016-05-18,1896
2016-05-19,1465
2016-05-20,1547
2016-05-21,1137
2016-05-22,1905
2016-05-23,1384
2016-05-24,2314
2016-05-25,1648
2016-05-26,1908
2016-05-27,1561
2016-05-28,2004
2016-05-29,1869
2016-05-30,1477
2016-05-31,2113
2016-06-01,1476
2016-06-02,1405
2016-06-03,1576
2016-06-04,966
2016-06-05,1113
2016-06-06,1440
2016-06-07,1167
2016-06-08,1103
2016-06-09,1437
2016-06-10,1040
2016-06-11,1170
2016-06-12,988
2016-06-13,903
2016-06-14,1316
2016-06-15,1005
2016-06-16,997
2016-06-17,1350
2016-06-18,989
2016-06-19,1040
2016-06-20,3132
2016-06-21,1585
2016-06-22,1530
2016-06-23,1691
2016-06-24,3204
2016-06-25,1705
2016-06-26,1523
2016-06-27,1601
2016-06-28,1465
2016-06-29,1288
2016-06-30,1357
2016-07-01,2505
2016-07-02,3622
2016-07-03,2553
2016-07-04,2935
2016-07-05,3153
2016-07-06,2201
2016-07-07,2279
2016-07-08,2198
2016-07-09,2140
2016-07-10,1843
2016-07-11,1878
2016-07-12,1621
2016-07-13,1468
2016-07-14,1581
2016-07-15,1514
2016-07-16,1506
2016-07-17,1432
2016-07-18,1425
2016-07-19,1348
2016-07-20,1127
2016-07-21,1127
2016-07-22,1223
2016-07-23,1139
2016-07-24,1074
2016-07-25,1313
2016-07-26,1146
2016-07-27,1134
2016-07-28,1048
2016-07-29,946
2016-07-30,935
2016-07-31,910
2016-08-01,993
2016-08-02,904
2016-08-03,873
2016-08-04,962
2016-08-05,892
2016-08-06,969
2016-08-07,981
2016-08-08,906
2016-08-09,1032
2016-08-10,963
2016-08-11,982
2016-08-12,992
2016-08-13,819
2016-08-14,768
2016-08-15,862
2016-08-16,920
2016-08-17,845
2016-08-18,710
2016-08-19,815
2016-08-20,668
2016-08-21,912
2016-08-22,771
2016-08-23,778
2016-08-24,750
2016-08-25,758
2016-08-26,770
2016-08-27,715
2016-08-28,644
2016-08-29,705
2016-08-30,667
2016-08-31,713
2016-09-01,761
2016-09-02,637
2016-09-03,589
2016-09-04,631
2016-09-05,878
2016-09-06,715
2016-09-07,733
2016-09-08,645
2016-09-09,688
2016-09-10,829
2016-09-11,738
2016-09-12,734
2016-09-13,636
2016-09-14,672
2016-09-15,697
2016-09-16,743
2016-09-17,753
2016-09-18,775
2016-09-19,763
2016-09-20,887
2016-09-21,730
2016-09-22,791
2016-09-23,722
2016-09-24,902
2016-09-25,810
2016-09-26,875
2016-09-27,872
2016-09-28,838
2016-09-29,858
2016-09-30,764
2016-10-01,831
2016-10-02,994
2016-10-03,1028
2016-10-04,1185
2016-10-05,1185
2016-10-06,1007
2016-10-07,902
2016-10-08,885
2016-10-09,868
2016-10-10,783
2016-10-11,923
2016-10-12,974
2016-10-13,920
2016-10-14,993
2016-10-15,894
2016-10-16,1064
2016-10-17,952
2016-10-18,918
2016-10-19,977
2016-10-20,1097
2016-10-21,1005
2016-10-22,1261
2016-10-23,1091
2016-10-24,1327
2016-10-25,1608
2016-10-26,1859
2016-10-27,2271
2016-10-28,1461
2016-10-29,1390
2016-10-30,1935
2016-10-31,1499
2016-11-01,1307
2016-11-02,1677
2016-11-03,1577
2016-11-04,1453
2016-11-05,1536
2016-11-06,1640
2016-11-07,1371
2016-11-08,1078
2016-11-09,1101
2016-11-10,1184
2016-11-11,1238
2016-11-12,1134
2016-11-13,1228
2016-11-14,1066
2016-11-15,1268
2016-11-16,1332
2016-11-17,2847
2016-11-18,1338
2016-11-19,1498
2016-11-20,1489
2016-11-21,1326
2016-11-22,1556
2016-11-23,1282
2016-11-24,1649
2016-11-25,1070
2016-11-26,1293
2016-11-27,1347
2016-11-28,1089
2016-11-29,1329
2016-11-30,1251
2016-12-01,1429
2016-12-02,1385
2016-12-03,1158
2016-12-04,1778
2016-12-05,1147
2016-12-06,1602
2016-12-07,1525
2016-12-08,1195
2016-12-09,1752
2016-12-10,1402
2016-12-11,3764
2016-12-12,1484
2016-12-13,1399
2016-12-14,1873
2016-12-15,1975
2016-12-16,1092
2016-12-17,2098
2016-12-18,1285
2016-12-19,1401
2016-12-20,1051
2016-12-21,1684
2016-12-22,1445
2016-12-23,1221
2016-12-24,1396
2016-12-25,1297
2016-12-26,1271
2016-12-27,1553
2016-12-28,1756
2016-12-29,1489
2016-12-30,2354
2016-12-31,1463
2017-01-01,1214
2017-01-02,1217
2017-01-03,1157
2017-01-04,1919
2017-01-05,2021
2017-01-06,1450
2017-01-07,5017
2017-01-08,1749
2017-01-09,2031
2017-01-10,1293
2017-01-11,1329
2017-01-12,2512
2017-01-13,1437
2017-01-14,1849
2017-01-15,1403
2017-01-16,2092
2017-01-17,1324
2017-01-18,1179
2017-01-19,1346
2017-01-20,1139
2017-01-21,1456
2017-01-22,1656
2017-01-23,1202
2017-01-24,1219
2017-01-25,1145
2017-01-26,2160
2017-01-27,1406
2017-01-28,1594
2017-01-29,1517
2017-01-30,1146
2017-01-31,1971
2017-02-01,1252
2017-02-02,1359
2017-02-03,1314
2017-02-04,1585
2017-02-05,1472
2017-02-06,1276
2017-02-07,2473
2017-02-08,1316
2017-02-09,1699
2017-02-10,1528
2017-02-11,2428
2017-02-12,1804
2017-02-13,1318
2017-02-14,1487
2017-02-15,1195
2017-02-16,1581
2017-02-17,1209
2017-02-18,1300
2017-02-19,1257
2017-02-20,1986
2017-02-21,1662
2017-02-22,1433
2017-02-23,1279
2017-02-24,1571
2017-02-25,1588
2017-02-26,1414
2017-02-27,1311
2017-02-28,1204
2017-03-01,1505
2017-03-02,1279
2017-03-03,1199
2017-03-04,1236
2017-03-05,1415
2017-03-06,1161
2017-03-07,1243
2017-03-08,1084
2017-03-09,1091
2017-03-10,1082
2017-03-11,1105
2017-03-12,1368
2017-03-13,1087
2017-03-14,1461
2017-03-15,1202
2017-03-16,1255
2017-03-17,1183
2017-03-18,1155
2017-03-19,1612
2017-03-20,1182
2017-03-21,1181
2017-03-22,1273
2017-03-23,1227
2017-03-24,1352
2017-03-25,1260
2017-03-26,1317
2017-03-27,1630
2017-03-28,1342
2017-03-29,1141
2017-03-30,1270
2017-03-31,1085
2017-04-01,1292
2017-04-02,1237
2017-04-03,1027
2017-04-04,1022
2017-04-05,1420
2017-04-06,1359
2017-04-07,1028
2017-04-08,1240
2017-04-09,1101
2017-04-10,1108
2017-04-11,1154
2017-04-12,1145
2017-04-13,1699
2017-04-14,1508
2017-04-15,1814
2017-04-16,5245
2017-04-17,1817
