date,views
2015-07-01,6712
2015-07-02,3453
2015-07-03,3757
2015-07-04,3083
2015-07-05,2899
2015-07-06,2955
2015-07-07,2783
2015-07-08,2551
2015-07-09,3345
2015-07-10,4591
2015-07-11,4802
2015-07-12,3081
2015-07-13,3026
2015-07-14,2726
2015-07-15,2555
2015-07-16,2179
2015-07-17,2120
2015-07-18,1829
2015-07-19,1855
2015-07-20,2223
2015-07-21,2256
2015-07-22,2120
2015-07-23,2327
2015-07-24,2277
2015-07-25,1861
2015-07-26,2021
2015-07-27,2657
2015-07-28,2632
2015-07-29,2055
2015-07-30,1989
2015-07-31,1684
2015-08-01,1765
2015-08-02,1755
2015-08-03,1803
2015-08-04,1998
2015-08-05,1642
2015-08-06,1785
2015-08-07,1574
2015-08-08,1753
2015-08-09,1992
2015-08-10,1790
2015-08-11,1632
2015-08-12,1631
2015-08-13,1703
2015-08-14,1516
2015-08-15,1400
2015-08-16,1478
2015-08-17,1648
2015-08-18,1660
2015-08-19,1623
2015-08-20,1753
2015-08-21,1642
2015-08-22,1553
2015-08-23,1755
2015-08-24,1516
2015-08-25,1601
2015-08-26,1555
2015-08-27,1639
2015-08-28,1604
2015-08-29,1387
2015-08-30,1535
2015-08-31,1574
2015-09-01,1469
2015-09-02,1641
2015-09-03,1960
2015-09-04,1481
2015-09-05,1597
2015-09-06,1369
2015-09-07,1439
2015-09-08,1433
2015-09-09,1477
2015-09-10,1552
2015-09-11,1372
2015-09-12,1305
2015-09-13,1543
2015-09-14,1441
2015-09-15,1347
2015-09-16,1280
2015-09-17,1438
2015-09-18,1277
2015-09-19,1234
2015-09-20,1247
2015-09-21,1344
2015-09-22,1314
2015-09-23,1356
2015-09-24,1337
2015-09-25,1545
2015-09-26,1418
2015-09-27,1369
2015-09-28,1625
2015-09-29,1884
2015-09-30,1678
2015-10-01,1595
2015-10-02,1605
2015-10-03,1605
2015-10-04,2097
2015-10-05,2435
2015-10-06,2322
2015-10-07,2280
2015-10-08,2228
2015-10-09,1932
2015-10-10,1706
2015-10-11,1497
2015-10-12,1830
2015-10-13,2215
2015-10-14,2854
2015-10-15,2786
2015-10-16,2689
2015-10-17,2026
2015-10-18,1852
2015-10-19,2014
2015-10-20,2131
2015-10-21,2269
2015-10-22,2787
2015-10-23,2330
2015-10-24,2390
2015-10-25,2379
2015-10-26,2449
2015-10-27,2852
2015-10-28,3478
2015-10-29,3487
2015-10-30,3172
2015-10-31,2997
2015-11-01,2280
2015-11-02,2956
2015-11-03,2729
2015-11-04,2954
2015-11-05,2509
2015-11-06,2740
2015-11-07,3107
2015-11-08,2550
2015-11-09,2797
2015-11-10,2927
2015-11-11,3885
2015-11-12,3157
2015-11-13,3158
2015-11-14,2270
2015-11-15,2419
2015-11-16,2193
2015-11-17,2423
2015-11-18,2799
2015-11-19,2666
2015-11-20,3020
2015-11-21,2586
2015-11-22,2765
2015-11-23,2489
2015-11-24,2437
2015-11-25,2793
2015-11-26,2386
2015-11-27,2347
2015-11-28,2580
2015-11-29,2448
2015-11-30,3867
2015-12-01,3344
2015-12-02,3115
2015-12-03,3145
2015-12-04,3427
2015-12-05,2428
2015-12-06,3836
2015-12-07,3019
2015-12-08,3069
2015-12-09,2994
2015-12-10,2543
2015-12-11,2174
2015-12-12,2932
2015-12-13,2672
2015-12-14,2395
2015-12-15,2170
2015-12-16,2019
2015-12-17,2229
2015-12-18,2072
2015-12-19,2165
2015-12-20,1929
2015-12-21,1969
2015-12-22,1977
2015-12-23,2118
2015-12-24,2150
2015-12-25,4212
2015-12-26,2913
2015-12-27,2253
2015-12-28,2089
2015-12-29,2663
