date,views
2015-07-01,1691
2015-07-02,5098
2015-07-03,3668
2015-07-04,2240
2015-07-05,1962
2015-07-06,2626
2015-07-07,3408
2015-07-08,2193
2015-07-09,2093
2015-07-10,2654
2015-07-11,1904
2015-07-12,1687
2015-07-13,2491
2015-07-14,2091
2015-07-15,2016
2015-07-16,2153
2015-07-17,1671
2015-07-18,1383
2015-07-19,1205
2015-07-20,1669
2015-07-21,1544
2015-07-22,1487
2015-07-23,1509
2015-07-24,1436
2015-07-25,1213
2015-07-26,1182
2015-07-27,1225
2015-07-28,1478
2015-07-29,1654
2015-07-30,1199
2015-07-31,1163
2015-08-01,1081
2015-08-02,1260
2015-08-03,1066
2015-08-04,1118
2015-08-05,1083
2015-08-06,1252
2015-08-07,1043
2015-08-08,948
2015-08-09,961
2015-08-10,1014
2015-08-11,1204
2015-08-12,1427
2015-08-13,1398
2015-08-14,993
2015-08-15,903
2015-08-16,884
2015-08-17,1048
2015-08-18,1056
2015-08-19,1052
2015-08-20,1041
2015-08-21,924
2015-08-22,776
2015-08-23,824
2015-08-24,918
2015-08-25,817
2015-08-26,719
2015-08-27,918
2015-08-28,798
2015-08-29,723
2015-08-30,764
2015-08-31,835
2015-09-01,744
2015-09-02,751
2015-09-03,758
2015-09-04,805
2015-09-05,807
2015-09-06,835
2015-09-07,820
2015-09-08,945
2015-09-09,1025
2015-09-10,1218
2015-09-11,1004
2015-09-12,886
2015-09-13,1333
2015-09-14,1099
2015-09-15,1129
2015-09-16,998
2015-09-17,906
2015-09-18,912
2015-09-19,810
2015-09-20,836
2015-09-21,802
2015-09-22,861
2015-09-23,881
2015-09-24,806
2015-09-25,950
2015-09-26,945
2015-09-27,981
2015-09-28,1071
2015-09-29,1310
2015-09-30,1324
2015-10-01,1281
2015-10-02,1382
2015-10-03,1533
2015-10-04,1804
2015-10-05,1672
2015-10-06,1767
2015-10-07,1957
2015-10-08,1615
2015-10-09,1546
2015-10-10,1206
2015-10-11,1087
2015-10-12,1365
2015-10-13,1585
2015-10-14,1763
