date,views
2015-07-01,3342
2015-07-02,2230
2015-07-03,1723
2015-07-04,1727
2015-07-05,1659
2015-07-06,2102
2015-07-07,1906
2015-07-08,1684
2015-07-09,5842
2015-07-10,4402
2015-07-11,1804
2015-07-12,1743
2015-07-13,1987
2015-07-14,1756
2015-07-15,1491
2015-07-16,1381
2015-07-17,1524
2015-07-18,1196
2015-07-19,1423
2015-07-20,1562
2015-07-21,1368
2015-07-22,1702
2015-07-23,1302
2015-07-24,1088
2015-07-25,1003
2015-07-26,936
2015-07-27,1063
2015-07-28,1173
2015-07-29,1041
2015-07-30,937
2015-07-31,972
2015-08-01,889
2015-08-02,913
2015-08-03,1013
2015-08-04,903
2015-08-05,941
2015-08-06,901
2015-08-07,837
2015-08-08,867
2015-08-09,865
2015-08-10,925
2015-08-11,845
2015-08-12,998
2015-08-13,1104
2015-08-14,874
2015-08-15,827
2015-08-16,846
2015-08-17,893
2015-08-18,887
2015-08-19,1014
2015-08-20,886
2015-08-21,999
2015-08-22,836
2015-08-23,935
2015-08-24,855
2015-08-25,943
2015-08-26,804
2015-08-27,855
2015-08-28,980
2015-08-29,895
2015-08-30,998
2015-08-31,855
2015-09-01,714
2015-09-02,669
2015-09-03,650
2015-09-04,666
2015-09-05,821
2015-09-06,697
2015-09-07,768
2015-09-08,851
2015-09-09,810
2015-09-10,901
2015-09-11,831
2015-09-12,716
2015-09-13,970
2015-09-14,921
2015-09-15,900
2015-09-16,898
2015-09-17,876
2015-09-18,979
2015-09-19,751
2015-09-20,880
2015-09-21,804
2015-09-22,906
2015-09-23,886
2015-09-24,969
2015-09-25,988
2015-09-26,918
2015-09-27,962
2015-09-28,1101
2015-09-29,1141
2015-09-30,1181
2015-10-01,1141
2015-10-02,1287
2015-10-03,1345
2015-10-04,1797
2015-10-05,2119
2015-10-06,1626
2015-10-07,1617
2015-10-08,1657
2015-10-09,1603
2015-10-10,1402
2015-10-11,1337
2015-10-12,1658
2015-10-13,2372
2015-10-14,2048
2015-10-15,2380
2015-10-16,2736
2015-10-17,1958
2015-10-18,1793
2015-10-19,1867
2015-10-20,2440
2015-10-21,2208
2015-10-22,2140
2015-10-23,3148
2015-10-24,2607
2015-10-25,2226
2015-10-26,2353
2015-10-27,3784
2015-10-28,10696
2015-10-29,4810
2015-10-30,2430
2015-10-31,2669
2015-11-01,3984
2015-11-02,2344
2015-11-03,2455
2015-11-04,3245
2015-11-05,2406
2015-11-06,2293
2015-11-07,2900
2015-11-08,3023
2015-11-09,2170
2015-11-10,2316
2015-11-11,3072
2015-11-12,3209
2015-11-13,2499
2015-11-14,3852
2015-11-15,3415
2015-11-16,2536
2015-11-17,3488
2015-11-18,3053
2015-11-19,5526
2015-11-20,2626
2015-11-21,6567
2015-11-22,2236
2015-11-23,2283
2015-11-24,1607
2015-11-25,2142
2015-11-26,2484
2015-11-27,2295
2015-11-28,3023
2015-11-29,2456
2015-11-30,2340
2015-12-01,3088
2015-12-02,2801
2015-12-03,4334
2015-12-04,2140
2015-12-05,6953
2015-12-06,2617
2015-12-07,2245
2015-12-08,2890
2015-12-09,2182
2015-12-10,1958
2015-12-11,1581
2015-12-12,2765
2015-12-13,3396
2015-12-14,1499
2015-12-15,1748
2015-12-16,1227
2015-12-17,1698
2015-12-18,1696
2015-12-19,2857
2015-12-20,1434
2015-12-21,1635
2015-12-22,2225
2015-12-23,1662
2015-12-24,2317
2015-12-25,9900
2015-12-26,3957
2015-12-27,3406
2015-12-28,2055
2015-12-29,3216
2015-12-30,1607
2015-12-31,1643
2016-01-01,1673
2016-01-02,1964
2016-01-03,2457
2016-01-04,1422
2016-01-05,1636
2016-01-06,1480
2016-01-07,1842
2016-01-08,1484
2016-01-09,1807
2016-01-10,2242
2016-01-11,1833
2016-01-12,1396
2016-01-13,3028
2016-01-14,2131
2016-01-15,1630
2016-01-16,1940
2016-01-17,1599
2016-01-18,2719
2016-01-19,2065
2016-01-20,2318
2016-01-21,1750
2016-01-22,2248
2016-01-23,1817
2016-01-24,2096
2016-01-25,2429
2016-01-26,2191
2016-01-27,1435
2016-01-28,1547
2016-01-29,1864
2016-01-30,1420
2016-01-31,2085
2016-02-01,1485
2016-02-02,1450
2016-02-03,1374
2016-02-04,2296
2016-02-05,4553
2016-02-06,2128
2016-02-07,2960
2016-02-08,1749
2016-02-09,2049
2016-02-10,1772
2016-02-11,2921
2016-02-12,3460
2016-02-13,1601
2016-02-14,1989
2016-02-15,3053
2016-02-16,1652
2016-02-17,1715
2016-02-18,1655
2016-02-19,2325
2016-02-20,2118
2016-02-21,2516
2016-02-22,4623
2016-02-23,2285
2016-02-24,2484
2016-02-25,1927
2016-02-26,3828
2016-02-27,1879
2016-02-28,2561
2016-02-29,1387
2016-03-01,1469
2016-03-02,1622
2016-03-03,2119
2016-03-04,3992
2016-03-05,1858
2016-03-06,1818
2016-03-07,1369
2016-03-08,1623
2016-03-09,1395
2016-03-10,1868
2016-03-11,1453
2016-03-12,1642
2016-03-13,1981
2016-03-14,1551
2016-03-15,2576
2016-03-16,1337
