date,views
2015-07-01,2071
2015-07-02,2949
2015-07-03,2256
2015-07-04,2206
2015-07-05,1647
2015-07-06,1465
2015-07-07,1319
2015-07-08,1249
2015-07-09,1906
2015-07-10,2640
2015-07-11,1696
2015-07-12,1479
2015-07-13,1329
2015-07-14,1335
2015-07-15,1214
2015-07-16,1070
2015-07-17,1121
2015-07-18,1261
2015-07-19,1267
2015-07-20,1419
2015-07-21,1412
2015-07-22,1224
2015-07-23,1103
2015-07-24,1057
2015-07-25,977
2015-07-26,900
2015-07-27,959
2015-07-28,951
2015-07-29,882
2015-07-30,870
2015-07-31,832
2015-08-01,846
2015-08-02,765
2015-08-03,783
2015-08-04,863
2015-08-05,745
2015-08-06,870
2015-08-07,773
2015-08-08,778
2015-08-09,746
2015-08-10,731
2015-08-11,764
2015-08-12,943
2015-08-13,901
2015-08-14,734
2015-08-15,656
2015-08-16,698
2015-08-17,765
2015-08-18,705
2015-08-19,694
2015-08-20,747
2015-08-21,743
2015-08-22,629
2015-08-23,720
2015-08-24,753
2015-08-25,839
2015-08-26,718
2015-08-27,745
2015-08-28,681
2015-08-29,603
2015-08-30,646
2015-08-31,609
2015-09-01,550
2015-09-02,749
2015-09-03,804
2015-09-04,740
2015-09-05,765
2015-09-06,721
2015-09-07,696
2015-09-08,645
2015-09-09,925
2015-09-10,862
2015-09-11,785
2015-09-12,710
2015-09-13,834
2015-09-14,736
2015-09-15,720
2015-09-16,799
2015-09-17,901
2015-09-18,780
2015-09-19,738
2015-09-20,674
2015-09-21,758
2015-09-22,750
2015-09-23,621
2015-09-24,678
2015-09-25,804
2015-09-26,711
2015-09-27,780
2015-09-28,743
2015-09-29,925
2015-09-30,827
2015-10-01,831
2015-10-02,904
2015-10-03,1019
2015-10-04,1385
2015-10-05,1468
2015-10-06,1425
2015-10-07,1363
2015-10-08,1568
2015-10-09,1314
2015-10-10,1039
2015-10-11,810
2015-10-12,1049
2015-10-13,1226
2015-10-14,1519
2015-10-15,1389
2015-10-16,1361
2015-10-17,1052
2015-10-18,805
2015-10-19,1077
2015-10-20,1273
2015-10-21,1355
