date,views
2015-07-01,2336
2015-07-02,3767
2015-07-03,3839
2015-07-04,5658
2015-07-05,3801
2015-07-06,3290
2015-07-07,2851
2015-07-08,2114
2015-07-09,2676
2015-07-10,2973
2015-07-11,2792
2015-07-12,2551
2015-07-13,2688
2015-07-14,4224
2015-07-15,2803
2015-07-16,2213
2015-07-17,2020
2015-07-18,1710
2015-07-19,1693
2015-07-20,1736
2015-07-21,2355
2015-07-22,3108
2015-07-23,3109
2015-07-24,2329
2015-07-25,2105
2015-07-26,2166
2015-07-27,2111
2015-07-28,2105
2015-07-29,1653
2015-07-30,1638
2015-07-31,1889
2015-08-01,1832
2015-08-02,1500
2015-08-03,1424
2015-08-04,1512
2015-08-05,1718
2015-08-06,1544
2015-08-07,1452
2015-08-08,1685
2015-08-09,1612
2015-08-10,1539
2015-08-11,1534
2015-08-12,1413
2015-08-13,1625
2015-08-14,1346
2015-08-15,1290
2015-08-16,1364
2015-08-17,1644
2015-08-18,1493
2015-08-19,1451
2015-08-20,1393
2015-08-21,1516
2015-08-22,1295
2015-08-23,1257
2015-08-24,1296
2015-08-25,1237
2015-08-26,1313
2015-08-27,1387
2015-08-28,1399
2015-08-29,1184
2015-08-30,1224
2015-08-31,1161
2015-09-01,1427
2015-09-02,1339
2015-09-03,1221
2015-09-04,1133
2015-09-05,1272
2015-09-06,1250
2015-09-07,1303
2015-09-08,1304
2015-09-09,1450
2015-09-10,1457
2015-09-11,1391
2015-09-12,1342
2015-09-13,1468
2015-09-14,1419
2015-09-15,1179
2015-09-16,1174
2015-09-17,1229
2015-09-18,1169
2015-09-19,1045
2015-09-20,1096
2015-09-21,1149
2015-09-22,1153
2015-09-23,1083
2015-09-24,1146
2015-09-25,1451
2015-09-26,1128
2015-09-27,1231
2015-09-28,2000
2015-09-29,1696
2015-09-30,1454
2015-10-01,1497
2015-10-02,2647
2015-10-03,1781
2015-10-04,1822
2015-10-05,2371
2015-10-06,2425
2015-10-07,2147
2015-10-08,2249
2015-10-09,2431
2015-10-10,1604
2015-10-11,1568
2015-10-12,1787
2015-10-13,2130
2015-10-14,2511
2015-10-15,2218
2015-10-16,2278
2015-10-17,2014
2015-10-18,1621
2015-10-19,1763
2015-10-20,2135
2015-10-21,2068
2015-10-22,2076
2015-10-23,2164
2015-10-24,2257
2015-10-25,2208
2015-10-26,2400
2015-10-27,2734
2015-10-28,3692
2015-10-29,4044
2015-10-30,2934
2015-10-31,4014
2015-11-01,3103
2015-11-02,3123
2015-11-03,2951
2015-11-04,2771
2015-11-05,2995
2015-11-06,2645
2015-11-07,5388
2015-11-08,3872
2015-11-09,2299
2015-11-10,3025
2015-11-11,2805
2015-11-12,4256
2015-11-13,2943
2015-11-14,3325
2015-11-15,2421
2015-11-16,3751
2015-11-17,15722
2015-11-18,2690
2015-11-19,3244
2015-11-20,3268
2015-11-21,3010
2015-11-22,2447
2015-11-23,2452
2015-11-24,2839
2015-11-25,3059
2015-11-26,2627
2015-11-27,2172
2015-11-28,2645
2015-11-29,3526
2015-11-30,2701
2015-12-01,3007
2015-12-02,2686
2015-12-03,3209
2015-12-04,2816
2015-12-05,1907
2015-12-06,2720
2015-12-07,2860
2015-12-08,2334
2015-12-09,3127
2015-12-10,2321
2015-12-11,3518
2015-12-12,2887
2015-12-13,2498
2015-12-14,1826
2015-12-15,2094
2015-12-16,3017
2015-12-17,2144
2015-12-18,1729
2015-12-19,1802
2015-12-20,1640
2015-12-21,1857
2015-12-22,1751
2015-12-23,1507
2015-12-24,1877
2015-12-25,2210
2015-12-26,2222
2015-12-27,1779
2015-12-28,2211
2015-12-29,3589
2015-12-30,2198
2015-12-31,2042
2016-01-01,1528
2016-01-02,2418
2016-01-03,2771
2016-01-04,1793
2016-01-05,2473
2016-01-06,2771
2016-01-07,2150
2016-01-08,4666
2016-01-09,2249
2016-01-10,3803
2016-01-11,1987
2016-01-12,1796
2016-01-13,2431
2016-01-14,2220
2016-01-15,2182
2016-01-16,1868
2016-01-17,2176
2016-01-18,1790
2016-01-19,2228
2016-01-20,1916
2016-01-21,2580
2016-01-22,2706
2016-01-23,2334
2016-01-24,3282
2016-01-25,2601
2016-01-26,4068
2016-01-27,2372
2016-01-28,2694
2016-01-29,2404
2016-01-30,1913
2016-01-31,2219
2016-02-01,1886
2016-02-02,2167
2016-02-03,1738
2016-02-04,4037
2016-02-05,2267
2016-02-06,2639
2016-02-07,2447
2016-02-08,2061
2016-02-09,3518
2016-02-10,2766
2016-02-11,2509
2016-02-12,1956
2016-02-13,1832
2016-02-14,2538
2016-02-15,2716
2016-02-16,1850
2016-02-17,1817
2016-02-18,2971
2016-02-19,2130
2016-02-20,2645
2016-02-21,2067
