date,views
2015-07-01,3390
2015-07-02,3607
2015-07-03,3098
2015-07-04,8695
2015-07-05,7760
2015-07-06,8719
2015-07-07,9232
2015-07-08,4750
2015-07-09,6946
2015-07-10,7513
2015-07-11,5328
2015-07-12,4070
2015-07-13,4607
2015-07-14,3536
2015-07-15,3002
2015-07-16,2924
2015-07-17,3223
2015-07-18,3302
2015-07-19,2678
2015-07-20,3405
2015-07-21,5129
2015-07-22,3748
2015-07-23,3696
2015-07-24,2682
2015-07-25,2274
2015-07-26,2213
2015-07-27,2221
2015-07-28,2829
2015-07-29,2321
2015-07-30,2019
2015-07-31,1900
2015-08-01,1665
2015-08-02,1904
2015-08-03,1842
2015-08-04,1979
2015-08-05,1721
2015-08-06,2263
2015-08-07,1749
2015-08-08,1513
2015-08-09,1464
2015-08-10,1549
2015-08-11,1500
2015-08-12,1560
2015-08-13,1738
2015-08-14,1497
2015-08-15,1395
2015-08-16,1454
2015-08-17,1410
2015-08-18,1433
2015-08-19,1405
2015-08-20,1283
2015-08-21,1309
2015-08-22,1204
2015-08-23,1281
2015-08-24,1361
2015-08-25,1378
2015-08-26,1297
2015-08-27,1437
2015-08-28,1298
2015-08-29,1282
2015-08-30,1303
2015-08-31,1211
2015-09-01,1194
2015-09-02,1228
2015-09-03,1252
2015-09-04,1238
2015-09-05,1323
2015-09-06,1296
2015-09-07,1368
2015-09-08,1525
2015-09-09,1450
2015-09-10,1403
2015-09-11,1437
2015-09-12,1302
2015-09-13,1994
2015-09-14,1709
2015-09-15,1577
2015-09-16,1461
2015-09-17,1661
2015-09-18,1456
2015-09-19,1315
2015-09-20,1582
2015-09-21,1421
2015-09-22,1352
2015-09-23,1451
2015-09-24,1558
2015-09-25,1493
2015-09-26,1446
2015-09-27,1683
2015-09-28,1680
2015-09-29,2309
2015-09-30,1978
2015-10-01,1798
2015-10-02,1689
2015-10-03,1553
2015-10-04,1857
2015-10-05,2055
2015-10-06,2171
2015-10-07,2427
2015-10-08,2296
2015-10-09,2319
2015-10-10,1737
2015-10-11,1482
2015-10-12,1725
2015-10-13,2184
2015-10-14,2263
2015-10-15,2547
2015-10-16,2108
2015-10-17,1591
2015-10-18,1547
2015-10-19,2002
2015-10-20,2092
2015-10-21,2496
2015-10-22,2647
2015-10-23,2615
2015-10-24,3009
2015-10-25,2499
2015-10-26,2605
2015-10-27,3252
2015-10-28,4142
2015-10-29,4828
2015-10-30,2712
2015-10-31,3137
2015-11-01,3049
2015-11-02,3336
2015-11-03,3518
2015-11-04,2603
2015-11-05,2961
2015-11-06,2326
2015-11-07,2305
2015-11-08,2630
2015-11-09,2412
2015-11-10,2891
2015-11-11,2588
2015-11-12,3995
2015-11-13,2401
2015-11-14,2192
2015-11-15,2619
2015-11-16,2205
2015-11-17,2434
2015-11-18,2472
2015-11-19,2730
2015-11-20,2601
2015-11-21,3035
2015-11-22,2488
2015-11-23,2221
2015-11-24,2190
2015-11-25,2608
2015-11-26,2745
2015-11-27,2180
2015-11-28,2651
2015-11-29,3512
2015-11-30,3732
2015-12-01,3364
2015-12-02,2885
2015-12-03,3239
2015-12-04,3561
2015-12-05,2385
2015-12-06,3252
2015-12-07,2777
2015-12-08,4474
