date,views
2015-07-01,3123
2015-07-02,2803
2015-07-03,2133
2015-07-04,2172
2015-07-05,2379
2015-07-06,3634
2015-07-07,2356
2015-07-08,1835
2015-07-09,3284
2015-07-10,2953
2015-07-11,2148
2015-07-12,1988
2015-07-13,2200
2015-07-14,1912
2015-07-15,1907
2015-07-16,1813
2015-07-17,1562
2015-07-18,1519
2015-07-19,1507
2015-07-20,1658
2015-07-21,1663
2015-07-22,1850
2015-07-23,1887
2015-07-24,1607
2015-07-25,1319
2015-07-26,1473
2015-07-27,1658
2015-07-28,1534
2015-07-29,1463
2015-07-30,1622
2015-07-31,1520
2015-08-01,1402
2015-08-02,1347
2015-08-03,1264
2015-08-04,2911
2015-08-05,2004
2015-08-06,1632
2015-08-07,1342
2015-08-08,1309
2015-08-09,1361
2015-08-10,1278
2015-08-11,1400
2015-08-12,1355
2015-08-13,1404
2015-08-14,1354
2015-08-15,1151
2015-08-16,1124
2015-08-17,1265
2015-08-18,1238
2015-08-19,1223
2015-08-20,1253
2015-08-21,1339
2015-08-22,1050
2015-08-23,1073
2015-08-24,1087
2015-08-25,1035
2015-08-26,1017
2015-08-27,1001
2015-08-28,987
2015-08-29,928
2015-08-30,1016
2015-08-31,1071
2015-09-01,1325
2015-09-02,1150
2015-09-03,1113
2015-09-04,956
2015-09-05,971
2015-09-06,1059
2015-09-07,1135
2015-09-08,1030
2015-09-09,1249
2015-09-10,1139
2015-09-11,1172
2015-09-12,1182
2015-09-13,1291
2015-09-14,1104
2015-09-15,1074
2015-09-16,1130
2015-09-17,1177
2015-09-18,1173
2015-09-19,1087
2015-09-20,1290
2015-09-21,1210
2015-09-22,1090
2015-09-23,1126
2015-09-24,1145
2015-09-25,1430
2015-09-26,1862
2015-09-27,1499
2015-09-28,2328
2015-09-29,2055
2015-09-30,1747
2015-10-01,1586
2015-10-02,1498
2015-10-03,1660
2015-10-04,2144
2015-10-05,2765
2015-10-06,2260
2015-10-07,1935
2015-10-08,2317
2015-10-09,2589
2015-10-10,1609
2015-10-11,1467
2015-10-12,2033
2015-10-13,2332
2015-10-14,2350
2015-10-15,2785
2015-10-16,2172
2015-10-17,2218
2015-10-18,1918
2015-10-19,2152
2015-10-20,2270
2015-10-21,2159
2015-10-22,2184
2015-10-23,2153
2015-10-24,2610
2015-10-25,2451
2015-10-26,2400
2015-10-27,2680
2015-10-28,3582
2015-10-29,4272
2015-10-30,2440
2015-10-31,2886
2015-11-01,2326
2015-11-02,3315
2015-11-03,2996
2015-11-04,3814
2015-11-05,4308
2015-11-06,2886
2015-11-07,2925
2015-11-08,2411
2015-11-09,2465
2015-11-10,2257
2015-11-11,2795
2015-11-12,2664
2015-11-13,2173
2015-11-14,2562
2015-11-15,2148
2015-11-16,2118
2015-11-17,2353
2015-11-18,3771
2015-11-19,2395
2015-11-20,1994
2015-11-21,2266
2015-11-22,2438
2015-11-23,1995
2015-11-24,1527
2015-11-25,2193
2015-11-26,4127
2015-11-27,2284
2015-11-28,1857
2015-11-29,2884
2015-11-30,2643
2015-12-01,2410
2015-12-02,2345
2015-12-03,3145
2015-12-04,2331
2015-12-05,3051
2015-12-06,4613
2015-12-07,2500
2015-12-08,3115
2015-12-09,2381
2015-12-10,2953
2015-12-11,1834
2015-12-12,2581
2015-12-13,2156
2015-12-14,2119
2015-12-15,1672
2015-12-16,1335
2015-12-17,1548
2015-12-18,1577
2015-12-19,1707
2015-12-20,1455
2015-12-21,1450
2015-12-22,1377
2015-12-23,2085
2015-12-24,1393
2015-12-25,1458
2015-12-26,1894
2015-12-27,1755
2015-12-28,1519
2015-12-29,2041
2015-12-30,1493
2015-12-31,1793
2016-01-01,1347
2016-01-02,2141
2016-01-03,2446
2016-01-04,1857
2016-01-05,2120
2016-01-06,1543
2016-01-07,2158
2016-01-08,1686
2016-01-09,1922
2016-01-10,1969
2016-01-11,1474
2016-01-12,1610
2016-01-13,1767
2016-01-14,2782
2016-01-15,2409
2016-01-16,1591
2016-01-17,1654
2016-01-18,1831
2016-01-19,2198
2016-01-20,1930
2016-01-21,2545
2016-01-22,2730
2016-01-23,4002
2016-01-24,2181
2016-01-25,2949
2016-01-26,2262
2016-01-27,2868
2016-01-28,2382
2016-01-29,4955
2016-01-30,2305
2016-01-31,3397
2016-02-01,2347
2016-02-02,2073
2016-02-03,2229
2016-02-04,1951
2016-02-05,2442
2016-02-06,1812
2016-02-07,1932
2016-02-08,1957
2016-02-09,2666
2016-02-10,2650
2016-02-11,3265
2016-02-12,3110
2016-02-13,4647
2016-02-14,4954
2016-02-15,7956
2016-02-16,2962
2016-02-17,2229
2016-02-18,2164
2016-02-19,2032
2016-02-20,2311
2016-02-21,2280
2016-02-22,2722
2016-02-23,2761
2016-02-24,1984
2016-02-25,2410
2016-02-26,1871
2016-02-27,3553
2016-02-28,2653
2016-02-29,2100
2016-03-01,2087
2016-03-02,1971
2016-03-03,2546
2016-03-04,1932
2016-03-05,2766
2016-03-06,1953
2016-03-07,2332
2016-03-08,1752
2016-03-09,2069
2016-03-10,1678
2016-03-11,2047
2016-03-12,1542
2016-03-13,2578
2016-03-14,1791
2016-03-15,2757
2016-03-16,2115
2016-03-17,1627
2016-03-18,2110
2016-03-19,2276
2016-03-20,2315
2016-03-21,2275
2016-03-22,1661
2016-03-23,1820
2016-03-24,2093
2016-03-25,1580
2016-03-26,1828
2016-03-27,1906
2016-03-28,1851
2016-03-29,1869
2016-03-30,1898
2016-03-31,3758
2016-04-01,2214
2016-04-02,2265
2016-04-03,2362
2016-04-04,1897
2016-04-05,1871
2016-04-06,2344
2016-04-07,2143
2016-04-08,2048
2016-04-09,2236
2016-04-10,2273
2016-04-11,3127
2016-04-12,2467
2016-04-13,3225
2016-04-14,4829
2016-04-15,3518
2016-04-16,9297
2016-04-17,4140
2016-04-18,4477
2016-04-19,5836
2016-04-20,2513
2016-04-21,2571
2016-04-22,4503
2016-04-23,4323
2016-04-24,2778
2016-04-25,2530
2016-04-26,4083
2016-04-27,9118
2016-04-28,3515
2016-04-29,4016
2016-04-30,5960
2016-05-01,4687
2016-05-02,30079
2016-05-03,5344
2016-05-04,12400
2016-05-05,3805
2016-05-06,12882
2016-05-07,7093
2016-05-08,6418
2016-05-09,4977
2016-05-10,10141
2016-05-11,3839
2016-05-12,15059
2016-05-13,6408
2016-05-14,9524
2016-05-15,35220
2016-05-16,23950
2016-05-17,11441
2016-05-18,14901
2016-05-19,5458
2016-05-20,10458
2016-05-21,4347
2016-05-22,21476
2016-05-23,7144
2016-05-24,34766
2016-05-25,11610
2016-05-26,12226
2016-05-27,6603
2016-05-28,21522
2016-05-29,5900
2016-05-30,4129
2016-05-31,4997
2016-06-01,2752
2016-06-02,2769
2016-06-03,3220
2016-06-04,1861
2016-06-05,1776
2016-06-06,2543
2016-06-07,2033
