date,views
2015-07-01,1187
2015-07-02,1170
2015-07-03,1112
2015-07-04,1111
2015-07-05,1146
2015-07-06,1312
2015-07-07,1762
2015-07-08,1398
2015-07-09,1211
2015-07-10,1864
2015-07-11,1317
2015-07-12,1346
2015-07-13,1208
2015-07-14,1183
2015-07-15,1310
2015-07-16,1008
2015-07-17,1009
2015-07-18,1027
2015-07-19,904
2015-07-20,994
2015-07-21,946
2015-07-22,989
2015-07-23,976
2015-07-24,1258
2015-07-25,986
2015-07-26,851
2015-07-27,851
2015-07-28,891
2015-07-29,914
2015-07-30,881
2015-07-31,837
2015-08-01,756
2015-08-02,761
2015-08-03,788
2015-08-04,864
2015-08-05,837
2015-08-06,1021
2015-08-07,886
2015-08-08,780
2015-08-09,758
2015-08-10,786
2015-08-11,800
2015-08-12,851
2015-08-13,823
2015-08-14,685
2015-08-15,602
2015-08-16,623
2015-08-17,784
2015-08-18,758
2015-08-19,722
2015-08-20,702
2015-08-21,745
2015-08-22,611
2015-08-23,666
2015-08-24,724
2015-08-25,756
2015-08-26,623
2015-08-27,821
2015-08-28,870
2015-08-29,665
2015-08-30,780
2015-08-31,679
2015-09-01,611
2015-09-02,639
2015-09-03,633
2015-09-04,644
2015-09-05,632
2015-09-06,965
2015-09-07,857
2015-09-08,791
2015-09-09,778
2015-09-10,824
2015-09-11,791
2015-09-12,675
2015-09-13,1262
2015-09-14,1196
2015-09-15,717
2015-09-16,735
2015-09-17,841
2015-09-18,717
2015-09-19,599
2015-09-20,636
2015-09-21,638
2015-09-22,644
2015-09-23,567
2015-09-24,576
2015-09-25,715
2015-09-26,738
2015-09-27,904
2015-09-28,1121
2015-09-29,913
2015-09-30,901
2015-10-01,863
2015-10-02,923
2015-10-03,953
2015-10-04,1320
2015-10-05,1775
2015-10-06,1373
2015-10-07,1632
2015-10-08,1412
2015-10-09,1317
2015-10-10,984
2015-10-11,819
2015-10-12,1093
2015-10-13,1322
2015-10-14,1306
2015-10-15,1339
2015-10-16,1339
2015-10-17,930
2015-10-18,923
2015-10-19,1186
2015-10-20,1302
2015-10-21,1516
2015-10-22,1578
2015-10-23,1419
2015-10-24,1304
2015-10-25,1402
2015-10-26,1761
2015-10-27,1893
2015-10-28,2131
2015-10-29,1973
