date,views
2015-07-01,846
2015-07-02,862
2015-07-03,811
2015-07-04,2783
2015-07-05,3299
2015-07-06,2509
2015-07-07,2745
2015-07-08,1847
2015-07-09,1159
2015-07-10,923
2015-07-11,1355
2015-07-12,1327
2015-07-13,1071
2015-07-14,846
2015-07-15,652
2015-07-16,651
2015-07-17,775
2015-07-18,1153
2015-07-19,734
2015-07-20,864
2015-07-21,763
2015-07-22,484
2015-07-23,420
2015-07-24,338
2015-07-25,355
2015-07-26,372
2015-07-27,426
2015-07-28,474
2015-07-29,499
2015-07-30,335
2015-07-31,279
2015-08-01,273
2015-08-02,257
2015-08-03,281
2015-08-04,372
2015-08-05,396
2015-08-06,350
2015-08-07,293
2015-08-08,230
2015-08-09,255
2015-08-10,229
2015-08-11,232
2015-08-12,252
2015-08-13,234
2015-08-14,350
2015-08-15,275
2015-08-16,281
2015-08-17,269
2015-08-18,314
2015-08-19,354
2015-08-20,259
2015-08-21,234
2015-08-22,191
2015-08-23,213
2015-08-24,195
2015-08-25,240
2015-08-26,231
2015-08-27,220
2015-08-28,194
2015-08-29,246
2015-08-30,207
2015-08-31,211
2015-09-01,162
2015-09-02,160
2015-09-03,193
2015-09-04,180
2015-09-05,194
2015-09-06,183
2015-09-07,190
2015-09-08,220
2015-09-09,195
2015-09-10,262
2015-09-11,179
2015-09-12,211
2015-09-13,201
2015-09-14,161
2015-09-15,200
2015-09-16,377
2015-09-17,219
2015-09-18,267
2015-09-19,231
2015-09-20,206
2015-09-21,218
2015-09-22,253
2015-09-23,163
2015-09-24,205
2015-09-25,247
2015-09-26,243
2015-09-27,276
2015-09-28,273
2015-09-29,242
2015-09-30,260
2015-10-01,251
2015-10-02,283
2015-10-03,263
2015-10-04,287
2015-10-05,266
2015-10-06,290
2015-10-07,345
2015-10-08,309
2015-10-09,301
2015-10-10,270
2015-10-11,278
2015-10-12,309
2015-10-13,298
2015-10-14,1350
2015-10-15,569
2015-10-16,559
2015-10-17,467
2015-10-18,421
2015-10-19,377
2015-10-20,358
2015-10-21,376
2015-10-22,536
2015-10-23,496
2015-10-24,461
2015-10-25,491
2015-10-26,601
2015-10-27,590
2015-10-28,769
2015-10-29,2324
2015-10-30,656
2015-10-31,1086
2015-11-01,427
2015-11-02,763
2015-11-03,514
2015-11-04,625
