date,views
2015-07-01,962
2015-07-02,834
2015-07-03,678
2015-07-04,689
2015-07-05,650
2015-07-06,709
2015-07-07,665
2015-07-08,674
2015-07-09,626
2015-07-10,661
2015-07-11,558
2015-07-12,512
2015-07-13,588
2015-07-14,546
2015-07-15,475
2015-07-16,455
2015-07-17,520
2015-07-18,423
2015-07-19,404
2015-07-20,453
2015-07-21,407
2015-07-22,469
2015-07-23,499
2015-07-24,424
2015-07-25,423
2015-07-26,389
2015-07-27,410
2015-07-28,560
2015-07-29,503
2015-07-30,421
2015-07-31,376
2015-08-01,349
2015-08-02,313
2015-08-03,294
2015-08-04,361
2015-08-05,302
2015-08-06,396
2015-08-07,337
2015-08-08,321
2015-08-09,362
2015-08-10,306
2015-08-11,314
2015-08-12,417
2015-08-13,432
2015-08-14,358
2015-08-15,287
2015-08-16,331
2015-08-17,453
2015-08-18,488
2015-08-19,525
2015-08-20,459
2015-08-21,395
2015-08-22,360
2015-08-23,302
2015-08-24,322
2015-08-25,317
2015-08-26,275
2015-08-27,290
2015-08-28,277
2015-08-29,339
2015-08-30,397
2015-08-31,312
2015-09-01,322
2015-09-02,337
2015-09-03,310
2015-09-04,293
2015-09-05,299
2015-09-06,289
2015-09-07,312
2015-09-08,370
2015-09-09,338
2015-09-10,331
2015-09-11,298
2015-09-12,277
2015-09-13,353
2015-09-14,322
2015-09-15,276
2015-09-16,302
2015-09-17,310
2015-09-18,332
2015-09-19,298
2015-09-20,329
2015-09-21,370
2015-09-22,335
2015-09-23,331
2015-09-24,331
2015-09-25,300
2015-09-26,311
2015-09-27,336
2015-09-28,412
2015-09-29,450
2015-09-30,393
2015-10-01,408
2015-10-02,365
2015-10-03,417
2015-10-04,336
2015-10-05,398
2015-10-06,339
2015-10-07,445
2015-10-08,530
2015-10-09,418
2015-10-10,376
2015-10-11,330
2015-10-12,423
2015-10-13,434
2015-10-14,709
2015-10-15,593
2015-10-16,368
2015-10-17,390
2015-10-18,352
2015-10-19,458
2015-10-20,428
2015-10-21,470
2015-10-22,466
2015-10-23,423
2015-10-24,377
2015-10-25,458
2015-10-26,516
2015-10-27,816
2015-10-28,979
2015-10-29,633
2015-10-30,1443
2015-10-31,576
2015-11-01,640
2015-11-02,494
2015-11-03,511
2015-11-04,1117
2015-11-05,752
2015-11-06,580
2015-11-07,633
2015-11-08,559
2015-11-09,511
2015-11-10,769
2015-11-11,516
2015-11-12,827
2015-11-13,513
2015-11-14,584
2015-11-15,406
2015-11-16,525
2015-11-17,460
2015-11-18,580
2015-11-19,749
2015-11-20,535
2015-11-21,470
2015-11-22,565
2015-11-23,448
2015-11-24,440
2015-11-25,883
2015-11-26,522
2015-11-27,382
2015-11-28,533
2015-11-29,538
2015-11-30,472
2015-12-01,923
2015-12-02,521
2015-12-03,550
2015-12-04,538
2015-12-05,739
2015-12-06,396
2015-12-07,370
2015-12-08,428
2015-12-09,487
2015-12-10,1422
2015-12-11,552
2015-12-12,447
2015-12-13,544
2015-12-14,475
2015-12-15,528
2015-12-16,485
2015-12-17,838
2015-12-18,521
2015-12-19,635
2015-12-20,491
2015-12-21,1373
2015-12-22,994
2015-12-23,675
2015-12-24,756
2015-12-25,552
2015-12-26,688
2015-12-27,1245
2015-12-28,558
2015-12-29,704
2015-12-30,1244
2015-12-31,611
2016-01-01,514
2016-01-02,572
2016-01-03,709
2016-01-04,950
2016-01-05,870
2016-01-06,857
2016-01-07,531
2016-01-08,699
2016-01-09,834
2016-01-10,1467
2016-01-11,693
2016-01-12,602
2016-01-13,582
2016-01-14,585
2016-01-15,460
2016-01-16,700
2016-01-17,541
2016-01-18,667
2016-01-19,682
2016-01-20,473
2016-01-21,1193
2016-01-22,854
2016-01-23,627
2016-01-24,716
2016-01-25,491
2016-01-26,673
2016-01-27,665
2016-01-28,874
2016-01-29,923
2016-01-30,829
2016-01-31,1197
2016-02-01,859
2016-02-02,1265
2016-02-03,1115
2016-02-04,808
2016-02-05,622
2016-02-06,1802
2016-02-07,772
2016-02-08,533
2016-02-09,1640
2016-02-10,2413
2016-02-11,2763
2016-02-12,2523
2016-02-13,3063
2016-02-14,2360
2016-02-15,6818
2016-02-16,3515
2016-02-17,3126
2016-02-18,3473
2016-02-19,1255
2016-02-20,1136
2016-02-21,1093
2016-02-22,768
2016-02-23,1739
2016-02-24,1152
2016-02-25,838
2016-02-26,695
2016-02-27,2312
2016-02-28,993
2016-02-29,674
2016-03-01,630
2016-03-02,1467
2016-03-03,621
2016-03-04,628
2016-03-05,1015
2016-03-06,638
2016-03-07,455
2016-03-08,496
2016-03-09,538
2016-03-10,665
2016-03-11,914
2016-03-12,564
2016-03-13,702
2016-03-14,632
2016-03-15,556
2016-03-16,602
2016-03-17,829
2016-03-18,570
2016-03-19,478
2016-03-20,618
2016-03-21,563
2016-03-22,571
2016-03-23,528
2016-03-24,568
2016-03-25,522
2016-03-26,584
2016-03-27,746
2016-03-28,632
2016-03-29,899
2016-03-30,566
2016-03-31,614
2016-04-01,677
2016-04-02,1876
2016-04-03,727
2016-04-04,528
2016-04-05,587
2016-04-06,594
2016-04-07,508
2016-04-08,759
2016-04-09,512
2016-04-10,738
2016-04-11,634
2016-04-12,822
2016-04-13,548
2016-04-14,781
2016-04-15,688
2016-04-16,2086
2016-04-17,4637
2016-04-18,1209
2016-04-19,1632
2016-04-20,3006
2016-04-21,830
2016-04-22,729
2016-04-23,1759
2016-04-24,1589
2016-04-25,1704
2016-04-26,867
2016-04-27,2127
2016-04-28,1013
2016-04-29,3412
2016-04-30,869
2016-05-01,814
2016-05-02,1259
2016-05-03,3142
2016-05-04,870
2016-05-05,1972
2016-05-06,1111
2016-05-07,3939
2016-05-08,4051
2016-05-09,3033
2016-05-10,1428
2016-05-11,901
2016-05-12,960
2016-05-13,901
2016-05-14,674
2016-05-15,784
2016-05-16,1084
2016-05-17,1279
2016-05-18,1167
2016-05-19,999
2016-05-20,767
2016-05-21,668
2016-05-22,715
2016-05-23,859
2016-05-24,736
2016-05-25,1079
2016-05-26,866
2016-05-27,966
2016-05-28,823
2016-05-29,856
2016-05-30,700
2016-05-31,1290
2016-06-01,927
2016-06-02,809
2016-06-03,1349
2016-06-04,994
2016-06-05,667
2016-06-06,863
2016-06-07,608
2016-06-08,589
2016-06-09,579
2016-06-10,459
2016-06-11,534
2016-06-12,452
2016-06-13,418
2016-06-14,628
2016-06-15,890
2016-06-16,1635
2016-06-17,925
2016-06-18,623
2016-06-19,579
2016-06-20,1182
2016-06-21,1286
2016-06-22,4195
2016-06-23,3698
2016-06-24,3073
2016-06-25,2285
2016-06-26,1822
2016-06-27,1935
2016-06-28,2221
2016-06-29,2419
2016-06-30,7726
2016-07-01,10631
2016-07-02,47360
2016-07-03,49420
