date,views
2016-10-07,29
2016-10-08,77
2016-10-09,42
2016-10-10,43
2016-10-11,52
2016-10-12,71
2016-10-13,62
2016-10-14,55
2016-10-15,46
2016-10-16,61
2016-10-17,64
2016-10-18,133
2016-10-19,55
2016-10-20,58
2016-10-21,34
2016-10-22,42
2016-10-23,34
2016-10-24,52
2016-10-25,52
2016-10-26,44
2016-10-27,59
2016-10-28,40
2016-10-29,33
2016-10-30,28
2016-10-31,38
2016-11-01,20
2016-11-02,24
2016-11-03,33
2016-11-04,36
2016-11-05,45
2016-11-06,29
2016-11-07,42
2016-11-08,25
2016-11-09,23
2016-11-10,27
2016-11-11,37
2016-11-12,113
2016-11-13,52
2016-11-14,50
2016-11-15,58
2016-11-16,42
2016-11-17,40
2016-11-18,17
2016-11-19,75
2016-11-20,38
2016-11-21,22
2016-11-22,28
2016-11-23,24
2016-11-24,40
2016-11-25,33
2016-11-26,38
2016-11-27,44
2016-11-28,88
2016-11-29,20
2016-11-30,27
2016-12-01,25
2016-12-02,22
2016-12-03,28
2016-12-04,24
2016-12-05,27
2016-12-06,36
2016-12-07,31
2016-12-08,45
2016-12-09,22
2016-12-10,26
2016-12-11,82
2016-12-12,16
2016-12-13,18
2016-12-14,19
2016-12-15,26
2016-12-16,64
2016-12-17,89
2016-12-18,38
2016-12-19,22
2016-12-20,28
2016-12-21,63
2016-12-22,50
2016-12-23,26
2016-12-24,52
2016-12-25,42
2016-12-26,37
2016-12-27,36
2016-12-28,34
2016-12-29,38
2016-12-30,59
2016-12-31,23
2017-01-01,22
2017-01-02,30
2017-01-03,30
2017-01-04,168
2017-01-05,30
2017-01-06,44
2017-01-07,82
2017-01-08,45
2017-01-09,28
2017-01-10,40
2017-01-11,47
2017-01-12,79
2017-01-13,29
2017-01-14,67
2017-01-15,30
2017-01-16,26
2017-01-17,28
2017-01-18,61
2017-01-19,25
2017-01-20,52
2017-01-21,50
2017-01-22,35
2017-01-23,23
2017-01-24,30
2017-01-25,16
2017-01-26,42
2017-01-27,29
2017-01-28,55
2017-01-29,42
2017-01-30,21
2017-01-31,25
2017-02-01,35
2017-02-02,31
2017-02-03,22
2017-02-04,57
2017-02-05,104
2017-02-06,23
2017-02-07,38
2017-02-08,26
2017-02-09,43
2017-02-10,33
2017-02-11,39
2017-02-12,38
2017-02-13,59
2017-02-14,32
2017-02-15,31
2017-02-16,39
2017-02-17,34
2017-02-18,87
2017-02-19,47
