date,views
2023-05-09,3
2023-05-10,0
2023-05-13,0
2023-05-14,0
2023-05-18,0
2023-05-20,0
2023-05-21,0
2023-05-22,0
2023-05-24,0
2023-05-29,0
2023-06-03,0
2023-06-07,0
2023-06-16,0
2023-06-17,0
2023-06-29,0
2023-07-02,1
2023-07-06,0
2023-07-09,0
2023-07-15,0
2023-07-20,0
2023-07-22,0
2023-07-27,0
2023-07-29,0
2023-08-04,0
2023-08-07,0
2023-08-15,0
2023-08-21,0
2023-08-23,0
2023-08-24,0
2023-08-26,0
2023-08-29,1
2023-08-31,0
2023-09-02,0
2023-09-04,0
2023-09-06,0
2023-09-07,3
2023-09-08,2
2023-09-09,3
2023-09-10,2
2023-09-11,1
2023-09-13,1
2023-09-14,1
2023-09-15,0
2023-09-16,1
2023-09-19,2
2023-09-20,3
2023-09-21,1
2023-09-22,2
2023-09-23,0
2023-09-24,0
2023-09-25,1
2023-09-26,0
2023-09-27,1
2023-09-28,0
2023-09-29,0
2023-09-30,4
2023-10-01,0
2023-10-02,1
2023-10-03,2
2023-10-04,0
2023-10-05,0
2023-10-06,0
2023-10-07,1
2023-10-08,0
2023-10-09,0
2023-10-10,4
2023-10-11,5
2023-10-13,2
2023-10-14,0
2023-10-15,2
2023-10-16,1
2023-10-18,0
2023-10-19,1
2023-10-21,0
2023-10-22,0
2023-10-27,0
2023-10-28,0
2023-10-31,0
2023-11-01,1
2023-11-02,1
2023-11-03,3
2023-11-04,1
2023-11-06,2
2023-11-08,3
2023-11-09,0
2023-11-10,1
2023-11-11,0
2023-11-13,2
2023-11-14,0
2023-11-15,0
2023-11-16,1
2023-11-19,1
2023-11-20,0
2023-11-22,2
2023-11-23,0
2023-11-24,1
2023-11-25,1
2023-11-26,0
2023-11-28,1
2023-11-29,1
2023-12-01,1
2023-12-02,1
2023-12-03,0
2023-12-05,4
2023-12-07,0
2023-12-08,0
2023-12-09,1
2023-12-11,0
2023-12-12,1
2023-12-13,1
2023-12-14,0
2023-12-15,0
2023-12-17,0
2023-12-20,1
2023-12-22,0
2023-12-24,0
2023-12-25,0
2023-12-27,0
2023-12-28,1
2023-12-29,0
2023-12-30,0
2023-12-31,1
2024-01-01,0
