date,views
2019-08-05,71
2019-08-06,41
2019-08-07,12
2019-08-08,10
2019-08-09,9
2019-08-10,11
2019-08-11,6
2019-08-12,8
2019-08-13,5
2019-08-14,8
2019-08-15,5
2019-08-16,3
2019-08-17,6
2019-08-18,8
2019-08-19,3
2019-08-20,3
2019-08-21,1
2019-08-22,2
2019-08-23,2
2019-08-24,3
2019-08-25,0
2019-08-26,4
2019-08-27,1
2019-08-28,0
2019-08-29,1
2019-08-30,4
2019-08-31,5
2019-09-01,2
2019-09-02,7
2019-09-03,9
2019-09-04,1
2019-09-05,4
2019-09-06,4
2019-09-07,6
2019-09-08,5
2019-09-09,11
2019-09-10,7
2019-09-11,5
2019-09-12,4
2019-09-13,13
2019-09-14,5
2019-09-15,11
2019-09-16,4
2019-09-17,4
2019-09-18,6
2019-09-19,8
2019-09-20,5
2019-09-21,3
2019-09-22,2
2019-09-23,5
2019-09-24,1
2019-09-25,6
2019-09-26,7
2019-09-27,8
2019-09-28,13
2019-09-29,3
2019-09-30,9
2019-10-01,4
2019-10-02,5
2019-10-03,1
2019-10-04,5
2019-10-05,4
2019-10-06,6
2019-10-07,10
2019-10-08,4
2019-10-09,1
2019-10-10,10
2019-10-11,2
2019-10-12,2
2019-10-13,23
2019-10-14,10
2019-10-15,8
2019-10-16,17
2019-10-17,5
2019-10-18,4
2019-10-19,4
2019-10-20,5
2019-10-21,4
2019-10-22,2
2019-10-23,4
2019-10-24,2
2019-10-25,4
2019-10-26,5
2019-10-27,8
2019-10-28,1
2019-10-29,7
2019-10-30,2
2019-10-31,2
2019-11-01,6
2019-11-02,7
2019-11-03,2
2019-11-04,2
2019-11-05,8
2019-11-06,18
2019-11-07,12
2019-11-08,6
2019-11-09,5
2019-11-10,4
2019-11-11,7
2019-11-12,8
2019-11-13,6
2019-11-14,4
2019-11-15,4
2019-11-16,4
2019-11-18,9
2019-11-19,9
2019-11-20,3
2019-11-21,7
2019-11-22,9
2019-11-23,7
2019-11-24,2
2019-11-25,3
2019-11-26,2
2019-11-27,2
2019-11-28,1
2019-11-29,2
2019-11-30,8
2019-12-01,2
2019-12-02,5
2019-12-03,17
2019-12-04,24
2019-12-05,11
2019-12-06,5
2019-12-07,10
2019-12-08,2
2019-12-09,3
2019-12-10,10
2019-12-11,3
2019-12-12,1
2019-12-13,2
2019-12-14,1
2019-12-15,4
2019-12-16,0
2019-12-17,4
2019-12-18,3
2019-12-19,3
2019-12-20,8
2019-12-21,3
2019-12-22,4
2019-12-23,2
2019-12-24,0
2019-12-25,3
2019-12-26,4
2019-12-27,3
2019-12-28,4
2019-12-29,4
2019-12-30,1
2019-12-31,4
2020-01-01,4
2020-01-02,6
2020-01-03,4
2020-01-04,6
2020-01-05,4
2020-01-06,4
2020-01-07,7
2020-01-08,4
2020-01-09,1
2020-01-10,2
2020-01-11,7
2020-01-12,3
2020-01-13,4
2020-01-14,21
2020-01-15,9
2020-01-16,7
2020-01-17,3
2020-01-18,4
2020-01-19,12
2020-01-20,5
2020-01-21,5
2020-01-22,7
2020-01-23,2
2020-01-24,4
2020-01-25,4
2020-01-26,5
2020-01-27,4
2020-01-28,14
2020-01-30,2
2020-01-31,6
2020-02-01,8
2020-02-02,14
2020-02-03,3
2020-02-04,4
2020-02-05,4
2020-02-06,2
2020-02-07,7
2020-02-08,9
2020-02-09,11
2020-02-10,4
2020-02-11,4
2020-02-12,15
2020-02-13,6
2020-02-14,9
2020-02-15,8
2020-02-16,4
2020-02-17,4
2020-02-18,11
2020-02-19,7
2020-02-20,2
2020-02-21,3
2020-02-22,1
2020-02-23,2
2020-02-24,6
2020-02-25,1
2020-02-26,4
2020-02-27,8
2020-02-28,1
2020-02-29,7
2020-03-01,7
2020-03-02,6
2020-03-03,16
2020-03-04,4
2020-03-05,1
2020-03-06,4
2020-03-07,4
2020-03-08,14
2020-03-09,7
2020-03-10,27
2020-03-11,26
2020-03-12,9
2020-03-13,3
2020-03-14,9
2020-03-15,9
2020-03-16,3
2020-03-17,5
2020-03-18,4
2020-03-19,8
2020-03-20,7
2020-03-21,6
2020-03-22,3
2020-03-23,5
2020-03-24,5
2020-03-25,6
2020-03-26,4
2020-03-27,4
2020-03-28,6
2020-03-29,9
2020-03-30,3
2020-03-31,3
2020-04-01,5
2020-04-02,2
2020-04-03,3
2020-04-04,13
2020-04-05,5
2020-04-06,8
2020-04-07,8
2020-04-08,7
2020-04-09,1
2020-04-10,2
2020-04-11,8
2020-04-12,6
2020-04-13,1
2020-04-14,5
2020-04-15,5
2020-04-16,3
2020-04-17,7
2020-04-18,7
2020-04-19,8
2020-04-20,3
2020-04-21,9
2020-04-22,16
2020-04-23,2
2020-04-24,8
2020-04-25,8
2020-04-26,4
2020-04-27,3
2020-04-28,7
2020-04-29,7
2020-04-30,5
2020-05-01,4
2020-05-02,3
2020-05-03,7
2020-05-04,6
2020-05-05,5
2020-05-06,4
2020-05-07,4
2020-05-08,5
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,4
2020-05-13,3
2020-05-14,3
2020-05-15,9
2020-05-16,2
2020-05-17,5
2020-05-18,3
2020-05-19,3
2020-05-20,4
2020-05-21,5
2020-05-22,5
2020-05-23,5
2020-05-24,6
2020-05-25,9
2020-05-26,3
2020-05-27,4
2020-05-28,4
2020-05-29,4
2020-05-30,4
2020-05-31,7
2020-06-01,3
2020-06-02,1
2020-06-03,3
2020-06-04,2
2020-06-05,3
2020-06-06,4
2020-06-07,1
2020-06-08,9
2020-06-09,2
2020-06-10,4
2020-06-11,1
2020-06-12,5
2020-06-13,3
2020-06-14,3
2020-06-15,2
2020-06-16,5
2020-06-17,4
2020-06-18,0
2020-06-19,5
2020-06-20,4
2020-06-21,2
2020-06-22,1
2020-06-23,2
2020-06-24,3
2020-06-25,18
2020-06-26,8
2020-06-27,6
2020-06-28,5
2020-06-29,3
2020-06-30,5
2020-07-01,4
2020-07-02,5
2020-07-03,3
2020-07-04,2
2020-07-05,5
2020-07-06,7
