date,views
2015-07-01,1184
2015-07-02,626
2015-07-03,382
2015-07-04,354
2015-07-05,433
2015-07-06,385
2015-07-07,355
2015-07-08,995
2015-07-09,549
2015-07-10,404
2015-07-11,565
2015-07-12,503
2015-07-13,362
2015-07-14,293
2015-07-15,283
2015-07-16,249
2015-07-17,323
2015-07-18,253
2015-07-19,403
2015-07-20,1016
2015-07-21,1124
2015-07-22,675
2015-07-23,335
2015-07-24,381
2015-07-25,413
2015-07-26,282
2015-07-27,464
2015-07-28,598
2015-07-29,430
2015-07-30,513
2015-07-31,323
2015-08-01,201
2015-08-02,436
2015-08-03,226
2015-08-04,215
2015-08-05,222
2015-08-06,192
2015-08-07,168
2015-08-08,155
2015-08-09,154
2015-08-10,173
2015-08-11,235
2015-08-12,264
2015-08-13,270
2015-08-14,196
2015-08-15,168
2015-08-16,191
2015-08-17,176
2015-08-18,155
2015-08-19,177
2015-08-20,130
2015-08-21,170
2015-08-22,376
2015-08-23,296
2015-08-24,271
2015-08-25,135
2015-08-26,186
2015-08-27,133
2015-08-28,174
2015-08-29,124
2015-08-30,140
2015-08-31,124
2015-09-01,109
2015-09-02,111
2015-09-03,169
2015-09-04,118
2015-09-05,125
2015-09-06,100
2015-09-07,116
2015-09-08,136
2015-09-09,106
2015-09-10,98
2015-09-11,127
2015-09-12,98
2015-09-13,168
2015-09-14,151
2015-09-15,165
2015-09-16,171
2015-09-17,151
2015-09-18,193
2015-09-19,165
2015-09-20,106
2015-09-21,116
2015-09-22,159
2015-09-23,136
2015-09-24,134
2015-09-25,154
2015-09-26,151
2015-09-27,147
2015-09-28,159
2015-09-29,298
2015-09-30,309
2015-10-01,421
2015-10-02,532
2015-10-03,232
2015-10-04,211
2015-10-05,264
2015-10-06,275
2015-10-07,252
2015-10-08,207
2015-10-09,178
2015-10-10,191
2015-10-11,158
2015-10-12,226
2015-10-13,363
2015-10-14,320
2015-10-15,529
2015-10-16,324
2015-10-17,227
2015-10-18,299
2015-10-19,249
2015-10-20,410
2015-10-21,426
2015-10-22,329
2015-10-23,407
2015-10-24,383
2015-10-25,359
2015-10-26,521
2015-10-27,1067
2015-10-28,10072
2015-10-29,1022
2015-10-30,404
2015-10-31,578
2015-11-01,906
2015-11-02,336
2015-11-03,358
2015-11-04,830
2015-11-05,589
2015-11-06,604
2015-11-07,684
2015-11-08,529
2015-11-09,328
2015-11-10,355
2015-11-11,356
2015-11-12,408
2015-11-13,293
2015-11-14,316
2015-11-15,569
2015-11-16,346
2015-11-17,256
2015-11-18,731
2015-11-19,1243
2015-11-20,464
2015-11-21,1089
2015-11-22,248
2015-11-23,397
2015-11-24,220
2015-11-25,336
2015-11-26,482
2015-11-27,243
2015-11-28,491
2015-11-29,320
