date,views
2015-07-01,1464
2015-07-02,2221
2015-07-03,1676
2015-07-04,1315
2015-07-05,1193
2015-07-06,1673
2015-07-07,1117
2015-07-08,1657
2015-07-09,1445
2015-07-10,1360
2015-07-11,987
2015-07-12,1131
2015-07-13,1032
2015-07-14,952
2015-07-15,977
2015-07-16,992
2015-07-17,1271
2015-07-18,796
2015-07-19,829
2015-07-20,870
2015-07-21,907
2015-07-22,832
2015-07-23,747
2015-07-24,714
2015-07-25,685
2015-07-26,773
2015-07-27,838
2015-07-28,872
2015-07-29,802
2015-07-30,827
2015-07-31,837
2015-08-01,678
2015-08-02,695
2015-08-03,629
2015-08-04,770
2015-08-05,747
2015-08-06,776
2015-08-07,744
2015-08-08,596
2015-08-09,638
2015-08-10,1035
2015-08-11,1105
2015-08-12,748
2015-08-13,810
2015-08-14,1487
2015-08-15,920
2015-08-16,874
2015-08-17,819
2015-08-18,655
2015-08-19,609
2015-08-20,617
2015-08-21,697
2015-08-22,758
2015-08-23,654
2015-08-24,682
2015-08-25,708
2015-08-26,604
2015-08-27,550
2015-08-28,509
2015-08-29,550
2015-08-30,689
2015-08-31,521
2015-09-01,574
2015-09-02,583
2015-09-03,583
2015-09-04,557
2015-09-05,551
2015-09-06,759
2015-09-07,577
2015-09-08,637
2015-09-09,614
2015-09-10,513
2015-09-11,488
2015-09-12,502
2015-09-13,513
2015-09-14,471
2015-09-15,451
2015-09-16,479
2015-09-17,524
2015-09-18,447
2015-09-19,565
2015-09-20,557
2015-09-21,571
2015-09-22,493
2015-09-23,584
2015-09-24,539
2015-09-25,541
2015-09-26,551
2015-09-27,638
2015-09-28,606
2015-09-29,549
2015-09-30,574
2015-10-01,574
2015-10-02,504
2015-10-03,677
2015-10-04,607
2015-10-05,561
2015-10-06,545
2015-10-07,669
2015-10-08,561
2015-10-09,492
2015-10-10,562
2015-10-11,606
2015-10-12,627
2015-10-13,528
2015-10-14,796
2015-10-15,710
2015-10-16,629
2015-10-17,548
2015-10-18,549
2015-10-19,619
2015-10-20,875
2015-10-21,950
2015-10-22,830
2015-10-23,700
2015-10-24,805
2015-10-25,693
2015-10-26,798
2015-10-27,1029
2015-10-28,3037
2015-10-29,1862
2015-10-30,1200
2015-10-31,4289
2015-11-01,1335
2015-11-02,1568
2015-11-03,1877
2015-11-04,13575
2015-11-05,3528
2015-11-06,1914
2015-11-07,2457
2015-11-08,1666
2015-11-09,22224
2015-11-10,14725
2015-11-11,5512
2015-11-12,4570
2015-11-13,2697
2015-11-14,3715
2015-11-15,3338
2015-11-16,7044
2015-11-17,4474
2015-11-18,9825
2015-11-19,2993
2015-11-20,2138
2015-11-21,3111
2015-11-22,3193
2015-11-23,1653
2015-11-24,2116
2015-11-25,1513
2015-11-26,4039
2015-11-27,1544
