date,views
2015-07-01,2732
2015-07-02,2756
2015-07-03,2318
2015-07-04,2238
2015-07-05,2052
2015-07-06,2176
2015-07-07,2079
2015-07-08,1852
2015-07-09,1861
2015-07-10,1732
2015-07-11,1637
2015-07-12,1495
2015-07-13,1465
2015-07-14,1461
2015-07-15,1391
2015-07-16,3244
2015-07-17,3168
2015-07-18,1775
2015-07-19,1438
2015-07-20,1457
2015-07-21,1502
2015-07-22,1706
2015-07-23,1588
2015-07-24,1353
2015-07-25,1270
2015-07-26,1298
2015-07-27,1333
2015-07-28,1142
2015-07-29,1263
2015-07-30,1152
2015-07-31,1121
2015-08-01,1239
2015-08-02,1229
2015-08-03,1032
2015-08-04,1118
2015-08-05,1041
2015-08-06,1043
2015-08-07,1044
2015-08-08,1006
2015-08-09,1130
2015-08-10,1088
2015-08-11,1277
2015-08-12,1444
2015-08-13,1098
2015-08-14,976
2015-08-15,1076
2015-08-16,1110
2015-08-17,901
2015-08-18,815
2015-08-19,878
2015-08-20,794
2015-08-21,774
2015-08-22,770
2015-08-23,801
2015-08-24,759
2015-08-25,1435
2015-08-26,1051
2015-08-27,851
2015-08-28,792
2015-08-29,745
2015-08-30,777
2015-08-31,736
2015-09-01,662
2015-09-02,698
2015-09-03,660
2015-09-04,1020
2015-09-05,741
2015-09-06,723
2015-09-07,699
2015-09-08,733
2015-09-09,662
2015-09-10,711
2015-09-11,667
2015-09-12,719
2015-09-13,751
2015-09-14,718
2015-09-15,714
2015-09-16,612
2015-09-17,665
2015-09-18,660
2015-09-19,649
2015-09-20,679
2015-09-21,725
2015-09-22,876
2015-09-23,848
2015-09-24,730
2015-09-25,868
2015-09-26,783
2015-09-27,882
2015-09-28,896
2015-09-29,948
2015-09-30,932
2015-10-01,861
2015-10-02,1039
2015-10-03,824
2015-10-04,777
2015-10-05,741
2015-10-06,933
2015-10-07,920
2015-10-08,759
2015-10-09,728
2015-10-10,739
2015-10-11,749
2015-10-12,690
2015-10-13,866
2015-10-14,1105
2015-10-15,855
2015-10-16,1080
2015-10-17,767
2015-10-18,956
2015-10-19,812
2015-10-20,805
2015-10-21,997
2015-10-22,982
2015-10-23,1337
2015-10-24,869
2015-10-25,941
2015-10-26,1090
2015-10-27,1589
2015-10-28,3994
2015-10-29,1333
2015-10-30,1063
2015-10-31,1939
2015-11-01,1537
2015-11-02,1048
2015-11-03,1929
2015-11-04,1499
2015-11-05,3597
2015-11-06,1334
2015-11-07,1661
2015-11-08,1709
2015-11-09,1153
2015-11-10,2152
2015-11-11,1164
2015-11-12,1949
2015-11-13,2244
2015-11-14,1246
2015-11-15,2842
2015-11-16,1302
2015-11-17,1239
2015-11-18,2631
2015-11-19,1503
2015-11-20,5164
2015-11-21,6546
2015-11-22,2016
2015-11-23,5303
2015-11-24,1994
2015-11-25,5215
2015-11-26,2027
2015-11-27,1661
2015-11-28,3712
2015-11-29,3481
2015-11-30,2223
2015-12-01,2598
2015-12-02,1981
2015-12-03,2678
2015-12-04,2175
2015-12-05,3170
2015-12-06,3108
2015-12-07,2813
2015-12-08,2158
2015-12-09,4123
2015-12-10,2061
2015-12-11,1984
2015-12-12,6040
2015-12-13,2832
2015-12-14,1426
2015-12-15,1377
2015-12-16,1266
2015-12-17,2434
2015-12-18,1819
2015-12-19,2193
2015-12-20,1194
2015-12-21,1107
2015-12-22,1212
2015-12-23,1235
2015-12-24,1983
2015-12-25,4398
2015-12-26,11871
2015-12-27,1847
2015-12-28,1508
2015-12-29,2081
2015-12-30,1494
2015-12-31,1829
2016-01-01,2401
2016-01-02,1677
2016-01-03,3577
2016-01-04,3784
2016-01-05,4695
2016-01-06,3220
2016-01-07,2094
2016-01-08,1563
2016-01-09,2014
2016-01-10,2159
2016-01-11,1302
2016-01-12,2657
2016-01-13,1291
2016-01-14,2110
2016-01-15,2189
2016-01-16,1358
2016-01-17,1324
2016-01-18,1564
2016-01-19,6100
2016-01-20,1818
2016-01-21,4592
2016-01-22,2029
2016-01-23,3419
2016-01-24,1671
2016-01-25,1453
2016-01-26,3993
2016-01-27,1767
2016-01-28,3431
2016-01-29,2048
2016-01-30,2225
2016-01-31,1934
2016-02-01,2528
2016-02-02,1636
2016-02-03,1561
2016-02-04,4193
2016-02-05,1781
2016-02-06,1673
2016-02-07,7124
2016-02-08,1764
2016-02-09,1556
2016-02-10,3490
2016-02-11,2576
2016-02-12,2069
2016-02-13,1768
2016-02-14,2228
2016-02-15,2296
2016-02-16,1580
2016-02-17,1553
2016-02-18,1581
2016-02-19,1502
2016-02-20,1715
2016-02-21,5266
2016-02-22,1875
2016-02-23,2453
2016-02-24,1899
2016-02-25,2250
2016-02-26,2197
2016-02-27,1572
2016-02-28,14879
2016-02-29,2963
2016-03-01,2262
2016-03-02,3680
2016-03-03,1936
2016-03-04,4850
2016-03-05,2002
2016-03-06,2216
2016-03-07,1507
2016-03-08,1789
2016-03-09,1433
2016-03-10,2235
2016-03-11,1676
2016-03-12,2679
2016-03-13,2992
2016-03-14,2031
2016-03-15,2040
2016-03-16,1472
2016-03-17,1615
2016-03-18,1354
2016-03-19,1852
2016-03-20,2689
2016-03-21,1530
2016-03-22,1696
2016-03-23,1388
2016-03-24,2084
2016-03-25,1430
2016-03-26,1944
2016-03-27,1459
2016-03-28,2060
2016-03-29,1360
2016-03-30,2062
2016-03-31,2800
2016-04-01,3075
2016-04-02,3135
2016-04-03,1782
2016-04-04,2305
2016-04-05,1638
2016-04-06,2488
2016-04-07,1554
2016-04-08,3399
2016-04-09,2014
2016-04-10,3777
2016-04-11,4963
2016-04-12,2317
2016-04-13,2365
2016-04-14,8272
2016-04-15,2670
2016-04-16,5156
2016-04-17,3187
2016-04-18,2730
2016-04-19,12919
2016-04-20,2810
2016-04-21,2008
2016-04-22,5744
2016-04-23,1819
2016-04-24,10780
2016-04-25,4522
2016-04-26,2232
2016-04-27,1885
2016-04-28,6730
2016-04-29,1726
2016-04-30,1729
2016-05-01,6582
2016-05-02,2938
2016-05-03,1795
2016-05-04,6370
2016-05-05,1950
2016-05-06,1566
2016-05-07,1595
2016-05-08,4238
2016-05-09,1622
2016-05-10,6997
2016-05-11,2762
2016-05-12,6123
2016-05-13,2597
2016-05-14,2050
2016-05-15,2012
2016-05-16,2292
2016-05-17,8701
2016-05-18,2585
2016-05-19,22870
2016-05-20,3892
2016-05-21,2636
2016-05-22,2383
2016-05-23,6649
2016-05-24,1985
2016-05-25,8357
2016-05-26,2135
2016-05-27,11692
2016-05-28,2706
2016-05-29,19316
2016-05-30,7471
2016-05-31,38908
2016-06-01,8175
2016-06-02,8685
2016-06-03,60558
2016-06-04,9784
2016-06-05,7897
2016-06-06,32176
2016-06-07,8040
2016-06-08,5984
2016-06-09,11243
2016-06-10,3381
2016-06-11,32730
2016-06-12,7660
2016-06-13,7451
2016-06-14,32969
2016-06-15,4926
2016-06-16,4351
2016-06-17,20890
2016-06-18,5586
2016-06-19,8074
2016-06-20,44147
2016-06-21,8078
2016-06-22,5315
2016-06-23,4515
2016-06-24,4278
2016-06-25,2888
2016-06-26,3110
2016-06-27,2439
2016-06-28,2328
2016-06-29,2148
2016-06-30,1822
2016-07-01,2422
2016-07-02,2585
2016-07-03,2332
2016-07-04,11224
2016-07-05,11026
2016-07-06,5830
2016-07-07,4715
2016-07-08,4193
2016-07-09,2815
2016-07-10,2358
2016-07-11,2288
2016-07-12,2525
2016-07-13,2208
2016-07-14,4268
2016-07-15,3899
2016-07-16,2630
2016-07-17,2207
2016-07-18,2326
2016-07-19,1911
2016-07-20,1738
2016-07-21,1694
2016-07-22,1414
2016-07-23,1512
2016-07-24,1545
2016-07-25,1335
2016-07-26,1281
2016-07-27,1804
2016-07-28,1295
2016-07-29,1205
2016-07-30,1327
2016-07-31,1291
2016-08-01,1381
2016-08-02,1441
2016-08-03,1104
2016-08-04,1254
