date,views
2015-07-01,2621
2015-07-02,2532
2015-07-03,2374
2015-07-04,2576
2015-07-05,2185
2015-07-06,2470
2015-07-07,2689
2015-07-08,2499
2015-07-09,2490
2015-07-10,2321
2015-07-11,4804
2015-07-12,2812
2015-07-13,2195
2015-07-14,3347
2015-07-15,2026
2015-07-16,1969
2015-07-17,1567
2015-07-18,1423
2015-07-19,1455
2015-07-20,1478
2015-07-21,1434
2015-07-22,1768
2015-07-23,1479
2015-07-24,1453
2015-07-25,1801
2015-07-26,1320
2015-07-27,1247
2015-07-28,1184
2015-07-29,1280
2015-07-30,1548
2015-07-31,1191
2015-08-01,1077
2015-08-02,1101
2015-08-03,1112
2015-08-04,1470
2015-08-05,1664
2015-08-06,1182
2015-08-07,975
2015-08-08,998
2015-08-09,1035
2015-08-10,1357
2015-08-11,1237
2015-08-12,1141
2015-08-13,1053
2015-08-14,1163
2015-08-15,1125
2015-08-16,1124
2015-08-17,1084
2015-08-18,1099
2015-08-19,1028
2015-08-20,1432
2015-08-21,1284
2015-08-22,977
2015-08-23,1233
2015-08-24,1383
2015-08-25,1062
2015-08-26,1012
2015-08-27,1569
2015-08-28,1064
2015-08-29,987
2015-08-30,1081
2015-08-31,1101
2015-09-01,1332
2015-09-02,1958
2015-09-03,1581
2015-09-04,1392
2015-09-05,1571
2015-09-06,1251
2015-09-07,1674
2015-09-08,2256
2015-09-09,2151
2015-09-10,1560
2015-09-11,1159
2015-09-12,1430
2015-09-13,1439
2015-09-14,991
2015-09-15,954
2015-09-16,816
2015-09-17,954
2015-09-18,1726
2015-09-19,1745
2015-09-20,1162
2015-09-21,1235
2015-09-22,1908
2015-09-23,1692
2015-09-24,1490
2015-09-25,1367
2015-09-26,1921
2015-09-27,1386
2015-09-28,1914
2015-09-29,1928
2015-09-30,2065
2015-10-01,1742
2015-10-02,1329
2015-10-03,1343
2015-10-04,1361
2015-10-05,1362
2015-10-06,1335
2015-10-07,1475
2015-10-08,1633
2015-10-09,1340
2015-10-10,1320
2015-10-11,1770
2015-10-12,1356
2015-10-13,2292
