date,views
2015-07-01,1031
2015-07-02,527
2015-07-03,365
2015-07-04,258
2015-07-05,240
2015-07-06,247
2015-07-07,246
2015-07-08,307
2015-07-09,355
2015-07-10,273
2015-07-11,215
2015-07-12,207
2015-07-13,219
2015-07-14,243
2015-07-15,202
2015-07-16,204
2015-07-17,225
2015-07-18,168
2015-07-19,200
2015-07-20,179
2015-07-21,185
2015-07-22,205
2015-07-23,175
2015-07-24,168
2015-07-25,171
2015-07-26,150
2015-07-27,176
2015-07-28,212
2015-07-29,186
2015-07-30,202
2015-07-31,170
2015-08-01,136
2015-08-02,154
2015-08-03,146
2015-08-04,142
2015-08-05,158
2015-08-06,174
2015-08-07,193
2015-08-08,174
2015-08-09,133
2015-08-10,119
2015-08-11,218
2015-08-12,204
2015-08-13,190
2015-08-14,180
2015-08-15,149
2015-08-16,137
2015-08-17,149
2015-08-18,154
2015-08-19,224
2015-08-20,221
2015-08-21,183
2015-08-22,197
2015-08-23,169
2015-08-24,162
2015-08-25,166
2015-08-26,160
2015-08-27,175
2015-08-28,181
2015-08-29,128
2015-08-30,114
2015-08-31,114
2015-09-01,110
2015-09-02,111
2015-09-03,93
2015-09-04,91
2015-09-05,117
2015-09-06,126
2015-09-07,78
2015-09-08,103
2015-09-09,91
2015-09-10,83
2015-09-11,132
2015-09-12,103
2015-09-13,88
2015-09-14,81
2015-09-15,185
2015-09-16,114
2015-09-17,111
2015-09-18,112
2015-09-19,111
2015-09-20,134
2015-09-21,132
2015-09-22,119
2015-09-23,135
2015-09-24,103
2015-09-25,120
2015-09-26,103
2015-09-27,115
2015-09-28,113
2015-09-29,129
2015-09-30,122
2015-10-01,149
2015-10-02,123
2015-10-03,121
2015-10-04,125
2015-10-05,133
2015-10-06,117
2015-10-07,126
2015-10-08,111
2015-10-09,120
2015-10-10,167
2015-10-11,110
2015-10-12,146
2015-10-13,233
2015-10-14,167
2015-10-15,142
2015-10-16,120
2015-10-17,109
2015-10-18,140
2015-10-19,144
2015-10-20,175
2015-10-21,221
2015-10-22,216
2015-10-23,191
2015-10-24,150
2015-10-25,167
2015-10-26,246
2015-10-27,311
2015-10-28,506
2015-10-29,210
2015-10-30,153
2015-10-31,134
2015-11-01,204
2015-11-02,141
2015-11-03,154
2015-11-04,168
2015-11-05,155
2015-11-06,151
2015-11-07,163
2015-11-08,158
2015-11-09,159
2015-11-10,149
2015-11-11,152
2015-11-12,166
2015-11-13,138
2015-11-14,121
2015-11-15,182
2015-11-16,143
2015-11-17,127
2015-11-18,156
2015-11-19,150
2015-11-20,137
2015-11-21,210
2015-11-22,106
2015-11-23,162
2015-11-24,122
2015-11-25,111
2015-11-26,118
2015-11-27,79
2015-11-28,145
2015-11-29,139
2015-11-30,99
2015-12-01,116
2015-12-02,127
2015-12-03,137
2015-12-04,108
2015-12-05,400
2015-12-06,111
2015-12-07,124
2015-12-08,123
2015-12-09,107
2015-12-10,131
2015-12-11,97
2015-12-12,109
2015-12-13,173
2015-12-14,118
2015-12-15,106
2015-12-16,121
2015-12-17,134
2015-12-18,89
2015-12-19,126
2015-12-20,95
2015-12-21,118
2015-12-22,98
2015-12-23,122
2015-12-24,123
2015-12-25,394
2015-12-26,166
2015-12-27,153
2015-12-28,119
2015-12-29,150
2015-12-30,114
2015-12-31,102
2016-01-01,112
2016-01-02,121
2016-01-03,145
2016-01-04,126
2016-01-05,113
2016-01-06,131
2016-01-07,121
2016-01-08,133
2016-01-09,128
2016-01-10,144
2016-01-11,131
2016-01-12,105
2016-01-13,115
2016-01-14,192
2016-01-15,129
2016-01-16,135
2016-01-17,124
2016-01-18,192
2016-01-19,150
2016-01-20,199
2016-01-21,116
2016-01-22,195
2016-01-23,117
2016-01-24,159
2016-01-25,118
2016-01-26,147
2016-01-27,107
2016-01-28,135
2016-01-29,158
2016-01-30,124
2016-01-31,137
2016-02-01,110
2016-02-02,111
2016-02-03,90
2016-02-04,140
2016-02-05,163
