date,views
2019-01-24,30
2019-01-25,7
2019-01-26,3
2019-01-27,10
2019-01-28,2
2019-01-29,12
2019-01-30,71
2019-01-31,17
2019-02-01,22
2019-02-02,31
2019-02-03,24
2019-02-04,26
2019-02-05,57
2019-02-06,46
2019-02-07,62
2019-02-08,55
2019-02-09,52
2019-02-10,54
2019-02-11,670
2019-02-12,327
2019-02-13,98
2019-02-14,52
2019-02-15,46
2019-02-16,56
2019-02-17,68
2019-02-18,61
2019-02-19,54
2019-02-20,36
2019-02-21,74
2019-02-22,57
2019-02-23,59
2019-02-24,61
2019-02-25,53
2019-02-26,36
2019-02-27,56
2019-02-28,44
2019-03-01,51
2019-03-02,52
2019-03-03,56
2019-03-04,45
2019-03-05,41
2019-03-06,38
2019-03-07,54
2019-03-08,45
2019-03-09,51
2019-03-10,48
2019-03-11,46
2019-03-12,32
2019-03-13,38
2019-03-14,63
2019-03-15,92
2019-03-16,90
2019-03-17,63
2019-03-18,78
2019-03-19,65
2019-03-20,54
2019-03-21,49
2019-03-22,58
2019-03-23,93
2019-03-24,106
2019-03-25,129
2019-03-26,185
2019-03-27,217
2019-03-28,313
2019-03-29,132
2019-03-30,102
2019-03-31,210
2019-04-01,133
2019-04-02,114
2019-04-03,94
2019-04-04,76
2019-04-05,65
2019-04-06,82
2019-04-07,85
2019-04-08,83
2019-04-09,79
2019-04-10,54
2019-04-11,55
2019-04-12,35
2019-04-13,102
2019-04-14,45
2019-04-15,44
2019-04-16,65
2019-04-17,63
2019-04-18,58
2019-04-19,52
2019-04-20,48
2019-04-21,69
2019-04-22,140
2019-04-23,206
2019-04-24,101
2019-04-25,91
2019-04-26,55
2019-04-27,59
2019-04-28,51
2019-04-29,40
2019-04-30,56
2019-05-01,60
2019-05-02,68
2019-05-03,83
2019-05-04,57
2019-05-05,40
2019-05-06,73
2019-05-07,92
2019-05-08,82
2019-05-09,51
2019-05-10,53
2019-05-11,50
2019-05-12,72
2019-05-13,38
2019-05-14,51
2019-05-15,131
2019-05-16,149
2019-05-17,188
2019-05-18,123
2019-05-19,85
2019-05-20,77
2019-05-21,73
2019-05-22,75
2019-05-23,94
2019-05-24,51
2019-05-25,66
2019-05-26,62
2019-05-27,101
2019-05-28,102
2019-05-29,117
2019-05-30,59
2019-05-31,62
2019-06-01,57
2019-06-02,80
2019-06-03,67
2019-06-04,90
2019-06-05,74
2019-06-06,78
2019-06-07,81
2019-06-08,75
2019-06-09,118
2019-06-10,100
2019-06-11,70
2019-06-12,80
2019-06-13,57
2019-06-14,58
2019-06-15,104
2019-06-16,89
2019-06-17,106
2019-06-18,170
2019-06-19,122
2019-06-20,129
2019-06-21,257
2019-06-22,349
2019-06-23,318
2019-06-24,309
2019-06-25,224
2019-06-26,183
2019-06-27,174
2019-06-28,120
2019-06-29,110
2019-06-30,130
2019-07-01,115
2019-07-02,108
2019-07-03,111
2019-07-04,140
2019-07-05,100
2019-07-06,74
2019-07-07,116
2019-07-08,119
2019-07-09,96
2019-07-10,79
2019-07-11,108
2019-07-12,84
2019-07-13,105
2019-07-14,137
2019-07-15,113
2019-07-16,88
2019-07-17,100
2019-07-18,97
2019-07-19,84
2019-07-20,92
2019-07-21,99
2019-07-22,143
2019-07-23,95
2019-07-24,67
2019-07-25,100
2019-07-26,90
2019-07-27,81
2019-07-28,97
2019-07-29,106
2019-07-30,94
2019-07-31,67
2019-08-01,72
2019-08-02,74
2019-08-03,65
2019-08-04,87
2019-08-05,171
2019-08-06,121
2019-08-07,90
2019-08-08,51
2019-08-09,77
2019-08-10,51
2019-08-11,70
2019-08-12,54
2019-08-13,52
2019-08-14,47
2019-08-15,60
2019-08-16,52
2019-08-17,36
2019-08-18,42
2019-08-19,70
2019-08-20,68
2019-08-21,58
2019-08-22,65
2019-08-23,63
2019-08-24,54
2019-08-25,62
2019-08-26,67
2019-08-27,44
2019-08-28,49
2019-08-29,67
2019-08-30,52
2019-08-31,41
2019-09-01,51
2019-09-02,65
2019-09-03,49
2019-09-04,55
2019-09-05,43
2019-09-06,58
2019-09-07,47
2019-09-08,51
2019-09-09,76
2019-09-10,89
2019-09-11,148
2019-09-12,127
2019-09-13,95
2019-09-14,106
2019-09-15,88
2019-09-16,80
2019-09-17,76
2019-09-18,64
2019-09-19,79
2019-09-20,72
2019-09-21,92
2019-09-22,78
2019-09-23,92
2019-09-24,562
2019-09-25,533
2019-09-26,209
2019-09-27,129
2019-09-28,104
2019-09-29,88
2019-09-30,112
2019-10-01,67
2019-10-02,73
2019-10-03,57
2019-10-04,69
2019-10-05,85
2019-10-06,92
2019-10-07,62
2019-10-08,63
2019-10-09,65
2019-10-10,63
2019-10-11,79
2019-10-12,99
2019-10-13,103
2019-10-14,94
2019-10-15,105
2019-10-16,119
2019-10-17,105
2019-10-18,86
2019-10-19,116
2019-10-20,106
2019-10-21,123
2019-10-22,109
2019-10-23,138
2019-10-24,137
2019-10-25,109
2019-10-26,119
2019-10-27,120
2019-10-28,131
2019-10-29,132
2019-10-30,184
2019-10-31,342
2019-11-01,299
2019-11-02,339
2019-11-03,267
2019-11-04,242
2019-11-05,499
2019-11-06,1270
2019-11-07,546
2019-11-08,307
2019-11-09,326
2019-11-10,238
2019-11-11,253
2019-11-12,192
2019-11-13,614
2019-11-14,253
2019-11-15,191
2019-11-16,231
2019-11-17,188
2019-11-18,167
2019-11-19,195
2019-11-20,206
2019-11-21,426
2019-11-22,232
2019-11-23,235
2019-11-24,180
2019-11-25,452
2019-11-26,2075
2019-11-27,2504
2019-11-28,1688
2019-11-29,657
2019-11-30,526
2019-12-01,362
2019-12-02,591
2019-12-03,518
2019-12-04,389
2019-12-05,390
2019-12-06,495
2019-12-07,315
2019-12-08,265
2019-12-09,212
2019-12-10,306
2019-12-11,331
2019-12-12,328
2019-12-13,185
2019-12-14,238
2019-12-15,382
2019-12-16,274
2019-12-17,274
2019-12-18,230
2019-12-19,346
2019-12-20,500
2019-12-21,511
2019-12-22,214
2019-12-23,210
2019-12-24,516
2019-12-25,377
2019-12-26,271
2019-12-27,257
2019-12-28,298
2019-12-29,215
2019-12-30,205
2019-12-31,249
2020-01-01,182
2020-01-02,236
2020-01-03,256
2020-01-04,1124
2020-01-05,327
2020-01-06,255
2020-01-07,744
2020-01-08,4491
2020-01-09,727
2020-01-10,491
2020-01-11,876
2020-01-12,451
2020-01-13,418
2020-01-14,235
2020-01-15,271
2020-01-16,941
2020-01-17,273
2020-01-18,316
2020-01-19,370
2020-01-20,289
2020-01-21,285
2020-01-22,1663
2020-01-23,298
2020-01-24,225
2020-01-25,302
2020-01-26,285
2020-01-27,139
2020-01-28,156
2020-01-29,322
2020-01-30,195
2020-01-31,189
2020-02-01,431
2020-02-02,409
2020-02-03,209
2020-02-04,303
2020-02-05,348
2020-02-06,724
2020-02-07,528
2020-02-08,447
2020-02-09,530
2020-02-10,329
2020-02-11,332
2020-02-12,405
2020-02-13,539
2020-02-14,335
2020-02-15,307
2020-02-16,254
2020-02-17,397
2020-02-18,748
2020-02-19,629
2020-02-20,1254
2020-02-21,609
2020-02-22,702
2020-02-23,1483
2020-02-24,490
2020-02-25,446
2020-02-26,697
2020-02-27,788
2020-02-28,351
2020-02-29,453
2020-03-01,598
2020-03-02,325
2020-03-03,352
2020-03-04,426
2020-03-05,758
2020-03-06,336
2020-03-07,448
2020-03-08,411
2020-03-09,355
2020-03-10,358
2020-03-11,454
2020-03-12,296
2020-03-13,197
2020-03-14,182
2020-03-15,222
2020-03-16,277
2020-03-17,228
2020-03-18,224
2020-03-19,261
2020-03-20,2934
2020-03-21,2571
2020-03-22,982
2020-03-23,642
2020-03-24,626
2020-03-25,740
2020-03-26,575
2020-03-27,494
2020-03-28,462
2020-03-29,387
2020-03-30,459
2020-03-31,427
2020-04-01,431
2020-04-02,1171
2020-04-03,1064
2020-04-04,928
2020-04-05,735
2020-04-06,560
2020-04-07,456
2020-04-08,386
2020-04-09,1274
2020-04-10,811
2020-04-11,451
2020-04-12,374
2020-04-13,358
2020-04-14,305
2020-04-15,273
2020-04-16,367
2020-04-17,314
2020-04-18,299
2020-04-19,259
2020-04-20,282
2020-04-21,234
2020-04-22,262
2020-04-23,253
2020-04-24,297
2020-04-25,273
2020-04-26,281
2020-04-27,289
2020-04-28,256
2020-04-29,451
2020-04-30,295
2020-05-01,287
2020-05-02,216
2020-05-03,215
2020-05-04,270
2020-05-05,240
2020-05-06,269
2020-05-07,248
2020-05-08,279
2020-05-09,236
2020-05-10,205
2020-05-11,227
2020-05-12,304
2020-05-13,328
2020-05-14,283
2020-05-15,265
2020-05-16,235
2020-05-17,233
2020-05-18,265
2020-05-19,266
2020-05-20,250
2020-05-21,267
2020-05-22,281
2020-05-23,323
2020-05-24,302
2020-05-25,275
2020-05-26,269
2020-05-27,274
2020-05-28,194
2020-05-29,178
2020-05-30,164
2020-05-31,147
2020-06-01,122
2020-06-02,148
2020-06-03,254
2020-06-04,430
2020-06-05,399
2020-06-06,383
2020-06-07,1075
2020-06-08,1193
2020-06-09,525
2020-06-10,407
2020-06-11,372
2020-06-12,296
2020-06-13,228
2020-06-14,345
2020-06-15,255
2020-06-16,179
2020-06-17,229
2020-06-18,198
2020-06-19,185
2020-06-20,181
2020-06-21,155
2020-06-22,217
2020-06-23,175
2020-06-24,165
2020-06-25,428
2020-06-26,400
2020-06-27,402
2020-06-28,385
2020-06-29,582
2020-06-30,307
2020-07-01,318
2020-07-02,255
2020-07-03,193
2020-07-04,192
2020-07-05,180
2020-07-06,204
2020-07-07,220
