date,views
2018-06-04,20
2018-06-05,5
2018-06-06,11
2018-06-07,9
2018-06-08,2
2018-06-09,10
2018-06-10,5
2018-06-11,7
2018-06-12,65
2018-06-13,38
2018-06-14,25
2018-06-15,25
2018-06-16,26
2018-06-17,62
2018-06-18,36
2018-06-19,15
2018-06-20,21
2018-06-21,11
2018-06-22,19
2018-06-23,19
2018-06-24,12
2018-06-25,16
2018-06-26,18
2018-06-27,16
2018-06-28,16
2018-06-29,15
2018-06-30,10
2018-07-01,9
2018-07-02,13
2018-07-03,7
2018-07-04,8
2018-07-05,14
2018-07-06,10
2018-07-07,14
2018-07-08,21
2018-07-09,19
2018-07-10,10
2018-07-11,20
2018-07-12,17
2018-07-13,13
2018-07-14,14
2018-07-15,12
2018-07-16,15
2018-07-17,7
2018-07-18,7
2018-07-19,8
2018-07-20,10
2018-07-21,15
2018-07-22,13
2018-07-23,12
2018-07-24,10
2018-07-25,15
2018-07-26,15
2018-07-27,17
2018-07-28,12
2018-07-29,13
2018-07-30,19
2018-07-31,9
2018-08-01,18
2018-08-02,16
2018-08-03,13
2018-08-04,11
2018-08-05,21
2018-08-06,22
2018-08-07,25
2018-08-08,25
2018-08-09,24
2018-08-10,11
2018-08-11,13
2018-08-12,13
2018-08-13,12
2018-08-14,14
2018-08-15,5
2018-08-16,11
2018-08-17,19
2018-08-18,6
2018-08-19,16
2018-08-20,14
2018-08-21,12
2018-08-22,20
2018-08-23,8
2018-08-24,8
2018-08-25,5
2018-08-26,15
2018-08-27,15
2018-08-28,7
2018-08-29,17
2018-08-30,13
2018-08-31,6
2018-09-01,13
2018-09-02,8
2018-09-03,11
2018-09-04,11
2018-09-05,9
2018-09-06,11
2018-09-07,12
2018-09-08,5
2018-09-09,20
2018-09-10,13
2018-09-11,6
2018-09-12,8
2018-09-13,13
2018-09-14,11
2018-09-15,8
2018-09-16,8
2018-09-17,16
2018-09-18,13
2018-09-19,10
2018-09-20,15
2018-09-21,7
2018-09-22,18
2018-09-23,9
2018-09-24,16
2018-09-25,11
2018-09-26,8
2018-09-27,9
2018-09-28,8
2018-09-29,13
2018-09-30,16
2018-10-01,15
2018-10-02,15
2018-10-03,5
2018-10-04,17
2018-10-05,14
2018-10-06,19
2018-10-07,10
2018-10-08,8
2018-10-09,23
2018-10-10,22
2018-10-11,17
2018-10-12,23
2018-10-13,13
2018-10-14,20
2018-10-15,10
2018-10-16,19
2018-10-17,13
2018-10-18,14
2018-10-19,26
2018-10-20,15
2018-10-21,13
2018-10-22,15
2018-10-23,22
2018-10-24,10
2018-10-25,20
2018-10-26,12
2018-10-27,20
2018-10-28,11
2018-10-29,14
2018-10-30,23
2018-10-31,16
2018-11-01,15
2018-11-02,17
2018-11-03,48
2018-11-04,26
2018-11-05,39
2018-11-06,35
2018-11-07,37
2018-11-08,43
2018-11-09,204
2018-11-10,66
2018-11-11,33
2018-11-12,38
2018-11-13,45
2018-11-14,951
2018-11-15,130
2018-11-16,62
2018-11-17,80
2018-11-18,63
2018-11-19,64
2018-11-20,203
2018-11-21,85
2018-11-22,55
2018-11-23,24
2018-11-24,28
2018-11-25,22
2018-11-26,31
2018-11-27,24
2018-11-28,88
2018-11-29,25
2018-11-30,10
2018-12-01,20
2018-12-02,31
2018-12-03,25
2018-12-04,14
2018-12-05,22
2018-12-06,86
2018-12-07,15
2018-12-08,61
2018-12-09,19
2018-12-10,25
2018-12-11,25
2018-12-12,37
2018-12-13,16
2018-12-14,27
2018-12-15,50
2018-12-16,24
2018-12-17,19
2018-12-18,21
2018-12-19,17
2018-12-20,17
2018-12-21,20
2018-12-22,17
2018-12-23,123
2018-12-24,15
2018-12-25,14
2018-12-26,13
2018-12-27,11
2018-12-28,16
2018-12-29,34
2018-12-30,23
2018-12-31,13
2019-01-01,18
2019-01-02,18
2019-01-03,21
2019-01-04,75
2019-01-05,18
