date,views
2016-02-03,3
2016-02-04,2
2016-02-09,2
2016-02-10,1
2016-02-11,3
2016-02-12,3
2016-02-13,6
2016-02-14,5
2016-02-15,5
2016-02-16,9
2016-02-17,1
2016-02-18,9
2016-02-19,10
2016-02-20,2
2016-02-21,3
2016-02-22,5
2016-02-23,4
2016-02-24,7
2016-02-25,4
2016-02-26,1
2016-02-27,10
2016-02-28,3
2016-02-29,1
2016-03-01,4
2016-03-02,5
2016-03-03,1
2016-03-04,1
2016-03-05,8
2016-03-06,8
2016-03-07,5
2016-03-08,2
2016-03-09,4
2016-03-10,3
2016-03-11,5
2016-03-12,2
2016-03-13,8
2016-03-14,6
2016-03-15,3
2016-03-16,3
2016-03-17,9
2016-03-18,6
2016-03-19,4
2016-03-20,5
2016-03-21,13
2016-03-22,8
2016-03-23,7
2016-03-24,11
2016-03-25,11
2016-03-26,12
2016-03-27,8
2016-03-28,20
2016-03-29,29
2016-03-30,21
2016-03-31,42
2016-04-01,17
2016-04-02,11
2016-04-03,11
2016-04-04,13
2016-04-05,11
2016-04-06,6
2016-04-07,10
2016-04-08,5
2016-04-09,5
2016-04-10,5
2016-04-11,7
2016-04-12,8
2016-04-13,7
2016-04-14,5
2016-04-15,4
2016-04-16,6
2016-04-17,6
2016-04-18,7
2016-04-19,3
2016-04-20,1
2016-04-21,5
2016-04-22,2
2016-04-24,1
2016-04-25,7
2016-04-26,1
2016-04-28,1
2016-04-29,2
2016-05-01,2
2016-05-02,4
2016-05-03,2
2016-05-04,2
2016-05-06,3
2016-05-07,3
2016-05-08,2
2016-05-10,8
2016-05-11,1
2016-05-12,2
2016-05-13,5
2016-05-14,4
2016-05-15,2
2016-05-16,3
2016-05-17,6
2016-05-18,4
2016-05-19,2
2016-05-20,1
2016-05-21,2
2016-05-22,1
2016-05-23,3
2016-05-24,1
2016-05-25,3
2016-05-26,2
2016-05-27,3
2016-05-28,1
2016-05-29,2
2016-05-30,0
2016-05-31,2
2016-06-01,2
2016-06-02,2
2016-06-03,3
2016-06-04,5
2016-06-05,1
2016-06-06,5
2016-06-07,4
2016-06-08,6
2016-06-09,5
2016-06-10,3
2016-06-11,2
2016-06-12,3
2016-06-13,4
2016-06-14,2
2016-06-15,2
2016-06-16,6
2016-06-17,2
2016-06-18,4
2016-06-19,1
2016-06-20,2
2016-06-21,4
2016-06-22,4
2016-06-23,5
2016-06-24,13
2016-06-25,12
2016-06-26,9
2016-06-27,7
2016-06-28,4
2016-06-29,12
2016-06-30,8
2016-07-01,4
2016-07-02,5
2016-07-03,1
2016-07-04,5
2016-07-05,4
2016-07-06,7
2016-07-07,5
2016-07-08,5
2016-07-09,5
2016-07-10,2
2016-07-11,6
2016-07-12,8
2016-07-13,3
2016-07-14,5
2016-07-15,6
2016-07-16,6
2016-07-17,6
2016-07-18,4
2016-07-19,3
2016-07-20,5
2016-07-21,3
2016-07-22,3
2016-07-23,2
2016-07-24,2
2016-07-25,7
2016-07-26,5
2016-07-27,5
2016-07-28,5
2016-07-29,2
2016-07-30,6
2016-07-31,6
2016-08-01,4
2016-08-02,4
2016-08-03,10
2016-08-04,5
2016-08-05,4
2016-08-06,5
2016-08-07,3
2016-08-08,9
2016-08-09,3
2016-08-10,3
2016-08-11,6
2016-08-12,8
2016-08-13,1
2016-08-14,4
2016-08-15,4
2016-08-16,2
2016-08-17,3
2016-08-18,3
2016-08-19,4
2016-08-20,2
2016-08-21,5
2016-08-22,4
2016-08-23,0
2016-08-24,6
2016-08-25,4
2016-08-26,8
2016-08-27,2
2016-08-28,5
2016-08-29,5
2016-08-30,2
2016-08-31,3
2016-09-01,4
2016-09-02,3
2016-09-03,1
2016-09-04,6
2016-09-05,1
2016-09-06,2
2016-09-07,6
2016-09-08,3
2016-09-09,14
2016-09-10,2
2016-09-11,4
2016-09-12,2
2016-09-13,2
2016-09-14,3
2016-09-15,5
2016-09-16,2
2016-09-17,4
2016-09-18,3
2016-09-19,3
2016-09-20,4
2016-09-21,3
2016-09-22,8
2016-09-23,3
2016-09-24,3
2016-09-25,3
2016-09-26,1
2016-09-27,4
2016-09-29,4
2016-09-30,6
2016-10-01,2
2016-10-02,2
2016-10-03,7
2016-10-04,7
2016-10-05,2
2016-10-06,8
2016-10-07,3
2016-10-08,3
2016-10-09,3
2016-10-10,4
2016-10-11,5
2016-10-12,3
2016-10-13,6
2016-10-14,2
2016-10-15,7
2016-10-16,6
2016-10-17,5
2016-10-18,7
2016-10-19,10
2016-10-20,8
2016-10-21,5
2016-10-22,2
2016-10-23,7
2016-10-24,4
2016-10-25,11
2016-10-26,3
2016-10-27,9
2016-10-28,11
2016-10-29,4
2016-10-30,1
2016-10-31,14
2016-11-01,4
2016-11-02,8
2016-11-03,10
2016-11-04,12
2016-11-05,6
2016-11-06,4
2016-11-07,16
2016-11-08,12
2016-11-09,5
2016-11-10,8
2016-11-11,10
2016-11-12,15
2016-11-13,10
2016-11-14,14
2016-11-15,13
2016-11-16,36
2016-11-17,10
2016-11-18,7
2016-11-19,5
2016-11-20,4
2016-11-21,21
2016-11-22,10
2016-11-23,11
2016-11-24,10
2016-11-25,5
2016-11-26,16
2016-11-27,4
2016-11-28,11
2016-11-29,23
2016-11-30,7
2016-12-01,7
2016-12-02,4
2016-12-03,20
2016-12-04,8
