date,views
2015-07-01,1250
2015-07-02,1654
2015-07-03,961
2015-07-04,1358
2015-07-05,1184
2015-07-06,1870
2015-07-07,858
2015-07-08,898
2015-07-09,1297
2015-07-10,809
2015-07-11,828
2015-07-12,1372
2015-07-13,942
2015-07-14,724
2015-07-15,629
2015-07-16,1474
2015-07-17,717
2015-07-18,418
2015-07-19,429
2015-07-20,532
2015-07-21,561
2015-07-22,489
2015-07-23,642
2015-07-24,857
2015-07-25,579
2015-07-26,584
2015-07-27,454
2015-07-28,578
2015-07-29,572
2015-07-30,656
2015-07-31,567
2015-08-01,406
2015-08-02,435
2015-08-03,478
2015-08-04,469
2015-08-05,527
2015-08-06,429
2015-08-07,357
2015-08-08,315
2015-08-09,317
2015-08-10,320
2015-08-11,302
2015-08-12,389
2015-08-13,548
2015-08-14,835
2015-08-15,1142
2015-08-16,1087
2015-08-17,806
2015-08-18,1448
2015-08-19,1061
2015-08-20,1095
2015-08-21,1033
2015-08-22,1086
2015-08-23,626
2015-08-24,453
2015-08-25,607
2015-08-26,809
2015-08-27,579
2015-08-28,425
2015-08-29,345
2015-08-30,493
2015-08-31,438
2015-09-01,494
2015-09-02,417
2015-09-03,357
2015-09-04,447
2015-09-05,400
2015-09-06,431
2015-09-07,323
2015-09-08,357
2015-09-09,309
2015-09-10,258
2015-09-11,277
2015-09-12,355
2015-09-13,347
2015-09-14,308
2015-09-15,325
2015-09-16,295
2015-09-17,247
2015-09-18,329
2015-09-19,866
2015-09-20,414
2015-09-21,364
2015-09-22,313
2015-09-23,319
2015-09-24,528
2015-09-25,453
2015-09-26,414
2015-09-27,379
2015-09-28,359
2015-09-29,333
2015-09-30,381
2015-10-01,347
2015-10-02,369
2015-10-03,359
2015-10-04,522
2015-10-05,358
2015-10-06,388
2015-10-07,643
2015-10-08,410
2015-10-09,361
2015-10-10,377
2015-10-11,494
2015-10-12,556
2015-10-13,489
2015-10-14,558
2015-10-15,583
2015-10-16,912
2015-10-17,502
2015-10-18,533
2015-10-19,445
2015-10-20,846
2015-10-21,1749
2015-10-22,915
2015-10-23,565
2015-10-24,657
2015-10-25,623
2015-10-26,500
2015-10-27,816
2015-10-28,746
2015-10-29,1067
2015-10-30,1516
2015-10-31,1878
2015-11-01,1172
2015-11-02,1299
2015-11-03,1874
2015-11-04,3004
2015-11-05,1972
2015-11-06,1486
2015-11-07,2023
2015-11-08,1867
2015-11-09,2246
2015-11-10,2477
2015-11-11,2323
2015-11-12,2003
2015-11-13,3541
2015-11-14,15819
2015-11-15,3642
2015-11-16,2069
2015-11-17,8255
2015-11-18,5228
2015-11-19,3691
2015-11-20,8636
2015-11-21,4094
2015-11-22,2579
2015-11-23,3018
2015-11-24,26509
2015-11-25,18260
2015-11-26,6176
2015-11-27,3722
2015-11-28,2822
2015-11-29,3066
2015-11-30,2948
2015-12-01,3393
2015-12-02,7245
2015-12-03,24620
2015-12-04,7904
2015-12-05,18954
2015-12-06,7161
2015-12-07,5356
2015-12-08,5384
2015-12-09,3353
2015-12-10,4160
2015-12-11,3876
2015-12-12,3379
2015-12-13,3840
2015-12-14,4823
2015-12-15,4895
2015-12-16,2691
2015-12-17,3512
2015-12-18,2279
2015-12-19,3617
2015-12-20,3072
2015-12-21,2356
2015-12-22,3752
2015-12-23,4933
2015-12-24,2367
2015-12-25,2525
2015-12-26,3615
2015-12-27,2674
2015-12-28,2042
2015-12-29,2325
2015-12-30,5197
2015-12-31,1907
2016-01-01,1489
2016-01-02,2519
2016-01-03,14594
2016-01-04,4830
2016-01-05,13757
2016-01-06,46520
2016-01-07,10215
2016-01-08,5327
2016-01-09,11222
2016-01-10,5245
2016-01-11,3192
2016-01-12,2749
2016-01-13,2938
2016-01-14,5698
2016-01-15,4082
2016-01-16,2821
2016-01-17,3649
2016-01-18,2408
2016-01-19,2579
2016-01-20,5716
2016-01-21,3377
2016-01-22,2363
2016-01-23,4009
2016-01-24,3624
2016-01-25,2210
2016-01-26,3382
2016-01-27,10019
2016-01-28,5395
2016-01-29,3532
2016-01-30,14335
2016-01-31,8823
2016-02-01,3187
2016-02-02,2750
2016-02-03,4935
2016-02-04,2365
2016-02-05,2921
2016-02-06,3036
2016-02-07,3977
2016-02-08,2668
2016-02-09,2006
2016-02-10,1925
2016-02-11,6114
2016-02-12,3622
2016-02-13,5320
2016-02-14,2892
2016-02-15,2360
2016-02-16,2185
2016-02-17,2011
2016-02-18,3775
2016-02-19,2452
2016-02-20,2537
2016-02-21,3643
2016-02-22,3682
2016-02-23,2704
2016-02-24,5626
2016-02-25,2477
2016-02-26,1647
2016-02-27,1993
2016-02-28,4303
2016-02-29,1553
2016-03-01,1481
2016-03-02,3128
2016-03-03,2709
2016-03-04,4912
2016-03-05,7740
2016-03-06,6211
2016-03-07,4752
2016-03-08,3306
2016-03-09,3368
2016-03-10,2106
2016-03-11,3456
2016-03-12,6280
