date,views
2015-07-01,1220
2015-07-02,1026
2015-07-03,777
2015-07-04,773
2015-07-05,635
2015-07-06,789
2015-07-07,1157
2015-07-08,1021
2015-07-09,732
2015-07-10,603
2015-07-11,821
2015-07-12,4344
2015-07-13,1280
2015-07-14,756
2015-07-15,606
2015-07-16,900
2015-07-17,715
2015-07-18,585
2015-07-19,1551
2015-07-20,770
2015-07-21,476
2015-07-22,406
2015-07-23,382
2015-07-24,325
2015-07-25,319
2015-07-26,291
2015-07-27,300
2015-07-28,379
2015-07-29,331
2015-07-30,250
2015-07-31,230
2015-08-01,224
2015-08-02,262
2015-08-03,206
2015-08-04,254
2015-08-05,219
2015-08-06,210
2015-08-07,214
2015-08-08,296
2015-08-09,309
2015-08-10,237
2015-08-11,254
2015-08-12,379
2015-08-13,242
2015-08-14,244
2015-08-15,222
2015-08-16,197
2015-08-17,195
2015-08-18,204
2015-08-19,225
2015-08-20,238
2015-08-21,248
2015-08-22,195
2015-08-23,177
2015-08-24,167
2015-08-25,195
2015-08-26,158
2015-08-27,163
2015-08-28,135
2015-08-29,154
2015-08-30,154
2015-08-31,166
2015-09-01,125
2015-09-02,139
2015-09-03,169
2015-09-04,163
2015-09-05,146
2015-09-06,158
2015-09-07,180
2015-09-08,156
2015-09-09,158
2015-09-10,151
2015-09-11,144
2015-09-12,144
2015-09-13,136
2015-09-14,175
2015-09-15,126
2015-09-16,141
2015-09-17,165
2015-09-18,171
2015-09-19,171
2015-09-20,219
2015-09-21,181
2015-09-22,228
2015-09-23,162
2015-09-24,200
2015-09-25,201
2015-09-26,205
2015-09-27,205
2015-09-28,284
2015-09-29,307
2015-09-30,298
2015-10-01,258
2015-10-02,248
2015-10-03,213
2015-10-04,190
2015-10-05,229
2015-10-06,272
2015-10-07,1177
2015-10-08,295
2015-10-09,546
2015-10-10,265
2015-10-11,733
2015-10-12,289
2015-10-13,2779
2015-10-14,826
2015-10-15,849
2015-10-16,403
2015-10-17,402
2015-10-18,624
2015-10-19,497
2015-10-20,649
2015-10-21,523
2015-10-22,455
2015-10-23,498
2015-10-24,790
2015-10-25,487
2015-10-26,679
2015-10-27,873
2015-10-28,1349
2015-10-29,731
2015-10-30,361
2015-10-31,340
2015-11-01,275
2015-11-02,386
2015-11-03,391
2015-11-04,862
2015-11-05,408
2015-11-06,343
2015-11-07,291
2015-11-08,306
2015-11-09,197
2015-11-10,392
2015-11-11,265
2015-11-12,254
2015-11-13,209
2015-11-14,235
2015-11-15,222
2015-11-16,159
2015-11-17,230
2015-11-18,845
2015-11-19,620
2015-11-20,286
2015-11-21,530
2015-11-22,260
2015-11-23,258
2015-11-24,205
2015-11-25,275
2015-11-26,290
2015-11-27,227
2015-11-28,250
2015-11-29,217
2015-11-30,182
2015-12-01,282
2015-12-02,196
2015-12-03,289
2015-12-04,190
2015-12-05,192
2015-12-06,196
2015-12-07,207
2015-12-08,221
2015-12-09,276
2015-12-10,267
2015-12-11,249
2015-12-12,206
2015-12-13,283
2015-12-14,168
2015-12-15,1563
2015-12-16,591
2015-12-17,386
2015-12-18,225
2015-12-19,337
2015-12-20,2693
2015-12-21,890
2015-12-22,986
2015-12-23,484
2015-12-24,362
2015-12-25,3532
2015-12-26,935
2015-12-27,750
2015-12-28,276
2015-12-29,2698
2015-12-30,708
2015-12-31,2338
2016-01-01,497
2016-01-02,6042
2016-01-03,1487
2016-01-04,835
2016-01-05,545
2016-01-06,1624
2016-01-07,457
2016-01-08,1170
2016-01-09,466
2016-01-10,323
2016-01-11,312
2016-01-12,413
2016-01-13,342
2016-01-14,283
2016-01-15,307
2016-01-16,453
2016-01-17,338
2016-01-18,273
2016-01-19,313
2016-01-20,275
2016-01-21,1379
2016-01-22,418
2016-01-23,503
2016-01-24,1250
2016-01-25,276
2016-01-26,303
2016-01-27,243
2016-01-28,298
2016-01-29,1118
2016-01-30,372
2016-01-31,537
2016-02-01,285
2016-02-02,345
2016-02-03,229
2016-02-04,337
2016-02-05,202
2016-02-06,346
2016-02-07,391
2016-02-08,158
2016-02-09,223
2016-02-10,312
2016-02-11,384
2016-02-12,200
2016-02-13,232
2016-02-14,223
2016-02-15,189
2016-02-16,195
2016-02-17,232
2016-02-18,302
2016-02-19,895
2016-02-20,468
2016-02-21,275
2016-02-22,1788
2016-02-23,353
2016-02-24,294
2016-02-25,1094
2016-02-26,243
2016-02-27,422
2016-02-28,400
2016-02-29,242
2016-03-01,188
2016-03-02,479
2016-03-03,314
2016-03-04,218
2016-03-05,247
2016-03-06,413
2016-03-07,249
2016-03-08,271
2016-03-09,203
2016-03-10,173
2016-03-11,316
2016-03-12,311
2016-03-13,243
2016-03-14,209
2016-03-15,274
2016-03-16,195
2016-03-17,267
2016-03-18,489
2016-03-19,240
2016-03-20,305
2016-03-21,221
2016-03-22,284
2016-03-23,193
2016-03-24,508
2016-03-25,277
2016-03-26,186
2016-03-27,269
2016-03-28,221
2016-03-29,272
2016-03-30,253
2016-03-31,259
2016-04-01,246
2016-04-02,170
2016-04-03,317
2016-04-04,187
2016-04-05,183
2016-04-06,235
2016-04-07,169
2016-04-08,562
2016-04-09,182
2016-04-10,601
2016-04-11,205
2016-04-12,218
2016-04-13,138
2016-04-14,218
2016-04-15,156
2016-04-16,180
2016-04-17,191
2016-04-18,189
2016-04-19,163
2016-04-20,148
2016-04-21,152
2016-04-22,164
2016-04-23,131
2016-04-24,134
2016-04-25,162
2016-04-26,172
2016-04-27,142
2016-04-28,115
2016-04-29,117
2016-04-30,138
2016-05-01,157
2016-05-02,168
2016-05-03,120
2016-05-04,112
2016-05-05,121
2016-05-06,116
2016-05-07,119
2016-05-08,111
2016-05-09,149
2016-05-10,139
2016-05-11,117
2016-05-12,149
2016-05-13,147
2016-05-14,110
2016-05-15,149
2016-05-16,169
2016-05-17,163
2016-05-18,265
2016-05-19,193
2016-05-20,159
2016-05-21,157
2016-05-22,137
2016-05-23,127
2016-05-24,110
2016-05-25,123
2016-05-26,138
2016-05-27,142
2016-05-28,152
2016-05-29,153
2016-05-30,114
2016-05-31,141
2016-06-01,117
2016-06-02,127
2016-06-03,132
2016-06-04,129
2016-06-05,134
2016-06-06,137
2016-06-07,134
2016-06-08,138
2016-06-09,133
2016-06-10,134
2016-06-11,130
2016-06-12,132
2016-06-13,124
2016-06-14,183
2016-06-15,160
2016-06-16,217
2016-06-17,169
2016-06-18,152
2016-06-19,138
2016-06-20,218
2016-06-21,236
2016-06-22,440
2016-06-23,818
2016-06-24,928
2016-06-25,349
2016-06-26,307
2016-06-27,345
2016-06-28,299
2016-06-29,254
2016-06-30,240
2016-07-01,229
2016-07-02,328
2016-07-03,328
2016-07-04,462
2016-07-05,406
2016-07-06,354
2016-07-07,1985
2016-07-08,686
2016-07-09,1244
2016-07-10,1754
2016-07-11,1015
2016-07-12,446
2016-07-13,1018
2016-07-14,384
2016-07-15,1257
2016-07-16,448
2016-07-17,1157
2016-07-18,1916
2016-07-19,3141
2016-07-20,600
2016-07-21,457
2016-07-22,301
2016-07-23,309
2016-07-24,288
2016-07-25,218
2016-07-26,199
2016-07-27,173
2016-07-28,200
2016-07-29,233
2016-07-30,230
2016-07-31,189
2016-08-01,158
2016-08-02,183
2016-08-03,135
2016-08-04,164
2016-08-05,132
2016-08-06,134
2016-08-07,168
2016-08-08,148
2016-08-09,140
2016-08-10,157
2016-08-11,154
2016-08-12,134
2016-08-13,111
2016-08-14,123
2016-08-15,135
2016-08-16,103
2016-08-17,115
2016-08-18,132
2016-08-19,125
2016-08-20,109
2016-08-21,128
2016-08-22,129
2016-08-23,112
2016-08-24,104
2016-08-25,104
2016-08-26,102
2016-08-27,132
2016-08-28,170
2016-08-29,152
2016-08-30,133
2016-08-31,120
2016-09-01,102
2016-09-02,133
2016-09-03,189
2016-09-04,160
2016-09-05,120
2016-09-06,130
2016-09-07,110
2016-09-08,113
2016-09-09,94
2016-09-10,102
2016-09-11,113
2016-09-12,101
2016-09-13,125
2016-09-14,73
2016-09-15,89
2016-09-16,115
2016-09-17,155
2016-09-18,111
2016-09-19,124
2016-09-20,146
2016-09-21,104
2016-09-22,105
2016-09-23,132
2016-09-24,112
2016-09-25,128
2016-09-26,142
2016-09-27,177
2016-09-28,155
2016-09-29,159
2016-09-30,200
2016-10-01,230
2016-10-02,170
2016-10-03,116
2016-10-04,306
2016-10-05,156
2016-10-06,166
