date,views
2015-07-01,485
2015-07-02,283
2015-07-03,217
2015-07-04,234
2015-07-05,215
2015-07-06,252
2015-07-07,487
2015-07-08,406
2015-07-09,281
2015-07-10,341
2015-07-11,261
2015-07-12,249
2015-07-13,388
2015-07-14,316
2015-07-15,270
2015-07-16,209
2015-07-17,266
2015-07-18,189
2015-07-19,194
2015-07-20,193
2015-07-21,231
2015-07-22,199
2015-07-23,225
2015-07-24,290
2015-07-25,272
2015-07-26,234
2015-07-27,314
2015-07-28,285
2015-07-29,231
2015-07-30,220
2015-07-31,200
2015-08-01,252
2015-08-02,237
2015-08-03,197
2015-08-04,255
2015-08-05,267
2015-08-06,194
2015-08-07,186
2015-08-08,138
2015-08-09,167
2015-08-10,167
2015-08-11,170
2015-08-12,136
2015-08-13,155
2015-08-14,129
2015-08-15,134
2015-08-16,161
2015-08-17,171
2015-08-18,167
2015-08-19,184
2015-08-20,183
2015-08-21,139
2015-08-22,145
2015-08-23,160
2015-08-24,144
2015-08-25,138
2015-08-26,180
2015-08-27,206
2015-08-28,198
2015-08-29,128
2015-08-30,145
2015-08-31,156
2015-09-01,135
2015-09-02,162
2015-09-03,282
2015-09-04,200
2015-09-05,149
2015-09-06,205
2015-09-07,174
2015-09-08,168
2015-09-09,145
2015-09-10,168
2015-09-11,275
2015-09-12,180
2015-09-13,150
2015-09-14,112
2015-09-15,187
2015-09-16,152
2015-09-17,126
2015-09-18,166
2015-09-19,130
2015-09-20,115
2015-09-21,170
2015-09-22,176
2015-09-23,169
2015-09-24,199
2015-09-25,245
2015-09-26,258
2015-09-27,225
2015-09-28,227
2015-09-29,238
2015-09-30,813
2015-10-01,1048
2015-10-02,270
2015-10-03,236
2015-10-04,260
2015-10-05,307
2015-10-06,447
2015-10-07,413
2015-10-08,460
2015-10-09,389
2015-10-10,265
2015-10-11,237
2015-10-12,243
2015-10-13,235
2015-10-14,277
2015-10-15,367
2015-10-16,287
2015-10-17,699
2015-10-18,299
2015-10-19,376
2015-10-20,427
2015-10-21,422
2015-10-22,579
2015-10-23,720
2015-10-24,447
2015-10-25,329
2015-10-26,466
2015-10-27,582
2015-10-28,1323
2015-10-29,1112
2015-10-30,497
2015-10-31,529
2015-11-01,812
2015-11-02,901
2015-11-03,413
2015-11-04,440
2015-11-05,1345
2015-11-06,923
2015-11-07,964
2015-11-08,432
2015-11-09,348
2015-11-10,352
2015-11-11,682
2015-11-12,667
2015-11-13,389
2015-11-14,826
2015-11-15,415
2015-11-16,781
2015-11-17,1189
2015-11-18,806
2015-11-19,1743
2015-11-20,735
2015-11-21,1178
2015-11-22,539
2015-11-23,940
2015-11-24,804
2015-11-25,1877
2015-11-26,1253
2015-11-27,557
2015-11-28,852
2015-11-29,492
2015-11-30,528
2015-12-01,817
2015-12-02,658
2015-12-03,1113
2015-12-04,826
2015-12-05,593
2015-12-06,1147
2015-12-07,503
2015-12-08,820
2015-12-09,762
2015-12-10,2632
2015-12-11,1083
2015-12-12,8074
2015-12-13,1928
2015-12-14,724
2015-12-15,776
2015-12-16,1589
2015-12-17,1104
2015-12-18,444
2015-12-19,1004
2015-12-20,641
2015-12-21,454
2015-12-22,1040
2015-12-23,464
2015-12-24,791
2015-12-25,522
2015-12-26,499
2015-12-27,927
2015-12-28,1327
2015-12-29,611
2015-12-30,590
2015-12-31,1444
2016-01-01,520
2016-01-02,975
2016-01-03,630
2016-01-04,395
2016-01-05,688
2016-01-06,502
2016-01-07,1272
2016-01-08,4993
2016-01-09,935
2016-01-10,814
2016-01-11,1361
2016-01-12,1387
2016-01-13,6925
2016-01-14,2498
2016-01-15,581
2016-01-16,1006
2016-01-17,1046
2016-01-18,755
2016-01-19,1187
2016-01-20,549
2016-01-21,708
2016-01-22,630
2016-01-23,1958
2016-01-24,2182
2016-01-25,667
2016-01-26,794
2016-01-27,655
2016-01-28,854
2016-01-29,567
2016-01-30,931
2016-01-31,739
2016-02-01,714
2016-02-02,668
2016-02-03,1298
2016-02-04,1108
2016-02-05,456
2016-02-06,2698
2016-02-07,1199
2016-02-08,1214
2016-02-09,1015
2016-02-10,1325
2016-02-11,2391
2016-02-12,1100
2016-02-13,1763
2016-02-14,862
2016-02-15,735
2016-02-16,1004
2016-02-17,873
2016-02-18,1044
2016-02-19,1036
2016-02-20,2837
2016-02-21,956
2016-02-22,1104
2016-02-23,895
2016-02-24,648
2016-02-25,933
2016-02-26,1121
2016-02-27,1677
2016-02-28,1284
2016-02-29,3020
2016-03-01,3238
2016-03-02,1527
2016-03-03,2102
2016-03-04,942
2016-03-05,1999
2016-03-06,2312
2016-03-07,766
2016-03-08,1001
2016-03-09,1026
2016-03-10,2281
2016-03-11,909
2016-03-12,1187
2016-03-13,1306
2016-03-14,1128
2016-03-15,1196
2016-03-16,2012
2016-03-17,5428
2016-03-18,2192
2016-03-19,3351
2016-03-20,8814
2016-03-21,1415
2016-03-22,1255
2016-03-23,907
2016-03-24,2800
2016-03-25,981
2016-03-26,1027
2016-03-27,1124
2016-03-28,1152
2016-03-29,1800
2016-03-30,871
2016-03-31,1287
2016-04-01,1603
2016-04-02,13971
2016-04-03,2242
2016-04-04,2306
2016-04-05,2421
2016-04-06,2034
2016-04-07,1688
2016-04-08,1162
2016-04-09,1316
2016-04-10,1384
2016-04-11,878
2016-04-12,1058
2016-04-13,841
2016-04-14,3998
2016-04-15,2050
2016-04-16,3437
2016-04-17,10313
2016-04-18,1371
2016-04-19,1903
2016-04-20,3162
2016-04-21,744
2016-04-22,715
2016-04-23,6383
2016-04-24,3566
2016-04-25,8379
2016-04-26,6886
2016-04-27,6530
2016-04-28,1585
2016-04-29,4336
2016-04-30,2397
2016-05-01,1097
2016-05-02,876
2016-05-03,741
2016-05-04,575
2016-05-05,928
2016-05-06,693
2016-05-07,613
2016-05-08,447
2016-05-09,437
2016-05-10,475
2016-05-11,411
2016-05-12,482
2016-05-13,479
2016-05-14,396
2016-05-15,349
2016-05-16,421
2016-05-17,502
2016-05-18,706
2016-05-19,605
2016-05-20,450
2016-05-21,315
2016-05-22,459
2016-05-23,380
2016-05-24,368
2016-05-25,426
2016-05-26,400
2016-05-27,358
2016-05-28,319
2016-05-29,376
2016-05-30,306
2016-05-31,585
2016-06-01,1611
2016-06-02,1150
2016-06-03,633
2016-06-04,302
2016-06-05,557
2016-06-06,635
2016-06-07,421
2016-06-08,344
2016-06-09,328
2016-06-10,269
2016-06-11,362
2016-06-12,228
2016-06-13,259
