date,views
2015-07-01,39
2015-07-02,59
2015-07-03,63
2015-07-04,48
2015-07-05,69
2015-07-06,72
2015-07-07,53
2015-07-08,49
2015-07-09,49
2015-07-10,44
2015-07-11,39
2015-07-12,88
2015-07-13,104
2015-07-14,71
2015-07-15,54
2015-07-16,31
2015-07-17,38
2015-07-18,38
2015-07-19,48
2015-07-20,44
2015-07-21,71
2015-07-22,93
2015-07-23,519
2015-07-24,293
2015-07-25,99
2015-07-26,98
2015-07-27,90
2015-07-28,85
2015-07-29,68
2015-07-30,69
2015-07-31,64
2015-08-01,41
2015-08-02,47
2015-08-03,52
2015-08-04,74
2015-08-05,59
2015-08-06,55
2015-08-07,47
2015-08-08,34
2015-08-09,47
2015-08-10,35
2015-08-11,40
2015-08-12,44
2015-08-13,49
2015-08-14,53
2015-08-15,38
2015-08-16,49
2015-08-17,51
2015-08-18,57
2015-08-19,48
2015-08-20,73
2015-08-21,63
2015-08-22,43
2015-08-23,37
2015-08-24,32
2015-08-25,42
2015-08-26,63
2015-08-27,55
2015-08-28,46
2015-08-29,42
2015-08-30,36
2015-08-31,39
2015-09-01,52
2015-09-02,103
2015-09-03,57
2015-09-04,49
2015-09-05,69
2015-09-06,68
2015-09-07,46
2015-09-08,52
2015-09-09,48
2015-09-10,72
2015-09-11,60
2015-09-12,69
2015-09-13,62
2015-09-14,70
2015-09-15,51
2015-09-16,32
2015-09-17,43
2015-09-18,52
2015-09-19,50
2015-09-20,36
2015-09-21,64
2015-09-22,36
2015-09-23,44
2015-09-24,38
2015-09-25,52
2015-09-26,67
2015-09-27,59
2015-09-28,47
2015-09-29,128
2015-09-30,196
2015-10-01,106
2015-10-02,89
2015-10-03,86
2015-10-04,97
2015-10-05,65
2015-10-06,96
2015-10-07,123
2015-10-08,75
2015-10-09,57
2015-10-10,72
2015-10-11,98
2015-10-12,47
2015-10-13,73
2015-10-14,78
2015-10-15,70
2015-10-16,79
2015-10-17,52
2015-10-18,97
2015-10-19,86
2015-10-20,60
2015-10-21,88
2015-10-22,80
2015-10-23,64
2015-10-24,65
2015-10-25,80
2015-10-26,86
2015-10-27,75
2015-10-28,97
2015-10-29,115
2015-10-30,94
2015-10-31,100
2015-11-01,79
2015-11-02,82
2015-11-03,109
2015-11-04,119
2015-11-05,129
2015-11-06,126
2015-11-07,144
2015-11-08,119
2015-11-09,121
2015-11-10,110
2015-11-11,105
2015-11-12,140
2015-11-13,183
2015-11-14,504
2015-11-15,290
2015-11-16,185
2015-11-17,358
2015-11-18,2217
2015-11-19,256
2015-11-20,171
2015-11-21,471
2015-11-22,270
2015-11-23,168
2015-11-24,141
2015-11-25,153
2015-11-26,352
2015-11-27,137
2015-11-28,109
2015-11-29,207
2015-11-30,134
2015-12-01,102
2015-12-02,124
2015-12-03,1633
2015-12-04,313
2015-12-05,633
2015-12-06,371
2015-12-07,216
2015-12-08,195
2015-12-09,314
2015-12-10,407
2015-12-11,180
2015-12-12,147
2015-12-13,152
2015-12-14,138
2015-12-15,116
2015-12-16,1161
2015-12-17,414
2015-12-18,402
2015-12-19,1118
2015-12-20,459
2015-12-21,273
2015-12-22,366
2015-12-23,457
2015-12-24,272
2015-12-25,228
2015-12-26,262
2015-12-27,231
2015-12-28,205
2015-12-29,567
2015-12-30,357
2015-12-31,264
2016-01-01,245
2016-01-02,603
2016-01-03,607
2016-01-04,381
2016-01-05,415
2016-01-06,647
2016-01-07,575
2016-01-08,393
2016-01-09,571
2016-01-10,471
2016-01-11,436
2016-01-12,427
2016-01-13,297
2016-01-14,727
2016-01-15,241
2016-01-16,747
2016-01-17,354
2016-01-18,282
2016-01-19,518
2016-01-20,275
2016-01-21,649
2016-01-22,439
2016-01-23,760
2016-01-24,512
2016-01-25,385
2016-01-26,898
2016-01-27,397
2016-01-28,396
2016-01-29,275
2016-01-30,348
2016-01-31,332
2016-02-01,299
2016-02-02,284
2016-02-03,451
2016-02-04,271
2016-02-05,314
2016-02-06,431
2016-02-07,299
2016-02-08,238
2016-02-09,986
2016-02-10,286
2016-02-11,349
2016-02-12,223
2016-02-13,1724
2016-02-14,730
2016-02-15,393
2016-02-16,430
2016-02-17,458
2016-02-18,6972
2016-02-19,917
2016-02-20,1255
2016-02-21,586
2016-02-22,593
2016-02-23,519
2016-02-24,1022
2016-02-25,635
2016-02-26,967
2016-02-27,534
2016-02-28,1024
2016-02-29,363
2016-03-01,490
2016-03-02,711
2016-03-03,433
2016-03-04,361
2016-03-05,725
2016-03-06,2034
2016-03-07,680
2016-03-08,452
2016-03-09,1103
2016-03-10,1036
2016-03-11,764
2016-03-12,685
2016-03-13,737
2016-03-14,1409
2016-03-15,2010
2016-03-16,1748
2016-03-17,4303
2016-03-18,1724
2016-03-19,6386
2016-03-20,2052
2016-03-21,2610
2016-03-22,1549
2016-03-23,1078
2016-03-24,1986
2016-03-25,5916
2016-03-26,1675
2016-03-27,1500
2016-03-28,1656
2016-03-29,1395
2016-03-30,1007
2016-03-31,843
2016-04-01,784
2016-04-02,761
2016-04-03,851
2016-04-04,2164
2016-04-05,2309
2016-04-06,1399
2016-04-07,836
2016-04-08,711
2016-04-09,646
2016-04-10,601
2016-04-11,563
2016-04-12,672
2016-04-13,497
2016-04-14,774
2016-04-15,617
2016-04-16,624
2016-04-17,534
2016-04-18,558
2016-04-19,615
2016-04-20,466
2016-04-21,457
2016-04-22,420
2016-04-23,372
2016-04-24,373
2016-04-25,502
2016-04-26,395
2016-04-27,478
2016-04-28,444
2016-04-29,496
2016-04-30,475
2016-05-01,431
2016-05-02,495
2016-05-03,504
2016-05-04,593
2016-05-05,504
2016-05-06,634
2016-05-07,467
2016-05-08,427
2016-05-09,581
2016-05-10,694
2016-05-11,782
2016-05-12,866
2016-05-13,828
2016-05-14,767
2016-05-15,799
2016-05-16,1021
2016-05-17,2689
2016-05-18,30508
2016-05-19,8178
2016-05-20,3547
2016-05-21,2356
2016-05-22,1845
2016-05-23,1778
2016-05-24,1444
2016-05-25,1217
2016-05-26,1122
2016-05-27,1181
2016-05-28,1219
2016-05-29,1015
2016-05-30,1092
2016-05-31,1143
2016-06-01,1353
2016-06-02,1026
2016-06-03,955
2016-06-04,823
2016-06-05,1169
2016-06-06,1111
2016-06-07,1444
2016-06-08,1272
2016-06-09,1749
2016-06-10,3095
2016-06-11,1324
2016-06-12,1295
2016-06-13,1271
2016-06-14,1406
2016-06-15,5676
2016-06-16,2666
2016-06-17,1638
2016-06-18,1800
2016-06-19,1892
2016-06-20,2365
2016-06-21,4720
2016-06-22,11217
2016-06-23,27970
2016-06-24,82788
2016-06-25,32716
2016-06-26,13235
2016-06-27,9231
2016-06-28,6408
2016-06-29,5325
2016-06-30,5537
2016-07-01,5315
2016-07-02,4945
2016-07-03,3816
2016-07-04,4186
2016-07-05,5699
2016-07-06,6517
2016-07-07,4516
2016-07-08,3823
2016-07-09,11831
2016-07-10,8306
2016-07-11,4427
2016-07-12,3800
2016-07-13,2785
2016-07-14,2433
2016-07-15,3338
2016-07-16,4034
2016-07-17,2897
2016-07-18,2234
2016-07-19,2382
2016-07-20,4971
2016-07-21,3372
2016-07-22,2789
2016-07-23,1946
2016-07-24,1730
2016-07-25,1507
2016-07-26,1554
2016-07-27,1327
2016-07-28,1189
2016-07-29,1065
2016-07-30,1086
2016-07-31,1015
2016-08-01,998
2016-08-02,1291
2016-08-03,1359
2016-08-04,1384
2016-08-05,973
2016-08-06,968
2016-08-07,1124
2016-08-08,1279
2016-08-09,1053
2016-08-10,1062
2016-08-11,1040
2016-08-12,1055
2016-08-13,823
2016-08-14,787
2016-08-15,829
2016-08-16,911
2016-08-17,1045
2016-08-18,825
2016-08-19,729
2016-08-20,649
2016-08-21,841
2016-08-22,899
2016-08-23,1664
2016-08-24,1342
2016-08-25,892
2016-08-26,944
2016-08-27,1898
2016-08-28,1259
2016-08-29,956
2016-08-30,1073
2016-08-31,1221
2016-09-01,1102
2016-09-02,1452
2016-09-03,1310
2016-09-04,942
2016-09-05,886
2016-09-06,778
2016-09-07,806
2016-09-08,802
2016-09-09,918
2016-09-10,868
2016-09-11,763
2016-09-12,929
2016-09-13,911
2016-09-14,984
2016-09-15,961
2016-09-16,1124
2016-09-17,1287
2016-09-18,1200
2016-09-19,1583
2016-09-20,1482
2016-09-21,1264
2016-09-22,1546
2016-09-23,1169
2016-09-24,1210
2016-09-25,1074
2016-09-26,1149
2016-09-27,1292
2016-09-28,1438
2016-09-29,1222
2016-09-30,1344
2016-10-01,2152
2016-10-02,1633
2016-10-03,1361
2016-10-04,1284
2016-10-05,2221
2016-10-06,1206
2016-10-07,1174
2016-10-08,2656
2016-10-09,1573
2016-10-10,2008
2016-10-11,1357
2016-10-12,1870
2016-10-13,1278
2016-10-14,1381
2016-10-15,1847
2016-10-16,2840
2016-10-17,1622
2016-10-18,1487
2016-10-19,1248
