date,views
2015-07-01,169
2015-07-02,243
2015-07-03,152
2015-07-04,118
2015-07-05,125
2015-07-06,168
2015-07-07,171
2015-07-08,117
2015-07-09,105
2015-07-10,144
2015-07-11,101
2015-07-12,205
2015-07-13,123
2015-07-14,224
2015-07-15,146
2015-07-16,115
2015-07-17,85
2015-07-18,77
2015-07-19,93
2015-07-20,90
2015-07-21,141
2015-07-22,107
2015-07-23,87
2015-07-24,78
2015-07-25,75
2015-07-26,60
2015-07-27,85
2015-07-28,87
2015-07-29,72
2015-07-30,77
2015-07-31,72
2015-08-01,70
2015-08-02,66
2015-08-03,68
2015-08-04,66
2015-08-05,56
2015-08-06,47
2015-08-07,60
2015-08-08,54
2015-08-09,60
2015-08-10,52
2015-08-11,68
2015-08-12,71
2015-08-13,56
2015-08-14,69
2015-08-15,98
2015-08-16,54
2015-08-17,78
2015-08-18,62
2015-08-19,67
2015-08-20,55
2015-08-21,46
2015-08-22,49
2015-08-23,40
2015-08-24,40
2015-08-25,49
2015-08-26,65
2015-08-27,93
2015-08-28,66
2015-08-29,101
2015-08-30,52
2015-08-31,55
2015-09-01,52
2015-09-02,56
2015-09-03,40
2015-09-04,49
2015-09-05,54
2015-09-06,54
2015-09-07,51
2015-09-08,55
2015-09-09,40
2015-09-10,183
2015-09-11,82
2015-09-12,116
2015-09-13,103
2015-09-14,118
2015-09-15,65
2015-09-16,91
2015-09-17,78
2015-09-18,62
2015-09-19,53
2015-09-20,57
2015-09-21,77
2015-09-22,73
2015-09-23,57
2015-09-24,86
2015-09-25,77
2015-09-26,54
2015-09-27,68
2015-09-28,63
2015-09-29,81
2015-09-30,139
2015-10-01,103
2015-10-02,89
2015-10-03,80
2015-10-04,56
2015-10-05,102
2015-10-06,107
2015-10-07,155
2015-10-08,143
2015-10-09,189
2015-10-10,87
2015-10-11,87
2015-10-12,79
2015-10-13,132
2015-10-14,93
2015-10-15,96
2015-10-16,157
2015-10-17,169
2015-10-18,123
2015-10-19,112
2015-10-20,221
2015-10-21,177
2015-10-22,113
2015-10-23,167
2015-10-24,145
2015-10-25,142
2015-10-26,193
2015-10-27,193
2015-10-28,376
2015-10-29,484
2015-10-30,241
2015-10-31,205
2015-11-01,114
2015-11-02,161
2015-11-03,421
2015-11-04,155
2015-11-05,276
2015-11-06,254
2015-11-07,346
2015-11-08,333
2015-11-09,186
2015-11-10,523
2015-11-11,211
2015-11-12,371
2015-11-13,183
2015-11-14,326
2015-11-15,721
2015-11-16,510
2015-11-17,845
2015-11-18,407
2015-11-19,992
2015-11-20,440
2015-11-21,579
2015-11-22,743
2015-11-23,486
2015-11-24,867
2015-11-25,516
2015-11-26,2446
2015-11-27,697
2015-11-28,1587
2015-11-29,628
2015-11-30,1029
2015-12-01,785
2015-12-02,2845
2015-12-03,2129
2015-12-04,478
2015-12-05,398
2015-12-06,392
2015-12-07,409
2015-12-08,2429
2015-12-09,706
