date,views
2015-07-01,1928
2015-07-02,1801
2015-07-03,5767
2015-07-04,3489
2015-07-05,1614
2015-07-06,1588
2015-07-07,1063
2015-07-08,769
2015-07-09,1585
2015-07-10,2168
2015-07-11,1854
2015-07-12,915
2015-07-13,877
2015-07-14,772
2015-07-15,632
2015-07-16,520
2015-07-17,477
2015-07-18,474
2015-07-19,438
2015-07-20,420
2015-07-21,397
2015-07-22,441
2015-07-23,389
2015-07-24,383
2015-07-25,424
2015-07-26,464
2015-07-27,441
2015-07-28,379
2015-07-29,365
2015-07-30,557
2015-07-31,594
2015-08-01,367
2015-08-02,375
2015-08-03,277
2015-08-04,385
2015-08-05,353
2015-08-06,358
2015-08-07,375
2015-08-08,364
2015-08-09,370
2015-08-10,318
2015-08-11,328
2015-08-12,357
2015-08-13,316
2015-08-14,292
2015-08-15,262
2015-08-16,269
2015-08-17,344
2015-08-18,338
2015-08-19,384
2015-08-20,441
2015-08-21,362
2015-08-22,295
2015-08-23,307
2015-08-24,270
2015-08-25,292
2015-08-26,301
2015-08-27,292
2015-08-28,279
2015-08-29,227
2015-08-30,265
2015-08-31,210
2015-09-01,222
2015-09-02,200
2015-09-03,257
2015-09-04,244
2015-09-05,226
2015-09-06,232
2015-09-07,233
2015-09-08,217
2015-09-09,242
2015-09-10,275
2015-09-11,270
2015-09-12,293
2015-09-13,295
2015-09-14,249
2015-09-15,241
2015-09-16,216
2015-09-17,234
2015-09-18,223
2015-09-19,252
2015-09-20,240
2015-09-21,250
2015-09-22,258
2015-09-23,226
2015-09-24,266
2015-09-25,298
2015-09-26,256
2015-09-27,314
2015-09-28,426
2015-09-29,485
2015-09-30,344
2015-10-01,441
2015-10-02,322
2015-10-03,360
2015-10-04,377
2015-10-05,346
2015-10-06,513
2015-10-07,372
2015-10-08,556
2015-10-09,357
2015-10-10,507
2015-10-11,421
2015-10-12,513
2015-10-13,512
2015-10-14,355
2015-10-15,577
2015-10-16,399
2015-10-17,507
2015-10-18,822
2015-10-19,587
2015-10-20,371
2015-10-21,403
2015-10-22,490
2015-10-23,484
2015-10-24,454
2015-10-25,554
2015-10-26,667
2015-10-27,612
