date,views
2019-07-02,32
2019-07-03,136
2019-07-04,73
2019-07-05,103
2019-07-06,103
2019-07-07,172
2019-07-08,185
2019-07-09,86
2019-07-10,66
2019-07-11,90
2019-07-12,97
2019-07-13,89
2019-07-14,137
2019-07-15,80
2019-07-16,69
2019-07-17,67
2019-07-18,79
2019-07-19,58
2019-07-20,51
2019-07-21,53
2019-07-22,51
2019-07-23,46
2019-07-24,27
2019-07-25,76
2019-07-26,90
2019-07-27,78
2019-07-28,71
2019-07-29,50
2019-07-30,46
2019-07-31,45
2019-08-01,50
2019-08-02,174
2019-08-03,168
2019-08-04,88
2019-08-05,63
2019-08-06,48
2019-08-07,61
2019-08-08,48
2019-08-09,22
2019-08-10,31
2019-08-11,42
2019-08-12,122
2019-08-13,134
2019-08-14,127
2019-08-15,71
2019-08-16,55
2019-08-17,41
2019-08-18,48
2019-08-19,81
2019-08-20,68
2019-08-21,56
2019-08-22,62
2019-08-23,55
2019-08-24,34
2019-08-25,40
2019-08-26,42
2019-08-27,36
2019-08-28,28
2019-08-29,47
2019-08-30,40
2019-08-31,49
2019-09-01,44
2019-09-02,54
2019-09-03,39
2019-09-04,43
2019-09-05,63
2019-09-06,47
2019-09-07,146
2019-09-08,113
2019-09-09,85
2019-09-10,97
2019-09-11,60
2019-09-12,61
2019-09-13,61
2019-09-14,63
2019-09-15,49
2019-09-16,39
2019-09-17,39
2019-09-18,60
2019-09-19,77
2019-09-20,38
2019-09-21,32
2019-09-22,44
2019-09-23,44
2019-09-24,58
2019-09-25,113
2019-09-26,145
2019-09-27,90
2019-09-28,74
2019-09-29,93
2019-09-30,76
2019-10-01,70
2019-10-02,149
2019-10-03,58
2019-10-04,61
2019-10-05,44
2019-10-06,58
2019-10-07,71
2019-10-08,65
2019-10-09,58
2019-10-10,38
2019-10-11,48
2019-10-12,54
2019-10-13,66
2019-10-14,210
2019-10-15,172
2019-10-16,119
2019-10-17,69
2019-10-18,102
2019-10-19,82
2019-10-20,75
2019-10-21,77
2019-10-22,128
2019-10-23,114
2019-10-24,82
2019-10-25,84
2019-10-26,58
2019-10-27,39
2019-10-28,83
2019-10-29,56
2019-10-30,55
2019-10-31,39
2019-11-01,52
2019-11-02,72
2019-11-03,57
2019-11-04,58
2019-11-05,71
2019-11-06,2270
2019-11-07,258
2019-11-08,106
2019-11-09,108
2019-11-10,72
2019-11-11,65
2019-11-12,148
2019-11-13,96
2019-11-14,144
2019-11-15,67
2019-11-16,83
2019-11-17,53
2019-11-18,66
2019-11-19,68
2019-11-20,68
2019-11-21,63
2019-11-22,55
2019-11-23,53
2019-11-24,59
2019-11-25,60
2019-11-26,61
2019-11-27,72
2019-11-28,132
2019-11-29,77
2019-11-30,159
2019-12-01,138
2019-12-02,100
2019-12-03,67
2019-12-04,79
2019-12-05,64
2019-12-06,60
2019-12-07,66
2019-12-08,77
2019-12-09,45
2019-12-10,51
2019-12-11,80
2019-12-12,78
2019-12-13,175
2019-12-14,80
2019-12-15,91
2019-12-16,71
2019-12-17,54
2019-12-18,57
2019-12-19,48
2019-12-20,94
2019-12-21,75
2019-12-22,96
2019-12-23,72
2019-12-24,100
2019-12-25,61
2019-12-26,108
2019-12-27,164
2019-12-28,107
2019-12-29,90
2019-12-30,68
2019-12-31,238
2020-01-01,88
2020-01-02,116
2020-01-03,84
2020-01-04,823
2020-01-05,181
2020-01-06,143
2020-01-07,139
2020-01-08,83
2020-01-09,68
2020-01-10,55
2020-01-11,129
2020-01-12,95
2020-01-13,75
2020-01-14,62
2020-01-15,84
2020-01-16,92
2020-01-17,68
2020-01-18,123
2020-01-19,105
2020-01-20,395
2020-01-21,148
2020-01-22,250
2020-01-23,560
2020-01-24,497
2020-01-25,216
2020-01-26,184
2020-01-27,93
2020-01-28,150
2020-01-29,142
2020-01-30,152
2020-01-31,148
2020-02-01,140
2020-02-02,166
2020-02-03,78
2020-02-04,105
2020-02-05,104
2020-02-06,124
2020-02-07,141
2020-02-08,118
2020-02-09,143
2020-02-10,134
2020-02-11,109
2020-02-12,184
2020-02-13,169
2020-02-14,182
2020-02-15,207
2020-02-16,180
2020-02-17,145
2020-02-18,135
2020-02-19,185
2020-02-20,126
2020-02-21,194
2020-02-22,173
2020-02-23,148
2020-02-24,127
2020-02-25,168
2020-02-26,130
2020-02-27,95
2020-02-28,111
2020-02-29,117
2020-03-01,148
2020-03-02,146
2020-03-03,121
2020-03-04,86
2020-03-05,113
2020-03-06,95
2020-03-07,113
2020-03-08,144
2020-03-09,115
2020-03-10,109
2020-03-11,294
2020-03-12,181
2020-03-13,151
2020-03-14,137
2020-03-15,146
2020-03-16,187
2020-03-17,152
2020-03-18,168
2020-03-19,170
2020-03-20,113
2020-03-21,170
2020-03-22,166
2020-03-23,176
2020-03-24,180
2020-03-25,230
2020-03-26,272
2020-03-27,192
2020-03-28,218
2020-03-29,195
2020-03-30,133
2020-03-31,202
2020-04-01,203
2020-04-02,182
2020-04-03,192
2020-04-04,215
2020-04-05,245
2020-04-06,210
2020-04-07,169
2020-04-08,170
2020-04-09,203
2020-04-10,159
2020-04-11,137
2020-04-12,191
2020-04-13,253
2020-04-14,413
2020-04-15,320
2020-04-16,494
2020-04-17,420
2020-04-18,295
2020-04-19,232
2020-04-20,197
2020-04-21,196
2020-04-22,177
2020-04-23,151
2020-04-24,173
2020-04-25,138
2020-04-26,120
2020-04-27,180
2020-04-28,307
2020-04-29,299
2020-04-30,178
2020-05-01,161
2020-05-02,164
2020-05-03,160
2020-05-04,189
2020-05-05,170
2020-05-06,207
2020-05-07,189
2020-05-08,182
2020-05-09,146
2020-05-10,156
2020-05-11,157
2020-05-12,156
2020-05-13,142
2020-05-14,177
2020-05-15,166
2020-05-16,187
2020-05-17,168
2020-05-18,135
2020-05-19,148
2020-05-20,165
2020-05-21,191
2020-05-22,167
2020-05-23,215
2020-05-24,174
2020-05-25,170
2020-05-26,177
2020-05-27,258
2020-05-28,295
2020-05-29,204
2020-05-30,161
2020-05-31,180
2020-06-01,141
2020-06-02,159
2020-06-03,184
2020-06-04,202
2020-06-05,1138
2020-06-06,631
2020-06-07,465
2020-06-08,356
2020-06-09,333
2020-06-10,311
2020-06-11,334
2020-06-12,270
2020-06-13,253
2020-06-14,235
2020-06-15,227
2020-06-16,187
2020-06-17,242
2020-06-18,197
2020-06-19,158
2020-06-20,149
2020-06-21,188
2020-06-22,2846
2020-06-23,821
2020-06-24,227
2020-06-25,204
2020-06-26,193
2020-06-27,304
2020-06-28,317
2020-06-29,298
2020-06-30,245
2020-07-01,204
2020-07-02,197
2020-07-03,203
2020-07-04,169
2020-07-05,135
2020-07-06,176
2020-07-07,223
2020-07-08,265
2020-07-09,218
2020-07-10,223
2020-07-11,187
2020-07-12,145
2020-07-13,166
2020-07-14,143
2020-07-15,140
2020-07-16,268
2020-07-17,130
2020-07-18,120
2020-07-19,129
2020-07-20,112
2020-07-21,151
2020-07-22,154
2020-07-23,142
2020-07-24,138
2020-07-25,134
2020-07-26,117
2020-07-27,145
2020-07-28,151
2020-07-29,175
2020-07-30,205
2020-07-31,132
2020-08-01,125
2020-08-02,161
2020-08-03,150
2020-08-04,636
2020-08-05,476
2020-08-06,188
2020-08-07,164
2020-08-08,148
2020-08-09,187
2020-08-10,203
2020-08-11,157
2020-08-12,168
2020-08-13,190
2020-08-14,177
2020-08-15,168
2020-08-16,173
2020-08-17,177
2020-08-18,142
2020-08-19,139
2020-08-20,182
2020-08-21,496
2020-08-22,244
2020-08-23,209
2020-08-24,232
2020-08-25,251
2020-08-26,201
2020-08-27,168
2020-08-28,160
2020-08-29,180
2020-08-30,191
2020-08-31,184
2020-09-01,165
2020-09-02,161
2020-09-03,185
2020-09-04,202
2020-09-05,187
2020-09-06,219
2020-09-07,196
2020-09-08,154
2020-09-09,216
2020-09-10,150
2020-09-11,158
2020-09-12,162
2020-09-13,195
2020-09-14,150
2020-09-15,131
2020-09-16,125
2020-09-17,141
2020-09-18,108
2020-09-19,158
2020-09-20,136
2020-09-21,140
2020-09-22,134
2020-09-23,147
2020-09-24,127
2020-09-25,230
2020-09-26,157
2020-09-27,162
2020-09-28,183
2020-09-29,134
2020-09-30,114
2020-10-01,129
2020-10-02,123
2020-10-03,168
2020-10-04,140
2020-10-05,142
2020-10-06,161
2020-10-07,184
2020-10-08,170
2020-10-09,135
2020-10-10,131
2020-10-11,123
2020-10-12,204
2020-10-13,239
2020-10-14,209
2020-10-15,203
2020-10-16,242
2020-10-17,233
2020-10-18,234
2020-10-19,261
2020-10-20,268
2020-10-21,258
2020-10-22,226
2020-10-23,226
2020-10-24,166
2020-10-25,185
2020-10-26,201
2020-10-27,205
2020-10-28,227
2020-10-29,181
2020-10-30,225
2020-10-31,183
2020-11-01,175
2020-11-02,187
2020-11-03,165
2020-11-04,115
2020-11-05,171
2020-11-06,139
2020-11-07,155
2020-11-08,157
2020-11-09,291
2020-11-10,524
2020-11-11,670
2020-11-12,542
2020-11-13,816
2020-11-14,436
2020-11-15,426
2020-11-16,682
2020-11-17,908
2020-11-18,1578
2020-11-19,1895
2020-11-20,1323
2020-11-21,1573
2020-11-22,1505
2020-11-23,1171
2020-11-24,2172
2020-11-25,5454
2020-11-26,5996
2020-11-27,2604
2020-11-28,1295
2020-11-29,1308
2020-11-30,889
2020-12-01,1596
2020-12-02,2353
2020-12-03,1048
2020-12-04,690
2020-12-05,515
2020-12-06,1151
2020-12-07,596
2020-12-08,598
2020-12-09,1678
2020-12-10,1029
2020-12-11,607
2020-12-12,986
2020-12-13,895
2020-12-14,545
2020-12-15,550
2020-12-16,739
2020-12-17,2167
2020-12-18,539
2020-12-19,782
2020-12-20,672
2020-12-21,674
2020-12-22,603
2020-12-23,518
2020-12-24,604
2020-12-25,431
2020-12-26,539
2020-12-27,931
2020-12-28,575
2020-12-29,619
2020-12-30,893
2020-12-31,604
2021-01-01,727
2021-01-02,710
2021-01-03,674
2021-01-04,617
2021-01-05,1693
2021-01-06,555
2021-01-07,783
2021-01-08,673
2021-01-09,1014
2021-01-10,744
2021-01-11,940
2021-01-12,866
2021-01-13,1429
2021-01-14,855
2021-01-15,752
2021-01-16,773
2021-01-17,643
2021-01-18,556
2021-01-19,577
2021-01-20,492
2021-01-21,598
2021-01-22,429
2021-01-23,936
2021-01-24,460
2021-01-25,397
2021-01-26,611
2021-01-27,440
2021-01-28,477
2021-01-29,454
2021-01-30,1471
2021-01-31,900
2021-02-01,473
2021-02-02,712
2021-02-03,704
2021-02-04,1308
2021-02-05,669
2021-02-06,2915
2021-02-07,1016
2021-02-08,438
2021-02-09,1972
2021-02-10,635
2021-02-11,487
2021-02-12,457
2021-02-13,832
2021-02-14,607
2021-02-15,562
2021-02-16,2163
2021-02-17,1436
2021-02-18,671
2021-02-19,1115
2021-02-20,668
2021-02-21,699
2021-02-22,665
2021-02-23,3279
2021-02-24,749
2021-02-25,808
2021-02-26,698
2021-02-27,6440
2021-02-28,5183
2021-03-01,2504
2021-03-02,5360
2021-03-03,1575
2021-03-04,1390
2021-03-05,2485
2021-03-06,2161
2021-03-07,1272
2021-03-08,912
2021-03-09,1830
2021-03-10,1816
2021-03-11,3685
2021-03-12,2257
2021-03-13,14945
2021-03-14,8590
2021-03-15,4453
2021-03-16,3526
2021-03-17,3478
2021-03-18,3430
2021-03-19,10625
2021-03-20,11124
2021-03-21,6297
2021-03-22,21099
2021-03-23,3765
2021-03-24,1737
2021-03-25,1731
2021-03-26,1237
2021-03-27,1633
2021-03-28,1846
2021-03-29,1887
2021-03-30,1833
2021-03-31,1757
2021-04-01,3085
2021-04-02,1942
2021-04-03,1444
2021-04-04,3534
2021-04-05,1681
2021-04-06,3383
2021-04-07,1473
2021-04-08,1174
2021-04-09,1480
2021-04-10,1278
2021-04-11,958
2021-04-12,791
2021-04-13,698
2021-04-14,870
2021-04-15,731
2021-04-16,718
2021-04-17,650
2021-04-18,539
2021-04-19,917
2021-04-20,762
2021-04-21,757
2021-04-22,631
2021-04-23,827
2021-04-24,572
2021-04-25,531
2021-04-26,523
2021-04-27,600
2021-04-28,568
2021-04-29,489
2021-04-30,531
2021-05-01,463
2021-05-02,492
2021-05-03,509
2021-05-04,490
2021-05-05,590
2021-05-06,531
2021-05-07,485
2021-05-08,454
2021-05-09,510
2021-05-10,608
2021-05-11,752
2021-05-12,716
2021-05-13,614
2021-05-14,581
2021-05-15,539
2021-05-16,644
2021-05-17,1382
2021-05-18,833
2021-05-19,654
2021-05-20,476
2021-05-21,517
2021-05-22,630
2021-05-23,564
2021-05-24,854
2021-05-25,723
2021-05-26,615
2021-05-27,605
2021-05-28,556
2021-05-29,406
2021-05-30,474
2021-05-31,458
2021-06-01,522
2021-06-02,475
2021-06-03,654
2021-06-04,1177
2021-06-05,1344
2021-06-06,619
2021-06-07,802
2021-06-08,797
2021-06-09,1456
2021-06-10,1196
2021-06-11,817
2021-06-12,699
2021-06-13,585
2021-06-14,736
2021-06-15,874
2021-06-16,661
2021-06-17,659
2021-06-18,967
2021-06-19,720
2021-06-20,809
2021-06-21,1684
2021-06-22,4922
2021-06-23,45354
2021-06-24,6950
2021-06-25,4307
2021-06-26,3563
2021-06-27,2737
2021-06-28,2632
2021-06-29,2420
2021-06-30,1890
2021-07-01,1529
2021-07-02,1294
2021-07-03,1316
2021-07-04,1182
2021-07-05,1067
2021-07-06,1162
2021-07-07,1359
2021-07-08,2038
2021-07-09,1716
2021-07-10,1252
2021-07-11,1026
2021-07-12,1111
2021-07-13,1649
2021-07-14,1398
2021-07-15,1419
2021-07-16,1791
2021-07-17,1918
2021-07-18,1347
2021-07-19,1321
2021-07-20,2402
2021-07-21,2135
2021-07-22,1470
2021-07-23,1831
2021-07-24,3014
2021-07-25,2673
2021-07-26,3402
2021-07-27,7288
2021-07-28,8266
2021-07-29,21751
2021-07-30,123736
2021-07-31,24295
2021-08-01,12744
2021-08-02,9656
2021-08-03,6710
2021-08-04,5020
2021-08-05,3935
2021-08-06,3274
2021-08-07,2921
2021-08-08,3313
2021-08-09,8690
2021-08-10,5034
2021-08-11,13191
2021-08-12,4533
2021-08-13,3025
2021-08-14,5645
2021-08-15,3456
2021-08-16,3166
2021-08-17,3593
2021-08-18,5554
2021-08-19,3801
2021-08-20,2589
2021-08-21,2181
2021-08-22,1801
2021-08-23,1787
2021-08-24,1487
2021-08-25,1221
2021-08-26,1148
2021-08-27,1146
2021-08-28,1078
2021-08-29,1129
2021-08-30,1065
2021-08-31,1005
2021-09-01,988
2021-09-02,1117
2021-09-03,941
2021-09-04,1070
2021-09-05,909
2021-09-06,917
2021-09-07,933
2021-09-08,914
2021-09-09,881
2021-09-10,990
2021-09-11,1010
2021-09-12,977
2021-09-13,928
2021-09-14,881
2021-09-15,924
2021-09-16,971
2021-09-17,963
2021-09-18,983
2021-09-19,865
2021-09-20,894
2021-09-21,901
2021-09-22,909
2021-09-23,870
2021-09-24,908
2021-09-25,950
2021-09-26,888
2021-09-27,997
2021-09-28,1128
2021-09-29,1132
2021-09-30,1134
2021-10-01,962
2021-10-02,988
2021-10-03,1185
2021-10-04,1162
2021-10-05,1631
2021-10-06,1816
2021-10-07,1991
2021-10-08,1513
2021-10-09,1351
2021-10-10,1431
2021-10-11,1371
2021-10-12,1588
2021-10-13,1425
2021-10-14,1731
2021-10-15,1409
2021-10-16,1651
2021-10-17,1694
2021-10-18,1798
2021-10-19,2057
2021-10-20,2786
2021-10-21,4828
2021-10-22,2016
2021-10-23,3258
2021-10-24,3142
2021-10-25,4763
2021-10-26,3236
2021-10-27,2616
2021-10-28,3709
2021-10-29,3720
2021-10-30,5477
2021-10-31,7585
2021-11-01,3496
2021-11-02,2713
2021-11-03,6636
2021-11-04,3284
2021-11-05,5125
2021-11-06,4262
2021-11-07,1796
2021-11-08,2195
2021-11-09,1658
2021-11-10,2653
2021-11-11,12573
2021-11-12,3246
2021-11-13,3019
2021-11-14,3820
2021-11-15,1678
2021-11-16,2361
2021-11-17,1854
2021-11-18,2240
2021-11-19,1459
2021-11-20,2769
2021-11-21,1782
2021-11-22,7892
2021-11-23,3325
2021-11-24,2612
2021-11-25,2140
2021-11-26,1714
2021-11-27,1839
2021-11-28,1259
2021-11-29,2377
2021-11-30,1239
2021-12-01,1710
2021-12-02,1407
2021-12-03,1663
2021-12-04,1136
2021-12-05,1011
2021-12-06,1075
2021-12-07,2215
2021-12-08,1312
2021-12-09,2256
2021-12-10,999
2021-12-11,1354
2021-12-12,1272
2021-12-13,2645
2021-12-14,1243
2021-12-15,1176
2021-12-16,1388
2021-12-17,1368
2021-12-18,1514
2021-12-19,1510
2021-12-20,1184
2021-12-21,1022
2021-12-22,1377
2021-12-23,1005
2021-12-24,1039
2021-12-25,993
2021-12-26,1054
2021-12-27,1089
2021-12-28,989
2021-12-29,1266
2021-12-30,1412
2021-12-31,975
2022-01-01,880
2022-01-02,1234
2022-01-03,1633
2022-01-04,1528
2022-01-05,1569
2022-01-06,1500
2022-01-07,1440
2022-01-08,1360
2022-01-09,1380
2022-01-10,1265
2022-01-11,2719
2022-01-12,2034
2022-01-13,1291
2022-01-14,1228
2022-01-15,1901
2022-01-16,2374
2022-01-17,2566
2022-01-18,1407
2022-01-19,2800
2022-01-20,1945
2022-01-21,1439
2022-01-22,1849
2022-01-23,1054
2022-01-24,1096
2022-01-25,1049
2022-01-26,3652
2022-01-27,1735
2022-01-28,1919
2022-01-29,1691
2022-01-30,1388
2022-01-31,2404
2022-02-01,1476
2022-02-02,1953
2022-02-03,1730
2022-02-04,1612
2022-02-05,1632
2022-02-06,1492
2022-02-07,1353
2022-02-08,1433
2022-02-09,1900
2022-02-10,1458
2022-02-11,1530
2022-02-12,1419
2022-02-13,1435
2022-02-14,1365
2022-02-15,1707
2022-02-16,1237
2022-02-17,2132
2022-02-18,1424
2022-02-19,9972
2022-02-20,6536
2022-02-21,2432
2022-02-22,1631
2022-02-23,1394
2022-02-24,1429
2022-02-25,1707
2022-02-26,2150
2022-02-27,1580
2022-02-28,1701
2022-03-01,1416
2022-03-02,1752
2022-03-03,1375
2022-03-04,1957
2022-03-05,1693
2022-03-06,1293
2022-03-07,1410
2022-03-08,2873
2022-03-09,1499
2022-03-10,2440
2022-03-11,1352
2022-03-12,3059
2022-03-13,1885
2022-03-14,1765
2022-03-15,1681
2022-03-16,1374
2022-03-17,1539
2022-03-18,1753
2022-03-19,2011
2022-03-20,2015
2022-03-21,1776
2022-03-22,1784
2022-03-23,1241
2022-03-24,1463
2022-03-25,2080
2022-03-26,1603
2022-03-27,2255
2022-03-28,1601
2022-03-29,1410
2022-03-30,3772
2022-03-31,1987
2022-04-01,3654
2022-04-02,2183
2022-04-03,1882
2022-04-04,1590
2022-04-05,1963
2022-04-06,1782
2022-04-07,2411
2022-04-08,1486
2022-04-09,1314
2022-04-10,1334
2022-04-11,2126
2022-04-12,1812
2022-04-13,1938
2022-04-14,1724
2022-04-15,1183
2022-04-16,1854
2022-04-17,1972
2022-04-18,2135
2022-04-19,1891
2022-04-20,1713
2022-04-21,1222
2022-04-22,1211
2022-04-23,3993
2022-04-24,3337
2022-04-25,3257
2022-04-26,2064
2022-04-27,1495
2022-04-28,1411
2022-04-29,1035
2022-04-30,1207
2022-05-01,1120
2022-05-02,1031
2022-05-03,931
2022-05-04,1281
2022-05-05,911
2022-05-06,744
2022-05-07,748
2022-05-08,1042
2022-05-09,954
2022-05-10,1012
2022-05-11,902
2022-05-12,1007
2022-05-13,934
2022-05-14,966
2022-05-15,1015
2022-05-16,1355
2022-05-17,1460
2022-05-18,2747
2022-05-19,3185
2022-05-20,1385
2022-05-21,1294
2022-05-22,1079
2022-05-23,1355
2022-05-24,2265
2022-05-25,1275
2022-05-26,1079
2022-05-27,1307
2022-05-28,981
2022-05-29,1211
2022-05-30,1246
2022-05-31,937
2022-06-01,796
2022-06-02,881
2022-06-03,886
2022-06-04,744
2022-06-05,755
2022-06-06,965
2022-06-07,942
2022-06-08,837
2022-06-09,1100
2022-06-10,849
2022-06-11,1127
2022-06-12,1068
2022-06-13,996
2022-06-14,1420
2022-06-15,1056
2022-06-16,1135
2022-06-17,2180
2022-06-18,1301
2022-06-19,1446
2022-06-20,1770
2022-06-21,1629
2022-06-22,2287
2022-06-23,3370
2022-06-24,11970
2022-06-25,4281
2022-06-26,3208
2022-06-27,2510
2022-06-28,2143
2022-06-29,1848
2022-06-30,1593
2022-07-01,1485
2022-07-02,1389
2022-07-03,1347
2022-07-04,1287
2022-07-05,1422
2022-07-06,2011
2022-07-07,1533
2022-07-08,2113
2022-07-09,1512
2022-07-10,1639
2022-07-11,1577
2022-07-12,1434
2022-07-13,1285
2022-07-14,1090
2022-07-15,1162
2022-07-16,889
2022-07-17,921
2022-07-18,1085
2022-07-19,982
2022-07-20,1038
2022-07-21,1114
2022-07-22,1359
2022-07-23,894
2022-07-24,871
2022-07-25,755
2022-07-26,1025
2022-07-27,709
2022-07-28,754
2022-07-29,888
2022-07-30,1007
2022-07-31,741
2022-08-01,619
2022-08-02,619
2022-08-03,644
2022-08-04,576
2022-08-05,859
2022-08-06,654
2022-08-07,649
2022-08-08,906
2022-08-09,656
2022-08-10,609
2022-08-11,646
2022-08-12,570
2022-08-13,598
2022-08-14,540
2022-08-15,501
2022-08-16,562
2022-08-17,614
2022-08-18,640
2022-08-19,656
2022-08-20,484
2022-08-21,513
2022-08-22,503
2022-08-23,481
2022-08-24,513
2022-08-25,572
2022-08-26,456
2022-08-27,405
2022-08-28,438
2022-08-29,486
2022-08-30,571
2022-08-31,500
2022-09-01,540
2022-09-02,678
2022-09-03,502
2022-09-04,539
2022-09-05,498
2022-09-06,514
2022-09-07,520
2022-09-08,515
2022-09-09,458
2022-09-10,499
2022-09-11,445
2022-09-12,487
2022-09-13,406
2022-09-14,539
2022-09-15,529
2022-09-16,528
2022-09-17,562
2022-09-18,447
2022-09-19,569
2022-09-20,562
2022-09-21,549
2022-09-22,753
2022-09-23,595
2022-09-24,565
2022-09-25,676
2022-09-26,613
2022-09-27,629
2022-09-28,685
2022-09-29,658
2022-09-30,569
2022-10-01,509
2022-10-02,476
2022-10-03,526
2022-10-04,696
2022-10-05,893
2022-10-06,706
2022-10-07,797
2022-10-08,769
2022-10-09,627
2022-10-10,623
2022-10-11,843
2022-10-12,1152
2022-10-13,826
2022-10-14,1138
2022-10-15,822
2022-10-16,739
2022-10-17,815
2022-10-18,945
2022-10-19,1290
2022-10-20,2313
2022-10-21,952
2022-10-22,1308
2022-10-23,1125
2022-10-24,766
2022-10-25,1124
2022-10-26,1461
2022-10-27,1359
2022-10-28,905
2022-10-29,2223
2022-10-30,1326
2022-10-31,2619
2022-11-01,2332
2022-11-02,1087
2022-11-03,1141
2022-11-04,1044
2022-11-05,1094
2022-11-06,799
2022-11-07,839
2022-11-08,1292
2022-11-09,734
2022-11-10,1137
2022-11-11,638
2022-11-12,866
2022-11-13,956
2022-11-14,669
2022-11-15,886
2022-11-16,920
2022-11-17,791
2022-11-18,814
2022-11-19,1296
2022-11-20,789
2022-11-21,710
2022-11-22,633
2022-11-23,964
2022-11-24,645
2022-11-25,561
2022-11-26,667
2022-11-27,647
2022-11-28,599
2022-11-29,657
2022-11-30,778
2022-12-01,769
2022-12-02,1086
2022-12-03,589
2022-12-04,539
2022-12-05,516
2022-12-06,755
2022-12-07,889
2022-12-08,738
2022-12-09,438
2022-12-10,530
2022-12-11,617
2022-12-12,2072
2022-12-13,2985
2022-12-14,887
2022-12-15,881
2022-12-16,610
2022-12-17,743
2022-12-18,570
2022-12-19,730
2022-12-20,730
2022-12-21,676
2022-12-22,715
2022-12-23,629
2022-12-24,684
2022-12-25,649
2022-12-26,741
2022-12-27,968
2022-12-28,955
2022-12-29,1064
2022-12-30,872
2022-12-31,908
2023-01-01,680
2023-01-02,680
2023-01-03,866
2023-01-04,901
2023-01-05,1294
2023-01-06,698
2023-01-07,863
2023-01-08,781
2023-01-09,744
2023-01-10,784
2023-01-11,980
2023-01-12,920
2023-01-13,765
2023-01-14,927
2023-01-15,981
2023-01-16,1013
2023-01-17,1066
2023-01-18,945
2023-01-19,1165
2023-01-20,813
2023-01-21,740
2023-01-22,849
2023-01-23,649
2023-01-24,1105
2023-01-25,778
2023-01-26,797
2023-01-27,860
2023-01-28,771
2023-01-29,846
2023-01-30,755
2023-01-31,1319
2023-02-01,991
2023-02-02,905
2023-02-03,814
2023-02-04,944
2023-02-05,1062
2023-02-06,923
2023-02-07,1299
2023-02-08,1297
2023-02-09,1796
2023-02-10,1404
2023-02-11,1319
2023-02-12,1193
2023-02-13,987
2023-02-14,1090
2023-02-15,1072
2023-02-16,1326
2023-02-17,926
2023-02-18,1138
2023-02-19,953
2023-02-20,1057
2023-02-21,980
2023-02-22,977
2023-02-23,907
2023-02-24,1029
2023-02-25,1170
2023-02-26,962
2023-02-27,921
2023-02-28,1033
2023-03-01,889
2023-03-02,1165
2023-03-03,877
2023-03-04,1007
2023-03-05,1146
2023-03-06,1049
2023-03-07,1093
2023-03-08,1230
2023-03-09,1037
2023-03-10,1105
2023-03-11,1063
2023-03-12,1191
2023-03-13,895
2023-03-14,1011
2023-03-15,801
2023-03-16,1003
2023-03-17,1011
2023-03-18,927
2023-03-19,1092
2023-03-20,1317
2023-03-21,934
2023-03-22,947
2023-03-23,907
2023-03-24,891
2023-03-25,1126
2023-03-26,1215
2023-03-27,1008
2023-03-28,1049
2023-03-29,1015
2023-03-30,1158
2023-03-31,844
2023-04-01,929
2023-04-02,922
2023-04-03,1053
2023-04-04,1018
2023-04-05,1237
2023-04-06,1020
2023-04-07,818
2023-04-08,1073
2023-04-09,936
2023-04-10,1327
2023-04-11,1071
2023-04-12,1193
2023-04-13,1444
2023-04-14,981
2023-04-15,1041
2023-04-16,1009
2023-04-17,943
2023-04-18,964
