date,views
2015-09-12,0
2018-05-31,1
2018-06-01,38
2018-06-02,7
2018-06-03,14
2018-06-04,7
2018-06-05,11
2018-06-06,8
2018-06-07,8
2018-06-08,9
2018-06-09,12
2018-06-10,17
2018-06-11,9
2018-06-12,18
2018-06-13,18
2018-06-14,24
2018-06-15,22
2018-06-16,16
2018-06-17,21
2018-06-18,22
2018-06-19,23
2018-06-20,34
2018-06-21,29
2018-06-22,50
2018-06-23,28
2018-06-24,26
2018-06-25,30
2018-06-26,33
2018-06-27,33
2018-06-28,27
2018-06-29,30
2018-06-30,27
2018-07-01,25
2018-07-02,47
2018-07-03,39
2018-07-04,42
2018-07-05,31
2018-07-06,36
2018-07-07,32
2018-07-08,27
2018-07-09,32
2018-07-10,26
2018-07-11,23
2018-07-12,31
2018-07-13,32
2018-07-14,29
2018-07-15,35
2018-07-16,24
2018-07-17,26
2018-07-18,35
2018-07-19,26
2018-07-20,32
2018-07-21,28
2018-07-22,35
2018-07-23,28
2018-07-24,42
2018-07-25,42
2018-07-26,38
2018-07-27,33
2018-07-28,37
2018-07-29,36
2018-07-30,39
2018-07-31,45
2018-08-01,31
2018-08-02,27
2018-08-03,23
2018-08-04,30
2018-08-05,23
2018-08-06,37
2018-08-07,35
2018-08-08,38
2018-08-09,43
2018-08-10,71
2018-08-11,37
2018-08-12,26
2018-08-13,29
2018-08-14,29
2018-08-15,33
2018-08-16,42
2018-08-17,37
2018-08-18,35
2018-08-19,36
2018-08-20,53
2018-08-21,44
2018-08-22,43
2018-08-23,30
2018-08-24,38
2018-08-25,27
2018-08-26,35
2018-08-27,30
2018-08-28,34
2018-08-29,32
2018-08-30,28
2018-08-31,32
2018-09-01,34
2018-09-02,20
2018-09-03,34
2018-09-04,30
2018-09-05,24
2018-09-06,19
2018-09-07,54
2018-09-08,31
2018-09-09,25
2018-09-10,20
2018-09-11,32
2018-09-12,28
2018-09-13,30
2018-09-14,35
2018-09-15,30
2018-09-16,37
2018-09-17,39
2018-09-18,43
2018-09-19,36
2018-09-20,39
2018-09-21,51
2018-09-22,35
2018-09-23,42
2018-09-24,37
2018-09-25,41
2018-09-26,39
2018-09-27,36
2018-09-28,38
2018-09-29,32
2018-09-30,53
2018-10-01,35
2018-10-02,39
2018-10-03,51
2018-10-04,42
2018-10-05,64
2018-10-06,51
2018-10-07,44
2018-10-08,44
2018-10-09,44
2018-10-10,51
2018-10-11,45
2018-10-12,45
2018-10-13,67
2018-10-14,41
2018-10-15,38
2018-10-16,50
2018-10-17,56
2018-10-18,84
2018-10-19,47
2018-10-20,46
2018-10-21,42
2018-10-22,51
2018-10-23,41
2018-10-24,69
2018-10-25,69
2018-10-26,54
2018-10-27,39
2018-10-28,45
2018-10-29,65
2018-10-30,44
2018-10-31,41
2018-11-01,41
2018-11-02,50
2018-11-03,47
2018-11-04,47
2018-11-05,40
2018-11-06,56
2018-11-07,345
2018-11-08,61
2018-11-09,43
2018-11-10,164
2018-11-11,59
2018-11-12,65
2018-11-13,210
2018-11-14,70
2018-11-15,51
2018-11-16,73
2018-11-17,121
2018-11-18,48
2018-11-19,60
2018-11-20,129
2018-11-21,108
2018-11-22,70
2018-11-23,462
2018-11-24,96
2018-11-25,75
2018-11-26,51
2018-11-27,66
2018-11-28,110
2018-11-29,238
2018-11-30,60
2018-12-01,56
2018-12-02,50
2018-12-03,44
2018-12-04,37
2018-12-05,44
2018-12-06,144
2018-12-07,53
2018-12-08,68
2018-12-09,49
2018-12-10,55
2018-12-11,43
2018-12-12,43
2018-12-13,45
2018-12-14,40
2018-12-15,45
2018-12-16,957
2018-12-17,152
2018-12-18,72
2018-12-19,62
2018-12-20,62
2018-12-21,69
2018-12-22,271
2018-12-23,175
2018-12-24,53
2018-12-25,42
2018-12-26,45
2018-12-27,43
2018-12-28,52
2018-12-29,151
2018-12-30,75
2018-12-31,55
2019-01-01,52
2019-01-02,46
2019-01-03,157
2019-01-04,95
2019-01-05,896
2019-01-06,246
2019-01-07,98
2019-01-08,78
2019-01-09,656
2019-01-10,93
2019-01-11,108
2019-01-12,283
2019-01-13,81
2019-01-14,68
2019-01-15,73
2019-01-16,320
2019-01-17,62
2019-01-18,40
2019-01-19,301
2019-01-20,91
2019-01-21,41
2019-01-22,160
2019-01-23,59
2019-01-24,38
2019-01-25,23
2019-01-26,40
2019-01-27,53
2019-01-28,26
2019-01-29,38
2019-01-30,203
2019-01-31,60
2019-02-01,18
2019-02-02,343
2019-02-03,80
2019-02-04,44
2019-02-05,44
2019-02-06,159
2019-02-07,48
2019-02-08,35
2019-02-09,290
2019-02-10,72
2019-02-11,62
2019-02-12,417
2019-02-13,78
2019-02-14,44
2019-02-15,37
2019-02-16,681
2019-02-17,253
2019-02-18,98
2019-02-19,104
2019-02-20,237
2019-02-21,5173
2019-02-22,323
2019-02-23,817
2019-02-24,328
2019-02-25,136
2019-02-26,130
2019-02-27,341
2019-02-28,125
2019-03-01,84
2019-03-02,160
2019-03-03,450
2019-03-04,136
2019-03-05,100
2019-03-06,352
2019-03-07,109
2019-03-08,173
2019-03-09,1867
2019-03-10,3172
2019-03-11,525
2019-03-12,290
2019-03-13,187
2019-03-14,848
2019-03-15,709
2019-03-16,9017
2019-03-17,1403
2019-03-18,958
2019-03-19,694
2019-03-20,503
2019-03-21,395
2019-03-22,428
2019-03-23,2233
2019-03-24,3142
2019-03-25,902
2019-03-26,374
2019-03-27,296
2019-03-28,300
2019-03-29,486
2019-03-30,3382
2019-03-31,424
2019-04-01,393
2019-04-02,212
2019-04-03,214
2019-04-04,212
2019-04-05,184
2019-04-06,116
2019-04-07,116
2019-04-08,104
2019-04-09,152
2019-04-10,131
2019-04-11,119
2019-04-12,98
2019-04-13,112
2019-04-14,79
2019-04-15,98
2019-04-16,137
2019-04-17,107
2019-04-18,84
2019-04-19,88
2019-04-20,88
2019-04-21,83
2019-04-22,90
2019-04-23,165
2019-04-24,113
2019-04-25,83
2019-04-26,62
2019-04-27,62
2019-04-28,81
2019-04-29,82
2019-04-30,85
2019-05-01,59
2019-05-02,135
2019-05-03,90
2019-05-04,71
2019-05-05,68
2019-05-06,72
2019-05-07,58
2019-05-08,48
2019-05-09,63
2019-05-10,69
2019-05-11,72
2019-05-12,50
2019-05-13,89
2019-05-14,148
2019-05-15,456
2019-05-16,277
2019-05-17,234
2019-05-18,238
2019-05-19,152
2019-05-20,167
2019-05-21,123
2019-05-22,105
2019-05-23,132
2019-05-24,95
2019-05-25,110
2019-05-26,85
2019-05-27,106
2019-05-28,138
2019-05-29,194
2019-05-30,161
2019-05-31,104
2019-06-01,76
2019-06-02,211
2019-06-03,171
2019-06-04,157
2019-06-05,1896
2019-06-06,758
2019-06-07,356
2019-06-08,534
2019-06-09,289
2019-06-10,195
2019-06-11,137
2019-06-12,227
2019-06-13,265
2019-06-14,204
2019-06-15,189
2019-06-16,243
2019-06-17,286
2019-06-18,453
2019-06-19,914
2019-06-20,1506
2019-06-21,49440
2019-06-22,10304
2019-06-23,5462
2019-06-24,4079
2019-06-25,2614
2019-06-26,2046
2019-06-27,1504
2019-06-28,1138
2019-06-29,1021
2019-06-30,1058
2019-07-01,1444
2019-07-02,1033
2019-07-03,963
2019-07-04,740
2019-07-05,784
2019-07-06,1286
2019-07-07,1404
2019-07-08,1651
2019-07-09,1012
2019-07-10,933
2019-07-11,972
2019-07-12,678
2019-07-13,587
2019-07-14,594
2019-07-15,552
2019-07-16,732
2019-07-17,896
2019-07-18,569
2019-07-19,485
2019-07-20,338
2019-07-21,331
2019-07-22,473
2019-07-23,380
2019-07-24,346
2019-07-25,322
2019-07-26,286
2019-07-27,282
2019-07-28,296
2019-07-29,302
2019-07-30,392
2019-07-31,284
2019-08-01,235
2019-08-02,276
2019-08-03,253
2019-08-04,263
2019-08-05,276
2019-08-06,258
2019-08-07,222
2019-08-08,210
2019-08-09,218
2019-08-10,157
2019-08-11,302
2019-08-12,417
2019-08-13,236
2019-08-14,214
2019-08-15,245
2019-08-16,204
2019-08-17,203
2019-08-18,172
2019-08-19,281
2019-08-20,376
2019-08-21,290
2019-08-22,260
2019-08-23,248
2019-08-24,216
2019-08-25,199
2019-08-26,225
2019-08-27,172
2019-08-28,209
2019-08-29,188
2019-08-30,179
2019-08-31,159
2019-09-01,179
2019-09-02,153
2019-09-03,164
2019-09-04,207
2019-09-05,177
2019-09-06,246
2019-09-07,360
2019-09-08,251
2019-09-09,200
2019-09-10,222
2019-09-11,186
2019-09-12,208
2019-09-13,199
2019-09-14,203
2019-09-15,235
2019-09-16,238
2019-09-17,219
2019-09-18,278
2019-09-19,346
2019-09-20,236
2019-09-21,196
2019-09-22,217
2019-09-23,240
2019-09-24,202
2019-09-25,266
2019-09-26,246
2019-09-27,226
2019-09-28,261
2019-09-29,163
2019-09-30,256
2019-10-01,235
2019-10-02,299
2019-10-03,311
2019-10-04,261
2019-10-05,269
2019-10-06,234
2019-10-07,252
2019-10-08,344
2019-10-09,726
2019-10-10,359
2019-10-11,338
2019-10-12,326
2019-10-13,1211
2019-10-14,408
2019-10-15,456
2019-10-16,462
2019-10-17,448
2019-10-18,522
2019-10-19,352
2019-10-20,303
2019-10-21,412
2019-10-22,400
2019-10-23,413
2019-10-24,1032
2019-10-25,463
2019-10-26,776
2019-10-27,1289
2019-10-28,518
2019-10-29,583
2019-10-30,520
2019-10-31,846
2019-11-01,480
2019-11-02,385
2019-11-03,510
2019-11-04,356
2019-11-05,927
2019-11-06,989
2019-11-07,699
2019-11-08,581
2019-11-09,363
2019-11-10,314
2019-11-11,1156
2019-11-12,423
2019-11-13,1291
2019-11-14,533
2019-11-15,781
2019-11-16,482
2019-11-17,362
2019-11-18,360
2019-11-19,415
2019-11-20,472
2019-11-21,366
2019-11-22,648
2019-11-23,374
2019-11-24,342
2019-11-25,317
2019-11-26,229
2019-11-27,321
2019-11-28,386
2019-11-29,237
2019-11-30,306
2019-12-01,184
2019-12-02,205
2019-12-03,311
2019-12-04,254
2019-12-05,393
2019-12-06,558
2019-12-07,273
2019-12-08,240
2019-12-09,216
2019-12-10,556
2019-12-11,332
2019-12-12,297
2019-12-13,181
2019-12-14,316
2019-12-15,252
2019-12-16,191
2019-12-17,351
2019-12-18,229
2019-12-19,229
2019-12-20,171
2019-12-21,215
2019-12-22,283
2019-12-23,153
2019-12-24,268
2019-12-25,177
2019-12-26,190
2019-12-27,194
2019-12-28,344
2019-12-29,205
2019-12-30,206
2019-12-31,316
2020-01-01,181
2020-01-02,282
2020-01-03,233
2020-01-04,333
2020-01-05,245
2020-01-06,245
2020-01-07,210
2020-01-08,320
2020-01-09,315
2020-01-10,213
2020-01-11,262
2020-01-12,211
2020-01-13,185
2020-01-14,221
2020-01-15,252
2020-01-16,233
2020-01-17,287
2020-01-18,390
2020-01-19,248
2020-01-20,182
2020-01-21,246
2020-01-22,252
2020-01-23,386
2020-01-24,277
2020-01-25,314
2020-01-26,231
2020-01-27,182
2020-01-28,223
2020-01-29,212
2020-01-30,203
2020-01-31,213
2020-02-01,260
2020-02-02,279
2020-02-03,206
2020-02-04,347
2020-02-05,312
2020-02-06,296
2020-02-07,289
2020-02-08,362
2020-02-09,461
2020-02-10,300
2020-02-11,1429
2020-02-12,410
2020-02-13,358
2020-02-14,273
2020-02-15,300
2020-02-16,394
2020-02-17,210
2020-02-18,246
2020-02-19,199
2020-02-20,236
2020-02-21,271
2020-02-22,330
2020-02-23,367
2020-02-24,302
2020-02-25,304
2020-02-26,577
2020-02-27,351
2020-02-28,234
2020-02-29,294
2020-03-01,269
2020-03-02,191
2020-03-03,307
2020-03-04,563
2020-03-05,327
2020-03-06,257
2020-03-07,247
2020-03-08,249
2020-03-09,204
2020-03-10,239
2020-03-11,240
2020-03-12,158
2020-03-13,103
2020-03-14,123
2020-03-15,196
2020-03-16,261
2020-03-17,166
2020-03-18,127
2020-03-19,198
2020-03-20,206
2020-03-21,179
2020-03-22,295
2020-03-23,190
2020-03-24,158
2020-03-25,145
2020-03-26,160
2020-03-27,168
2020-03-28,183
2020-03-29,209
2020-03-30,183
2020-03-31,221
2020-04-01,192
2020-04-02,150
2020-04-03,141
2020-04-04,202
2020-04-05,193
2020-04-06,200
2020-04-07,192
2020-04-08,153
2020-04-09,176
2020-04-10,158
2020-04-11,153
2020-04-12,193
2020-04-13,198
2020-04-14,194
2020-04-15,221
2020-04-16,313
2020-04-17,264
2020-04-18,215
2020-04-19,186
2020-04-20,202
2020-04-21,150
2020-04-22,162
2020-04-23,142
2020-04-24,141
2020-04-25,124
2020-04-26,176
2020-04-27,181
2020-04-28,161
2020-04-29,155
2020-04-30,149
2020-05-01,138
2020-05-02,113
2020-05-03,149
2020-05-04,140
2020-05-05,134
2020-05-06,131
2020-05-07,121
2020-05-08,118
2020-05-09,115
2020-05-10,128
2020-05-11,139
2020-05-12,137
2020-05-13,195
2020-05-14,139
2020-05-15,129
2020-05-16,131
2020-05-17,114
2020-05-18,140
2020-05-19,161
2020-05-20,151
2020-05-21,155
2020-05-22,116
2020-05-23,140
2020-05-24,210
2020-05-25,188
2020-05-26,142
2020-05-27,155
2020-05-28,137
2020-05-29,835
2020-05-30,976
2020-05-31,474
2020-06-01,246
2020-06-02,259
2020-06-03,144
2020-06-04,125
2020-06-05,128
2020-06-06,156
2020-06-07,142
2020-06-08,118
2020-06-09,161
2020-06-10,148
2020-06-11,134
2020-06-12,132
2020-06-13,156
2020-06-14,127
2020-06-15,159
2020-06-16,139
2020-06-17,118
2020-06-18,149
2020-06-19,116
2020-06-20,312
2020-06-21,662
2020-06-22,293
2020-06-23,222
2020-06-24,155
2020-06-25,176
2020-06-26,133
2020-06-27,146
2020-06-28,150
2020-06-29,146
2020-06-30,156
2020-07-01,125
2020-07-02,132
2020-07-03,148
2020-07-04,126
2020-07-05,132
2020-07-06,152
2020-07-07,139
2020-07-08,150
2020-07-09,187
2020-07-10,151
2020-07-11,184
2020-07-12,166
2020-07-13,147
2020-07-14,140
2020-07-15,122
2020-07-16,140
2020-07-17,121
2020-07-18,130
2020-07-19,127
2020-07-20,128
2020-07-21,161
2020-07-22,164
2020-07-23,191
2020-07-24,195
2020-07-25,124
2020-07-26,188
2020-07-27,190
2020-07-28,220
2020-07-29,194
2020-07-30,193
2020-07-31,337
2020-08-01,288
2020-08-02,228
2020-08-03,1267
2020-08-04,753
2020-08-05,519
2020-08-06,622
2020-08-07,784
2020-08-08,453
2020-08-09,1113
2020-08-10,1289
2020-08-11,1554
2020-08-12,1142
2020-08-13,1893
2020-08-14,1248
2020-08-15,455
2020-08-16,330
2020-08-17,314
2020-08-18,449
2020-08-19,516
2020-08-20,358
2020-08-21,565
2020-08-22,367
2020-08-23,280
2020-08-24,328
2020-08-25,265
2020-08-26,238
2020-08-27,131
2020-08-28,163
2020-08-29,168
2020-08-30,200
2020-08-31,212
2020-09-01,189
2020-09-02,237
2020-09-03,295
2020-09-04,263
2020-09-05,170
2020-09-06,231
2020-09-07,164
2020-09-08,209
2020-09-09,301
2020-09-10,208
2020-09-11,183
2020-09-12,201
2020-09-13,176
2020-09-14,133
2020-09-15,208
2020-09-16,294
2020-09-17,189
2020-09-18,184
2020-09-19,140
2020-09-20,208
2020-09-21,152
2020-09-22,153
2020-09-23,164
2020-09-24,956
2020-09-25,330
2020-09-26,264
2020-09-27,163
2020-09-28,297
2020-09-29,588
2020-09-30,440
2020-10-01,249
2020-10-02,153
2020-10-03,156
2020-10-04,115
2020-10-05,163
2020-10-06,159
2020-10-07,188
2020-10-08,123
2020-10-09,123
2020-10-10,136
2020-10-11,130
2020-10-12,151
2020-10-13,142
2020-10-14,127
2020-10-15,169
2020-10-16,160
2020-10-17,163
2020-10-18,148
2020-10-19,126
2020-10-20,174
2020-10-21,156
2020-10-22,119
2020-10-23,208
2020-10-24,594
2020-10-25,287
2020-10-26,130
2020-10-27,159
2020-10-28,178
2020-10-29,217
2020-10-30,199
2020-10-31,166
2020-11-01,113
2020-11-02,118
2020-11-03,125
2020-11-04,76
2020-11-05,138
2020-11-06,244
2020-11-07,138
2020-11-08,147
2020-11-09,729
2020-11-10,1048
2020-11-11,667
2020-11-12,382
2020-11-13,349
2020-11-14,302
2020-11-15,291
2020-11-16,1396
2020-11-17,1338
2020-11-18,2074
2020-11-19,3345
2020-11-20,1213
2020-11-21,1112
2020-11-22,892
2020-11-23,754
2020-11-24,1958
2020-11-25,968
2020-11-26,607
2020-11-27,405
2020-11-28,376
2020-11-29,322
2020-11-30,314
2020-12-01,544
2020-12-02,419
2020-12-03,373
2020-12-04,270
2020-12-05,281
2020-12-06,210
2020-12-07,234
2020-12-08,327
2020-12-09,388
2020-12-10,279
2020-12-11,242
2020-12-12,276
2020-12-13,311
2020-12-14,274
2020-12-15,329
2020-12-16,221
2020-12-17,358
2020-12-18,219
2020-12-19,643
2020-12-20,263
2020-12-21,220
2020-12-22,290
2020-12-23,285
2020-12-24,1705
2020-12-25,348
2020-12-26,261
2020-12-27,381
2020-12-28,977
2020-12-29,390
2020-12-30,1706
2020-12-31,580
2021-01-01,725
2021-01-02,681
2021-01-03,443
2021-01-04,441
2021-01-05,298
2021-01-06,377
2021-01-07,547
2021-01-08,227
2021-01-09,403
2021-01-10,567
2021-01-11,359
2021-01-12,235
2021-01-13,273
2021-01-14,199
2021-01-15,149
2021-01-16,221
2021-01-17,175
2021-01-18,426
2021-01-19,348
2021-01-20,232
2021-01-21,839
2021-01-22,234
2021-01-23,785
2021-01-24,388
2021-01-25,189
2021-01-26,207
2021-01-27,230
2021-01-28,248
2021-01-29,922
2021-01-30,231
2021-01-31,292
2021-02-01,179
2021-02-02,440
2021-02-03,234
2021-02-04,545
2021-02-05,163
2021-02-06,318
2021-02-07,726
2021-02-08,262
2021-02-09,322
2021-02-10,168
2021-02-11,434
2021-02-12,269
2021-02-13,592
2021-02-14,330
2021-02-15,269
2021-02-16,257
2021-02-17,590
2021-02-18,201
2021-02-19,144
2021-02-20,324
2021-02-21,268
2021-02-22,210
2021-02-23,365
2021-02-24,239
2021-02-25,381
2021-02-26,190
2021-02-27,336
2021-02-28,247
2021-03-01,339
2021-03-02,220
2021-03-03,1006
2021-03-04,374
2021-03-05,299
2021-03-06,224
2021-03-07,210
2021-03-08,184
2021-03-09,155
2021-03-10,201
2021-03-11,249
2021-03-12,271
2021-03-13,264
2021-03-14,834
2021-03-15,342
2021-03-16,285
2021-03-17,189
2021-03-18,231
2021-03-19,235
2021-03-20,277
2021-03-21,240
2021-03-22,362
2021-03-23,262
2021-03-24,294
2021-03-25,264
2021-03-26,253
2021-03-27,329
2021-03-28,346
2021-03-29,198
2021-03-30,214
2021-03-31,265
2021-04-01,459
2021-04-02,349
2021-04-03,336
2021-04-04,288
2021-04-05,293
2021-04-06,1172
2021-04-07,646
2021-04-08,1268
2021-04-09,653
2021-04-10,274
2021-04-11,358
2021-04-12,231
2021-04-13,253
2021-04-14,501
2021-04-15,221
2021-04-16,338
2021-04-17,192
2021-04-18,186
2021-04-19,183
2021-04-20,218
2021-04-21,188
2021-04-22,658
2021-04-23,571
2021-04-24,273
2021-04-25,743
2021-04-26,344
2021-04-27,699
2021-04-28,208
2021-04-29,398
2021-04-30,209
2021-05-01,263
2021-05-02,153
2021-05-03,209
2021-05-04,151
2021-05-05,700
2021-05-06,284
2021-05-07,127
2021-05-08,195
2021-05-09,138
2021-05-10,208
2021-05-11,137
2021-05-12,142
2021-05-13,125
2021-05-14,232
2021-05-15,154
2021-05-16,168
2021-05-17,174
2021-05-18,172
2021-05-19,150
2021-05-20,220
2021-05-21,257
2021-05-22,251
2021-05-23,2788
2021-05-24,790
2021-05-25,307
2021-05-26,2361
2021-05-27,400
2021-05-28,1062
2021-05-29,267
2021-05-30,1017
2021-05-31,375
2021-06-01,210
2021-06-02,2093
2021-06-03,374
2021-06-04,7100
2021-06-05,652
2021-06-06,332
2021-06-07,282
2021-06-08,1368
2021-06-09,321
2021-06-10,1509
2021-06-11,331
2021-06-12,1410
2021-06-13,305
2021-06-14,3041
2021-06-15,399
2021-06-16,278
2021-06-17,247
2021-06-18,234
2021-06-19,301
2021-06-20,3069
2021-06-21,1435
2021-06-22,729
2021-06-23,6950
2021-06-24,958
2021-06-25,6882
2021-06-26,720
2021-06-27,2189
2021-06-28,1030
2021-06-29,12481
2021-06-30,1923
2021-07-01,5883
2021-07-02,2417
2021-07-03,1344
2021-07-04,1245
2021-07-05,1039
2021-07-06,1178
2021-07-07,26100
2021-07-08,6018
2021-07-09,12147
2021-07-10,2995
2021-07-11,1927
2021-07-12,26108
2021-07-13,3108
2021-07-14,1988
2021-07-15,8641
2021-07-16,1776
2021-07-17,1448
2021-07-18,3175
2021-07-19,1071
2021-07-20,1314
2021-07-21,4137
2021-07-22,854
2021-07-23,1200
2021-07-24,1082
2021-07-25,532
2021-07-26,518
2021-07-27,531
2021-07-28,486
2021-07-29,444
2021-07-30,971
2021-07-31,453
2021-08-01,375
2021-08-02,322
2021-08-03,436
2021-08-04,350
2021-08-05,288
2021-08-06,269
2021-08-07,228
2021-08-08,236
2021-08-09,258
2021-08-10,286
2021-08-11,249
2021-08-12,240
2021-08-13,232
2021-08-14,213
2021-08-15,208
2021-08-16,249
2021-08-17,384
2021-08-18,277
2021-08-19,242
2021-08-20,196
2021-08-21,195
2021-08-22,173
2021-08-23,152
2021-08-24,114
2021-08-25,154
2021-08-26,155
2021-08-27,139
2021-08-28,201
2021-08-29,146
2021-08-30,178
2021-08-31,147
2021-09-01,137
2021-09-02,105
2021-09-03,144
2021-09-04,145
2021-09-05,138
2021-09-06,103
2021-09-07,143
2021-09-08,176
2021-09-09,155
2021-09-10,130
2021-09-11,124
2021-09-12,217
2021-09-13,186
2021-09-14,108
2021-09-15,139
2021-09-16,151
2021-09-17,115
2021-09-18,105
2021-09-19,109
2021-09-20,133
2021-09-21,100
2021-09-22,138
2021-09-23,140
2021-09-24,90
2021-09-25,86
2021-09-26,117
2021-09-27,83
2021-09-28,144
2021-09-29,95
2021-09-30,94
2021-10-01,114
2021-10-02,98
2021-10-03,105
2021-10-04,259
2021-10-05,151
2021-10-06,203
2021-10-07,181
2021-10-08,133
2021-10-09,162
2021-10-10,154
2021-10-11,223
2021-10-12,215
2021-10-13,136
2021-10-14,165
2021-10-15,130
2021-10-16,145
2021-10-17,181
2021-10-18,182
2021-10-19,209
2021-10-20,247
2021-10-21,580
2021-10-22,199
2021-10-23,731
2021-10-24,243
2021-10-25,202
2021-10-26,166
2021-10-27,152
2021-10-28,185
2021-10-29,195
2021-10-30,138
2021-10-31,242
2021-11-01,189
2021-11-02,157
2021-11-03,288
2021-11-04,178
2021-11-05,324
2021-11-06,142
2021-11-07,252
2021-11-08,142
2021-11-09,173
2021-11-10,186
2021-11-11,205
2021-11-12,119
2021-11-13,196
2021-11-14,152
2021-11-15,208
2021-11-16,176
2021-11-17,137
2021-11-18,333
2021-11-19,120
2021-11-20,364
2021-11-21,145
2021-11-22,668
2021-11-23,288
2021-11-24,171
2021-11-25,217
2021-11-26,127
2021-11-27,342
2021-11-28,385
2021-11-29,168
2021-11-30,192
2021-12-01,1574
2021-12-02,355
2021-12-03,693
2021-12-04,767
2021-12-05,195
2021-12-06,162
2021-12-07,391
2021-12-08,177
2021-12-09,144
2021-12-10,147
2021-12-11,530
2021-12-12,189
2021-12-13,218
2021-12-14,372
2021-12-15,580
2021-12-16,172
2021-12-17,248
2021-12-18,143
2021-12-19,132
2021-12-20,338
2021-12-21,181
2021-12-22,671
2021-12-23,227
