date,views
2015-07-01,4266
2015-07-02,4760
2015-07-03,4260
2015-07-04,3843
2015-07-05,3453
2015-07-06,3880
2015-07-07,3765
2015-07-08,4012
2015-07-09,3416
2015-07-10,3413
2015-07-11,2940
2015-07-12,2941
2015-07-13,2815
2015-07-14,2873
2015-07-15,3251
2015-07-16,2630
2015-07-17,3469
2015-07-18,2659
2015-07-19,2407
2015-07-20,2755
2015-07-21,2897
2015-07-22,2717
2015-07-23,2377
2015-07-24,2373
2015-07-25,2242
2015-07-26,2234
2015-07-27,2568
2015-07-28,2497
2015-07-29,2353
2015-07-30,2375
2015-07-31,2322
2015-08-01,2189
2015-08-02,2165
2015-08-03,2003
2015-08-04,2172
2015-08-05,2229
2015-08-06,2126
2015-08-07,2018
2015-08-08,1921
2015-08-09,2108
2015-08-10,2034
2015-08-11,2906
2015-08-12,3244
2015-08-13,2925
2015-08-14,2770
2015-08-15,2319
2015-08-16,2369
2015-08-17,2187
2015-08-18,2098
2015-08-19,2033
2015-08-20,3686
2015-08-21,4392
2015-08-22,2963
2015-08-23,2691
2015-08-24,2551
2015-08-25,2116
2015-08-26,1822
2015-08-27,1817
2015-08-28,1935
2015-08-29,1757
2015-08-30,1822
2015-08-31,1760
2015-09-01,1924
2015-09-02,2179
2015-09-03,2097
2015-09-04,1813
2015-09-05,1914
2015-09-06,1872
2015-09-07,1842
2015-09-08,1740
2015-09-09,2197
2015-09-10,2512
2015-09-11,2856
2015-09-12,2536
2015-09-13,2684
2015-09-14,2847
2015-09-15,3247
2015-09-16,2263
2015-09-17,1952
2015-09-18,1774
2015-09-19,1798
2015-09-20,1950
2015-09-21,1804
2015-09-22,1959
2015-09-23,1906
2015-09-24,1777
2015-09-25,2271
2015-09-26,2014
2015-09-27,1852
2015-09-28,2303
2015-09-29,2880
2015-09-30,2454
2015-10-01,2262
2015-10-02,2158
2015-10-03,1781
2015-10-04,1984
2015-10-05,2201
2015-10-06,2018
2015-10-07,2153
2015-10-08,2417
2015-10-09,1902
2015-10-10,2210
2015-10-11,1905
2015-10-12,2308
2015-10-13,2481
2015-10-14,2373
2015-10-15,2532
