season,checkpoint,predictor,champion,champion_rank
2016,preseason,media_attn,CLE,8.0
2016,preseason,media_tone,CLE,20.0
2016,preseason,fan_attn,CLE,6.0
2016,preseason,crowd_all,CLE,10.5
2016,preseason,media_buzz,CLE,19.0
2016,preseason,fan_buzz,CLE,15.0
2016,preseason,crowd_buzz,CLE,23.0
2016,preseason,stats_baseline,CLE,
2016,25%,media_attn,CLE,3.0
2016,25%,media_tone,CLE,19.0
2016,25%,fan_attn,CLE,12.0
2016,25%,crowd_all,CLE,8.0
2016,25%,media_buzz,CLE,20.0
2016,25%,fan_buzz,CLE,25.0
2016,25%,crowd_buzz,CLE,25.0
2016,25%,stats_baseline,CLE,6.0
2016,50%,media_attn,CLE,3.0
2016,50%,media_tone,CLE,22.0
2016,50%,fan_attn,CLE,9.0
2016,50%,crowd_all,CLE,9.0
2016,50%,media_buzz,CLE,2.0
2016,50%,fan_buzz,CLE,12.0
2016,50%,crowd_buzz,CLE,11.0
2016,50%,stats_baseline,CLE,4.0
2016,75%,media_attn,CLE,2.0
2016,75%,media_tone,CLE,15.0
2016,75%,fan_attn,CLE,10.0
2016,75%,crowd_all,CLE,6.0
2016,75%,media_buzz,CLE,12.0
2016,75%,fan_buzz,CLE,18.0
2016,75%,crowd_buzz,CLE,13.0
2016,75%,stats_baseline,CLE,4.0
2016,pre-playoffs,media_attn,CLE,5.0
2016,pre-playoffs,media_tone,CLE,24.0
2016,pre-playoffs,fan_attn,CLE,11.0
2016,pre-playoffs,crowd_all,CLE,15.0
2016,pre-playoffs,media_buzz,CLE,19.0
2016,pre-playoffs,fan_buzz,CLE,21.0
2016,pre-playoffs,crowd_buzz,CLE,24.0
2016,pre-playoffs,stats_baseline,CLE,4.0
2017,preseason,media_attn,GSW,3.0
2017,preseason,media_tone,GSW,1.0
2017,preseason,fan_attn,GSW,1.0
2017,preseason,crowd_all,GSW,1.0
2017,preseason,media_buzz,GSW,28.0
2017,preseason,fan_buzz,GSW,30.0
2017,preseason,crowd_buzz,GSW,24.5
2017,preseason,stats_baseline,GSW,1.0
2017,25%,media_attn,GSW,2.0
2017,25%,media_tone,GSW,2.0
2017,25%,fan_attn,GSW,1.0
2017,25%,crowd_all,GSW,1.0
2017,25%,media_buzz,GSW,29.0
2017,25%,fan_buzz,GSW,30.0
2017,25%,crowd_buzz,GSW,25.5
2017,25%,stats_baseline,GSW,1.0
2017,50%,media_attn,GSW,2.0
2017,50%,media_tone,GSW,7.0
2017,50%,fan_attn,GSW,1.0
2017,50%,crowd_all,GSW,1.0
2017,50%,media_buzz,GSW,29.0
2017,50%,fan_buzz,GSW,29.0
2017,50%,crowd_buzz,GSW,27.0
2017,50%,stats_baseline,GSW,1.0
2017,75%,media_attn,GSW,3.0
2017,75%,media_tone,GSW,2.0
2017,75%,fan_attn,GSW,1.0
2017,75%,crowd_all,GSW,1.0
2017,75%,media_buzz,GSW,27.0
2017,75%,fan_buzz,GSW,29.0
2017,75%,crowd_buzz,GSW,22.0
2017,75%,stats_baseline,GSW,1.0
2017,pre-playoffs,media_attn,GSW,2.0
2017,pre-playoffs,media_tone,GSW,1.0
2017,pre-playoffs,fan_attn,GSW,1.0
2017,pre-playoffs,crowd_all,GSW,1.0
2017,pre-playoffs,media_buzz,GSW,29.0
2017,pre-playoffs,fan_buzz,GSW,29.0
2017,pre-playoffs,crowd_buzz,GSW,24.5
2017,pre-playoffs,stats_baseline,GSW,1.0
2018,preseason,media_attn,GSW,1.0
2018,preseason,media_tone,GSW,6.0
2018,preseason,fan_attn,GSW,2.0
2018,preseason,crowd_all,GSW,1.0
2018,preseason,media_buzz,GSW,1.0
2018,preseason,fan_buzz,GSW,30.0
2018,preseason,crowd_buzz,GSW,12.0
2018,preseason,stats_baseline,GSW,1.0
2018,25%,media_attn,GSW,2.0
2018,25%,media_tone,GSW,3.0
2018,25%,fan_attn,GSW,2.0
2018,25%,crowd_all,GSW,1.5
2018,25%,media_buzz,GSW,24.0
2018,25%,fan_buzz,GSW,30.0
2018,25%,crowd_buzz,GSW,23.5
2018,25%,stats_baseline,GSW,2.0
2018,50%,media_attn,GSW,2.0
2018,50%,media_tone,GSW,3.0
2018,50%,fan_attn,GSW,2.0
2018,50%,crowd_all,GSW,1.0
2018,50%,media_buzz,GSW,26.0
2018,50%,fan_buzz,GSW,30.0
2018,50%,crowd_buzz,GSW,26.0
2018,50%,stats_baseline,GSW,1.0
2018,75%,media_attn,GSW,2.0
2018,75%,media_tone,GSW,5.0
2018,75%,fan_attn,GSW,3.0
2018,75%,crowd_all,GSW,1.0
2018,75%,media_buzz,GSW,25.0
2018,75%,fan_buzz,GSW,30.0
2018,75%,crowd_buzz,GSW,24.5
2018,75%,stats_baseline,GSW,2.0
2018,pre-playoffs,media_attn,GSW,3.0
2018,pre-playoffs,media_tone,GSW,25.0
2018,pre-playoffs,fan_attn,GSW,1.0
2018,pre-playoffs,crowd_all,GSW,6.5
2018,pre-playoffs,media_buzz,GSW,29.0
2018,pre-playoffs,fan_buzz,GSW,30.0
2018,pre-playoffs,crowd_buzz,GSW,30.0
2018,pre-playoffs,stats_baseline,GSW,3.0
2019,preseason,media_attn,TOR,7.0
2019,preseason,media_tone,TOR,11.0
2019,preseason,fan_attn,TOR,8.0
2019,preseason,crowd_all,TOR,4.0
2019,preseason,media_buzz,TOR,11.0
2019,preseason,fan_buzz,TOR,21.0
2019,preseason,crowd_buzz,TOR,12.5
2019,preseason,stats_baseline,TOR,2.0
2019,25%,media_attn,TOR,10.0
2019,25%,media_tone,TOR,11.0
2019,25%,fan_attn,TOR,7.0
2019,25%,crowd_all,TOR,8.0
2019,25%,media_buzz,TOR,20.0
