season,series,winner,media_attn,media_tone,fan_attn,crowd_all,media_buzz,fan_buzz,crowd_buzz,stats_baseline
2016,ATL-BOS,ATL,False,False,False,False,False,False,False,False
2016,ATL-CLE,CLE,True,False,True,True,False,False,False,True
2016,CHA-MIA,MIA,True,False,False,False,False,True,False,False
2016,CLE-DET,CLE,True,False,False,True,False,False,False,True
2016,CLE-GSW,CLE,False,False,False,False,True,True,False,False
2016,CLE-TOR,CLE,False,True,False,True,False,False,False,True
2016,DAL-OKC,OKC,False,True,True,True,True,True,True,True
2016,GSW-HOU,GSW,True,True,True,True,True,True,True,True
2016,GSW-OKC,GSW,True,True,True,True,False,False,True,True
2016,GSW-POR,GSW,True,True,True,True,False,False,False,True
2016,IND-TOR,TOR,True,True,True,True,True,True,True,True
2016,LAC-POR,POR,False,False,False,False,True,True,True,False
2016,MEM-SAS,SAS,False,False,True,True,False,False,False,True
2016,MIA-TOR,TOR,True,True,True,True,True,True,True,True
2016,OKC-SAS,OKC,False,True,False,True,True,True,True,False
2017,ATL-WAS,WAS,False,True,True,True,False,True,True,True
2017,BOS-CHI,BOS,False,False,True,False,True,True,True,True
2017,BOS-CLE,CLE,False,False,False,False,False,False,False,False
2017,BOS-WAS,BOS,True,False,True,False,True,False,False,True
2017,CLE-GSW,GSW,False,True,True,True,False,True,True,True
2017,CLE-IND,CLE,True,True,True,True,False,False,False,True
2017,CLE-TOR,CLE,True,False,True,True,False,False,False,False
2017,GSW-POR,GSW,True,True,True,True,False,False,False,True
2017,GSW-SAS,GSW,True,True,True,True,False,False,True,True
2017,GSW-UTA,GSW,True,True,True,True,False,False,False,True
2017,HOU-OKC,HOU,False,False,False,False,True,False,False,True
2017,HOU-SAS,SAS,False,False,True,False,False,False,False,True
2017,LAC-UTA,UTA,True,False,True,True,True,True,True,False
2017,MEM-SAS,SAS,True,True,True,True,False,True,False,True
2017,MIL-TOR,TOR,False,False,True,False,False,False,False,True
2018,BOS-CLE,CLE,True,True,False,True,False,False,False,False
2018,BOS-MIL,BOS,True,False,True,True,False,False,False,True
2018,BOS-PHI,BOS,False,False,False,False,False,False,False,True
2018,CLE-GSW,GSW,False,True,True,True,False,True,True,True
2018,CLE-IND,CLE,True,False,True,True,False,False,False,True
2018,CLE-TOR,CLE,True,True,True,True,False,False,False,False
2018,GSW-HOU,GSW,False,True,True,True,False,False,False,False
2018,GSW-NOP,GSW,True,True,False,True,False,False,False,True
2018,GSW-SAS,GSW,True,False,True,False,True,False,False,True
2018,HOU-MIN,HOU,True,True,True,True,True,False,True,True
2018,HOU-UTA,HOU,True,True,False,True,False,False,True,True
2018,MIA-PHI,PHI,False,False,True,True,False,True,True,True
2018,NOP-POR,NOP,True,True,True,True,True,True,True,False
2018,OKC-UTA,UTA,False,True,True,True,False,True,True,False
2018,TOR-WAS,TOR,True,False,True,True,True,True,True,True
2019,BKN-PHI,PHI,False,False,False,False,False,False,False,True
2019,BOS-IND,BOS,True,False,True,True,False,False,False,True
2019,BOS-MIL,MIL,False,False,True,False,False,True,True,True
2019,DEN-POR,POR,True,False,True,True,True,True,True,False
2019,DEN-SAS,DEN,True,False,False,False,True,True,True,True
2019,DET-MIL,MIL,True,False,True,True,False,True,True,True
2019,GSW-HOU,GSW,True,False,True,True,True,False,False,True
2019,GSW-LAC,GSW,True,True,True,True,False,False,False,True
2019,GSW-POR,GSW,True,True,True,True,False,False,False,True
2019,GSW-TOR,TOR,True,False,True,True,True,True,True,True
2019,HOU-UTA,HOU,True,True,True,True,False,True,True,True
2019,MIL-TOR,TOR,True,False,True,False,True,True,False,False
2019,OKC-POR,POR,False,False,False,False,False,True,False,True
2019,ORL-TOR,TOR,True,False,True,True,False,False,False,True
2019,PHI-TOR,TOR,False,False,True,True,False,True,True,True
2020,BKN-TOR,TOR,True,True,True,True,True,True,True,True
2020,BOS-MIA,MIA,False,False,False,False,True,True,False,False
2020,BOS-PHI,BOS,False,False,True,True,False,False,False,True
2020,BOS-TOR,BOS,False,True,False,False,False,False,False,False
2020,DAL-LAC,LAC,True,False,True,True,False,False,False,True
2020,DEN-LAC,DEN,False,True,False,False,True,True,True,False
2020,DEN-LAL,LAL,True,True,True,True,False,False,False,True
2020,DEN-UTA,DEN,False,True,True,True,True,True,True,True
2020,HOU-LAL,LAL,True,True,True,True,False,False,False,True
2020,HOU-OKC,HOU,False,False,True,True,False,False,False,False
2020,IND-MIA,MIA,True,False,True,True,False,False,False,False
2020,LAL-MIA,LAL,True,True,True,True,False,False,False,True
2020,LAL-POR,LAL,True,True,True,True,False,False,False,True
2020,MIA-MIL,MIA,False,True,False,True,False,False,False,False
2020,MIL-ORL,MIL,True,False,True,True,True,True,False,True
2021,ATL-MIL,MIL,True,True,False,True,False,False,True,True
2021,ATL-NYK,ATL,False,True,False,False,False,False,False,False
2021,ATL-PHI,ATL,False,False,True,True,False,True,True,False
2021,BKN-BOS,BKN,False,False,True,False,False,True,False,True
2021,BKN-MIL,MIL,False,False,False,False,False,False,False,False
2021,DAL-LAC,LAC,False,True,True,True,False,False,False,True
2021,DEN-PHX,PHX,True,False,True,True,True,True,True,True
2021,DEN-POR,DEN,False,True,False,True,False,False,False,True
2021,LAC-PHX,PHX,False,True,False,True,True,True,True,True
2021,LAC-UTA,LAC,False,True,True,True,False,False,False,False
2021,LAL-PHX,PHX,False,False,False,False,True,True,True,True
2021,MEM-UTA,UTA,True,True,False,True,False,False,False,True
2021,MIA-MIL,MIL,False,True,False,False,False,True,True,True
2021,MIL-PHX,MIL,False,False,False,False,False,False,False,False
2021,PHI-WAS,PHI,False,False,False,False,False,False,False,True
2022,ATL-MIA,MIA,False,True,True,True,False,True,True,True
2022,BKN-BOS,BOS,True,True,True,True,True,True,True,True
2022,BOS-GSW,GSW,True,False,True,False,True,True,False,True
2022,BOS-MIA,BOS,True,False,True,True,True,True,False,False
2022,BOS-MIL,BOS,True,True,True,True,True,True,True,False
2022,CHI-MIL,MIL,True,True,True,True,False,False,True,True
2022,DAL-GSW,GSW,True,False,True,False,False,False,False,True
2022,DAL-PHX,DAL,False,False,False,False,True,True,True,False
2022,DAL-UTA,DAL,True,True,True,True,True,False,True,True
2022,DEN-GSW,GSW,True,False,True,True,False,False,False,True
2022,GSW-MEM,GSW,False,True,True,True,False,False,True,False
2022,MEM-MIN,MEM,False,False,False,False,False,False,False,True
2022,MIA-PHI,MIA,False,False,False,False,False,False,False,True
2022,NOP-PHX,PHX,True,True,False,True,False,False,False,True
2022,PHI-TOR,PHI,False,False,False,True,False,False,False,True
2023,ATL-BOS,BOS,True,True,True,True,False,False,False,True
2023,BKN-PHI,PHI,False,False,True,True,False,True,True,True
2023,BOS-MIA,MIA,False,False,False,False,True,True,False,False
2023,BOS-PHI,BOS,False,False,True,True,False,False,False,True
2023,CLE-NYK,NYK,True,False,True,True,True,True,False,False
2023,DEN-LAL,DEN,False,False,False,False,True,True,True,True
2023,DEN-MIA,DEN,False,True,True,True,False,True,True,True
2023,DEN-MIN,DEN,False,True,False,False,False,False,False,True
2023,DEN-PHX,DEN,False,False,False,False,False,True,False,True
2023,GSW-LAL,LAL,True,True,False,True,False,False,False,False
2023,GSW-SAC,GSW,True,False,True,True,False,False,False,False
2023,LAC-PHX,PHX,False,True,False,False,False,False,False,True
2023,LAL-MEM,LAL,True,True,True,True,True,False,True,False
2023,MIA-MIL,MIA,False,True,True,True,False,True,True,False
2023,MIA-NYK,MIA,True,False,False,False,True,False,False,False
2024,BOS-CLE,BOS,True,False,True,True,False,False,False,True
2024,BOS-DAL,BOS,True,False,False,False,False,False,False,True
2024,BOS-IND,BOS,False,False,True,False,False,False,False,True
2024,BOS-MIA,BOS,False,True,True,True,False,True,True,True
2024,CLE-ORL,CLE,False,False,True,False,False,False,False,True
2024,DAL-LAC,DAL,False,True,True,True,False,True,True,False
2024,DAL-MIN,DAL,False,True,False,True,False,False,True,False
2024,DAL-OKC,DAL,True,False,True,False,True,True,False,False
2024,DEN-LAL,DEN,False,False,False,False,True,False,False,True
2024,DEN-MIN,MIN,False,True,False,True,True,True,True,False
2024,IND-MIL,IND,False,True,False,False,True,True,True,False
2024,IND-NYK,IND,False,True,False,False,True,False,True,False
2024,MIN-PHX,MIN,True,False,False,False,True,True,True,True
2024,NOP-OKC,OKC,False,True,False,False,False,False,True,True
2024,NYK-PHI,NYK,False,False,True,True,False,True,True,True
2025,BOS-NYK,NYK,True,False,False,False,True,True,True,False
2025,BOS-ORL,BOS,True,False,True,True,False,False,False,True
2025,CLE-IND,IND,True,False,False,True,True,True,True,False
2025,CLE-MIA,CLE,False,False,False,False,False,False,False,True
2025,DEN-LAC,DEN,True,False,True,False,True,True,True,False
2025,DEN-OKC,OKC,False,False,True,False,False,True,False,True
2025,DET-NYK,NYK,False,True,False,False,False,False,False,True
2025,GSW-HOU,GSW,True,True,True,True,False,False,False,False
2025,GSW-MIN,MIN,True,True,False,False,True,True,True,True
2025,IND-MIL,IND,False,True,False,False,False,False,False,True
2025,IND-NYK,IND,False,False,False,False,False,False,False,False
2025,IND-OKC,OKC,False,True,False,True,False,False,True,True
2025,LAL-MIN,MIN,False,False,False,False,False,False,False,False
2025,MEM-OKC,OKC,False,True,True,True,False,False,True,True
2025,MIN-OKC,OKC,True,True,True,True,True,True,True,True
2026,ATL-NYK,NYK,False,True,True,True,False,False,False,True
2026,BOS-PHI,PHI,False,False,False,False,False,False,False,False
2026,CLE-DET,CLE,False,False,False,False,False,False,False,False
2026,CLE-NYK,NYK,True,True,True,True,False,True,True,True
2026,CLE-TOR,CLE,False,False,True,False,False,True,False,True
2026,DEN-MIN,MIN,False,False,False,False,False,False,False,False
2026,DET-ORL,DET,False,False,True,False,False,False,False,True
2026,HOU-LAL,LAL,True,False,True,True,False,True,False,True
2026,LAL-OKC,OKC,False,True,False,False,False,False,False,True
2026,MIN-SAS,SAS,True,True,True,True,True,True,True,True
2026,NYK-PHI,NYK,False,False,True,False,False,False,False,True
2026,NYK-SAS,NYK,True,True,True,True,False,True,True,False
2026,OKC-PHX,OKC,True,False,True,True,False,False,False,True
2026,OKC-SAS,SAS,True,False,False,True,True,True,True,False
2026,POR-SAS,SAS,False,True,False,True,False,False,True,True
