season,checkpoint,predictor,spearman
2016,preseason,media_attn,0.12248459436738086
2016,preseason,media_tone,0.1083953921522858
2016,preseason,fan_attn,0.25930945169585223
2016,preseason,crowd_all,0.2600738001661244
2016,preseason,media_buzz,-0.03901246460150605
2016,preseason,fan_buzz,-0.18840626541960026
2016,preseason,crowd_buzz,-0.05724173843738124
2016,preseason,stats_baseline,
2016,25%,media_attn,0.2467980295566502
2016,25%,media_tone,-0.20985221674876844
2016,25%,fan_attn,0.0932146829810901
2016,25%,crowd_all,0.08504956383858381
2016,25%,media_buzz,0.06305418719211821
2016,25%,fan_buzz,-0.17819799777530587
2016,25%,crowd_buzz,-0.19879790720213206
2016,25%,stats_baseline,0.7793970456505532
2016,50%,media_attn,0.07366346614291466
2016,50%,media_tone,0.2884947118841239
2016,50%,fan_attn,0.14886515722355512
2016,50%,crowd_all,0.23327768647540437
2016,50%,media_buzz,-0.011332840945063791
2016,50%,fan_buzz,0.10480641113945362
2016,50%,crowd_buzz,0.08496661139328646
2016,50%,stats_baseline,0.8426791485883457
2016,75%,media_attn,0.36271752079011277
2016,75%,media_tone,0.2951549098475629
2016,75%,fan_attn,0.2935086653583741
2016,75%,crowd_all,0.40336421540196976
2016,75%,media_buzz,0.27320939023483676
2016,75%,fan_buzz,0.30486598093749173
2016,75%,crowd_buzz,0.39405084126604006
2016,75%,stats_baseline,0.8738452222050529
2017,preseason,media_attn,0.29856883694948755
2017,preseason,media_tone,-0.011847489975978402
2017,preseason,fan_attn,0.0677589536589956
2017,preseason,crowd_all,0.10514003685590063
2017,preseason,media_buzz,-0.15994111467570843
2017,preseason,fan_buzz,-0.2919875963594876
2017,preseason,crowd_buzz,-0.31142609077139277
2017,preseason,stats_baseline,0.7799620676899702
2017,25%,media_attn,0.24959962281335996
2017,25%,media_tone,0.03548109149567999
2017,25%,fan_attn,0.030043397690378174
2017,25%,crowd_all,0.09262970614847814
2017,25%,media_buzz,-0.38881362764016
2017,25%,fan_buzz,-0.3801046167049328
2017,25%,crowd_buzz,-0.41509856452381416
2017,25%,stats_baseline,0.6433737979472838
2017,50%,media_attn,0.1490882389055404
2017,50%,media_tone,0.1057171148602923
2017,50%,fan_attn,0.17427110562530604
2017,50%,crowd_all,0.19725998839072015
2017,50%,media_buzz,-0.4361755088641429
2017,50%,fan_buzz,-0.06788338086298638
2017,50%,crowd_buzz,-0.23330749898733
2017,50%,stats_baseline,0.7106610986738213
2017,75%,media_attn,0.17008188111603495
2017,75%,media_tone,0.06961261317085901
2017,75%,fan_attn,0.010922893137078232
2017,75%,crowd_all,0.07395432226195608
2017,75%,media_buzz,-0.1140461960458754
2017,75%,fan_buzz,-0.23606824147277236
2017,75%,crowd_buzz,-0.12961526767480086
2017,75%,stats_baseline,0.6206677067648644
2018,preseason,media_attn,0.3059466689908539
2018,preseason,media_tone,0.04589200034862808
2018,preseason,fan_attn,0.3442517556310362
2018,preseason,crowd_all,0.27813096773889384
2018,preseason,media_buzz,0.1448312054013155
2018,preseason,fan_buzz,-0.1412657689773961
2018,preseason,crowd_buzz,-0.01672800527699843
2018,preseason,stats_baseline,0.5548610647059018
2018,25%,media_attn,0.03991130941522466
2018,25%,media_tone,0.13550135912576275
2018,25%,fan_attn,0.22298877396858466
2018,25%,crowd_all,0.20941884286693194
2018,25%,media_buzz,-0.5636856539631729
2018,25%,fan_buzz,-0.22143096816241692
2018,25%,crowd_buzz,-0.24696716903097435
2018,25%,stats_baseline,0.7469115238246367
2018,50%,media_attn,0.21734847390857295
2018,50%,media_tone,0.14489898260571532
2018,50%,fan_attn,0.13977299403919818
2018,50%,crowd_all,0.25044524218094577
2018,50%,media_buzz,-0.0576638808328867
2018,50%,fan_buzz,-0.054751841614080816
2018,50%,crowd_buzz,0.07388012741765275
2018,50%,stats_baseline,0.6563543939834322
2018,75%,media_attn,0.036973142965342216
2018,75%,media_tone,0.15849153951143363
2018,75%,fan_attn,0.27938563666145105
2018,75%,crowd_all,0.2744988932222285
2018,75%,media_buzz,-0.3241312199961668
2018,75%,fan_buzz,0.20057885149957558
2018,75%,crowd_buzz,0.0845211602254245
2018,75%,stats_baseline,0.7424311539967643
2019,preseason,media_attn,0.1003333818344389
2019,preseason,media_tone,0.4733474181112066
2019,preseason,fan_attn,-0.07131725175276032
2019,preseason,crowd_all,0.22136734691862567
2019,preseason,media_buzz,0.023938842313236203
2019,preseason,fan_buzz,-0.19768250720218253
2019,preseason,crowd_buzz,0.1250000031140387
2019,preseason,stats_baseline,0.6351562658232092
2019,25%,media_attn,0.05864235955536
2019,25%,media_tone,-0.004681532905679999
2019,25%,fan_attn,0.06097697012713793
2019,25%,crowd_all,0.08926981300089049
2019,25%,media_buzz,-0.22594556181624
2019,25%,fan_buzz,-0.10281518320707199
2019,25%,crowd_buzz,-0.1332591199260802
2019,25%,stats_baseline,0.5652609639523005
2019,50%,media_attn,0.11265873785430235
