season,winner_is_a,crowd_naive,crowd_learned
2018,False,False,False
2018,True,False,False
2018,True,False,False
2018,False,True,False
2018,True,True,False
2018,True,True,False
2018,True,True,False
2018,True,True,False
2018,True,True,False
2018,True,True,False
2018,True,False,False
2018,False,False,False
2018,True,True,False
2018,False,False,False
2018,True,False,False
2019,False,False,False
2019,True,True,True
2019,False,True,True
2019,False,False,False
2019,True,True,True
2019,False,True,False
2019,True,True,True
2019,True,True,True
2019,True,True,True
2019,False,True,True
2019,True,True,True
2019,False,False,True
2019,False,True,True
2019,False,True,False
2019,False,True,False
2020,False,False,False
2020,False,False,False
2020,True,True,False
2020,True,True,False
2020,False,True,False
2020,True,False,False
2020,False,False,False
2020,True,False,False
2020,False,False,False
2020,True,True,False
2020,False,False,False
2020,True,True,True
2020,True,True,True
2020,True,True,True
2020,True,False,True
2021,False,True,True
2021,True,False,False
2021,True,True,False
2021,True,False,False
2021,False,False,False
2021,False,False,False
2021,False,True,True
2021,True,True,True
2021,False,True,True
2021,True,True,True
2021,False,True,True
2021,False,False,False
2021,False,True,True
2021,True,True,True
2021,True,True,False
2022,False,False,False
2022,False,False,False
2022,False,True,True
2022,True,True,True
2022,True,True,True
2022,False,True,False
2022,False,False,False
2022,True,False,False
2022,True,False,False
2022,False,False,False
2022,True,True,True
2022,True,False,True
2022,True,True,False
2022,False,False,True
2022,True,False,False
2023,False,False,False
2023,False,False,False
2023,False,True,True
2023,True,True,False
2023,False,True,True
2023,True,False,False
2023,True,True,True
2023,True,False,True
2023,True,False,False
2023,False,False,False
2023,True,True,True
2023,False,False,False
2023,True,True,True
2023,True,False,False
2023,True,False,False
2024,True,True,True
2024,True,True,True
2024,True,True,True
2024,True,False,True
2024,True,True,True
2024,True,True,True
2024,True,True,True
2024,True,True,True
2024,True,False,False
2024,False,False,True
2024,True,False,False
2024,True,True,False
2024,True,False,False
2024,False,False,False
2024,True,False,False
2025,False,True,True
2025,True,True,True
2025,False,True,True
2025,True,True,True
2025,True,False,True
2025,False,True,False
2025,False,True,False
2025,True,True,True
2025,False,True,True
2025,True,False,False
2025,True,True,True
2025,False,True,False
2025,False,True,True
2025,False,False,False
2025,False,False,False
2026,False,False,False
2026,False,True,False
2026,True,True,True
2026,False,True,True
2026,True,True,True
2026,False,False,True
2026,True,False,False
2026,False,False,False
2026,False,True,True
2026,False,False,False
2026,True,True,False
2026,True,True,False
2026,True,True,True
2026,False,False,True
2026,False,False,False
